table 12 338 386 524 0.39934 0.343043 tv_stand
door 1 30 30 139 0.119013 0.255498 BG
picture 473 343 503 383 0.57414 0.247520 BG
picture 467 359 475 381 0.198197 0.474634 BG
picture 474 355 484 366 0.18759 0.603446 BG
picture 484 367 489 370 0.158873 0.708658 BG
picture 491 371 495 377 0.147901 0.725598 BG
picture 371 309 397 339 0.117271 0.732714 BG
picture 471 364 482 373 0.112332 0.697304 BG
picture 1 35 42 219 0.102691 0.703352 lamp
counter 0 319 448 516 0.146664 0.549521 tv_stand&&floor
tv 85 112 291 355 0.93382 0.044473 tv
tv 282 279 291 303 0.190775 0.716278 BG
tv 220 144 292 209 0.159584 0.761768 BG
paper 41 253 71 267 0.366513 0.585926 BG
paper 605 507 611 512 0.232538 0.401641 BG
paper 35 261 51 271 0.220011 0.577371 BG
paper 483 348 503 371 0.171298 0.374611 BG
paper 596 505 599 512 0.160344 0.410673 BG
paper 576 509 581 511 0.157267 0.381026 BG
paper 474 355 484 366 0.148922 0.603446 BG
paper 212 322 223 331 0.140277 0.708963 BG
paper 21 251 96 286 0.136793 0.814452 BG
paper 672 498 706 523 0.135582 0.441827 BG
paper 1 38 17 90 0.126122 0.333065 BG
paper 34 237 38 249 0.125651 0.457840 BG
paper 616 514 626 524 0.124195 0.385042 BG
paper 467 359 475 381 0.120807 0.474634 BG
paper 164 319 179 337 0.120614 0.780409 BG
paper 200 317 219 325 0.120595 0.770415 BG
paper 488 497 542 524 0.116521 0.477849 BG
paper 4 239 38 276 0.114872 0.644851 BG
paper 1 32 3 36 0.113788 0.480583 BG
paper 194 324 208 329 0.110824 0.866535 BG
paper 610 508 619 517 0.110715 0.452558 BG
paper 117 515 154 524 0.110627 0.410444 BG
paper 599 503 635 525 0.108276 0.468390 BG
paper 27 250 38 261 0.106391 0.607943 BG
paper 545 480 636 525 0.106114 0.706444 BG
paper 471 364 482 373 0.103918 0.697304 BG
paper 10 86 29 120 0.102621 0.383112 BG
paper 2 513 48 526 0.100958 0.497608 BG
box 480 435 570 516 0.915564 0.067242 BG
box 457 420 705 524 0.555359 0.400392 box
box 39 237 47 258 0.340862 0.508853 BG
box 1 198 38 318 0.329096 0.458267 BG
box 34 236 38 248 0.317146 0.457840 BG
box 522 457 550 488 0.271007 0.697394 BG
box 27 249 39 261 0.264617 0.607943 BG
box 497 494 503 512 0.243813 0.556929 BG
box 528 429 543 437 0.242155 0.749655 BG
box 523 463 538 479 0.24174 0.721405 BG
box 475 482 544 524 0.209335 0.607691 BG
box 672 496 706 523 0.200246 0.441827 BG
box 34 260 41 271 0.184067 0.670465 BG
box 558 463 563 465 0.166046 0.829345 BG
box 466 359 475 380 0.159232 0.474634 BG
box 369 511 372 514 0.158802 0.388972 BG
box 534 468 584 506 0.142265 0.829809 BG
box 350 393 519 522 0.131074 0.696477 bag
box 9 87 31 121 0.129875 0.383112 BG
box 604 506 611 512 0.124714 0.401641 BG
box 246 437 250 439 0.123126 0.852749 BG
box 575 508 581 510 0.116552 0.381026 BG
box 570 485 578 508 0.115731 0.830404 BG
box 224 419 243 432 0.115402 0.710844 BG
box 543 474 639 524 0.111727 0.706444 BG
box 466 347 504 380 0.109436 0.254812 BG
box 2 249 39 274 0.103506 0.774398 BG
box 400 431 407 434 0.102324 0.698156 BG
box 595 504 599 511 0.102111 0.410673 BG
box 414 513 425 525 0.100271 0.504446 BG
lamp 2 1 41 21 0.512519 0.267186 BG
bag 358 383 454 519 0.145683 0.342098 bag
garbage_bin 320 375 479 522 0.223052 0.532604 bag
garbage_bin 0 40 19 89 0.216551 0.333065 BG
garbage_bin 0 33 3 36 0.12952 0.480583 BG
garbage_bin 459 434 469 443 0.117408 0.791565 BG
garbage_bin 450 438 450 445 0.113164 0.785237 BG
garbage_bin 446 431 458 457 0.110508 0.817521 BG
garbage_bin 0 43 33 136 0.10297 0.202961 BG
