chair 1 109 89 336 0.133641 0.445774 towel
picture 653 285 670 318 0.107553 0.673246 BG
mirror 674 0 727 278 0.138064 0.747625 BG
clothes 519 5 713 212 0.375144 0.518001 BG
clothes 528 0 578 214 0.314544 0.641488 BG
clothes 529 93 563 111 0.206289 0.722113 BG
clothes 528 62 563 129 0.172438 0.775351 BG
clothes 542 0 611 40 0.153303 0.767824 BG
clothes 519 53 541 146 0.140739 0.768166 BG
clothes 556 0 647 109 0.139442 0.777954 BG
clothes 531 89 559 98 0.126618 0.839220 BG
clothes 605 0 643 25 0.120548 0.711725 BG
clothes 528 104 541 128 0.113067 0.859496 BG
clothes 532 75 555 94 0.11188 0.849390 BG
clothes 531 35 591 97 0.110325 0.821807 BG
clothes 519 101 532 146 0.104195 0.858129 BG
paper 429 515 442 522 0.162888 0.516727 BG
paper 1 395 43 441 0.132603 0.506369 BG
paper 452 521 464 526 0.132061 0.396255 BG
paper 35 464 118 525 0.122179 0.702681 BG
paper 79 507 88 515 0.111348 0.418054 BG
towel 626 1 628 3 0.116608 0.728808 BG
towel 590 0 639 78 0.114008 0.728091 BG
toilet 690 355 728 513 0.157402 0.554855 BG
sink 212 195 725 462 0.201745 0.695626 bathtub
lamp 433 166 471 172 0.101402 0.881554 BG
bathtub 262 282 707 465 0.711917 0.223850 bathtub
