cabinet 0 195 127 327 0.72805 0.214204 tv_stand
chair 307 199 603 524 0.64916 0.226372 sofa_chair
chair 0 476 20 529 0.504655 0.411206 BG
chair 524 300 729 524 0.367636 0.417975 BG
chair 707 349 715 368 0.229101 0.504324 BG
chair 181 211 330 382 0.224406 0.529865 sofa_chair
chair 254 204 293 212 0.163015 0.770779 BG
chair 0 474 17 485 0.116993 0.877267 BG
sofa 169 194 323 385 0.909447 0.066032 sofa_chair
sofa 314 210 568 501 0.420443 0.295396 sofa_chair
table 523 374 729 529 0.485115 0.133910 BG
table 292 266 367 372 0.162664 0.729943 BG
table 10 303 187 523 0.115797 0.686807 BG
picture 469 19 548 129 0.996416 0.003410 picture
picture 529 23 544 123 0.906095 0.083739 BG
picture 435 26 578 219 0.500305 0.394609 BG
picture 469 28 481 123 0.489569 0.499100 BG
picture 177 17 210 50 0.449284 0.349196 BG
picture 481 40 488 108 0.421438 0.576370 BG
picture 176 17 182 45 0.256557 0.616269 BG
picture 337 165 415 287 0.128205 0.509085 BG
picture 183 17 207 23 0.125333 0.670493 BG
counter 0 218 9 234 0.683387 0.314583 BG
counter 9 217 15 219 0.36665 0.602095 BG
counter 0 212 41 250 0.123557 0.873823 BG
blinds 366 1 428 115 0.637143 0.341913 BG
blinds 236 4 293 213 0.511375 0.417925 curtain
blinds 348 11 431 271 0.487129 0.415394 curtain
blinds 241 0 256 203 0.370986 0.591717 BG
blinds 234 2 245 218 0.356486 0.603166 BG
blinds 378 0 393 106 0.349168 0.636333 BG
blinds 366 0 381 118 0.344454 0.645703 BG
blinds 255 0 270 199 0.326533 0.634381 BG
blinds 390 0 406 105 0.3177 0.653400 BG
blinds 252 8 401 254 0.25239 0.715175 BG
blinds 404 7 443 141 0.227475 0.726349 BG
blinds 245 147 247 152 0.208615 0.641196 BG
blinds 268 2 284 199 0.180032 0.766032 BG
blinds 338 9 377 255 0.163008 0.774178 BG
blinds 241 104 245 157 0.129591 0.771823 BG
blinds 415 37 423 97 0.128385 0.744826 BG
blinds 243 157 244 184 0.100806 0.555942 BG
pillow 237 214 326 278 0.12336 0.794534 BG
mirror 438 26 592 281 0.180595 0.481842 BG
mirror 714 87 729 240 0.100979 0.403807 BG
tv 0 101 99 217 0.995954 0.002948 BG
tv 0 187 8 189 0.617946 0.379670 BG
tv 0 187 1 189 0.371951 0.615494 BG
tv 0 186 26 197 0.301568 0.692448 BG
tv 8 188 16 196 0.205739 0.789427 BG
paper 156 501 157 502 0.241822 0.385424 BG
paper 29 480 41 490 0.213258 0.564472 BG
paper 193 473 281 529 0.175113 0.359660 BG
paper 154 497 159 500 0.173381 0.489352 BG
paper 1 272 45 303 0.17298 0.487538 BG
paper 294 496 343 529 0.16695 0.393259 BG
paper 13 287 15 290 0.154684 0.546210 BG
paper 124 450 220 528 0.133438 0.559233 BG
paper 272 513 282 526 0.1236 0.319927 BG
paper 113 506 143 520 0.123296 0.326397 BG
paper 31 424 48 432 0.115076 0.486837 BG
paper 452 520 454 520 0.112752 0.474010 BG
paper 459 524 464 525 0.11214 0.471008 BG
box 563 372 567 384 0.232837 0.749057 BG
box 156 501 158 502 0.209345 0.385424 BG
box 572 384 577 394 0.202591 0.765222 BG
box 553 387 573 401 0.177199 0.788786 BG
box 154 497 160 500 0.175079 0.489352 BG
box 560 385 564 389 0.172948 0.805307 BG
box 549 360 564 387 0.160265 0.804633 BG
box 574 392 582 400 0.153124 0.795129 BG
box 191 469 282 529 0.129533 0.359660 BG
box 181 17 211 52 0.12844 0.429031 BG
box 292 494 343 529 0.126816 0.393259 BG
box 185 46 195 52 0.117237 0.773410 BG
box 271 512 282 526 0.109082 0.319927 BG
box 616 389 622 394 0.103542 0.853841 BG
box 122 443 222 528 0.102982 0.559233 BG
box 560 363 564 364 0.10028 0.879902 BG
lamp 343 85 435 297 0.789051 0.176317 curtain&&lamp
lamp 359 106 434 166 0.565745 0.414019 BG
lamp 472 173 479 182 0.332198 0.402594 BG
lamp 476 179 480 184 0.254779 0.339351 BG
lamp 340 152 365 268 0.245303 0.664797 BG
lamp 328 203 338 264 0.141381 0.772998 BG
lamp 439 156 445 163 0.128911 0.818382 BG
lamp 339 21 376 283 0.122015 0.673909 BG
lamp 301 190 354 270 0.113105 0.782534 BG
garbage_bin 577 251 583 268 0.223056 0.614327 BG
garbage_bin 583 253 588 274 0.195394 0.553315 BG
garbage_bin 125 288 133 305 0.179902 0.766886 BG
garbage_bin 523 354 530 356 0.16448 0.830188 BG
garbage_bin 123 253 133 306 0.146424 0.810451 BG
garbage_bin 127 303 134 311 0.134667 0.807509 BG
garbage_bin 572 244 579 249 0.11706 0.463202 BG
garbage_bin 577 186 596 299 0.114675 0.461702 BG
garbage_bin 584 275 585 278 0.114672 0.792593 BG
garbage_bin 325 316 512 500 0.104932 0.762262 BG
garbage_bin 554 198 608 397 0.103502 0.764963 BG
