bed 323 58 729 525 0.117468 0.818002 bench&&floor
chair 308 131 684 529 0.118966 0.726171 bench
sofa 240 5 470 61 0.198635 0.604037 BG
table 0 111 344 466 0.9122 0.023202 table
table 270 97 466 279 0.873262 0.119444 table
picture 138 0 184 63 0.375336 0.200229 BG
picture 31 1 40 4 0.236227 0.470758 BG
picture 133 12 169 37 0.202978 0.270664 BG
picture 178 0 216 64 0.190642 0.585510 BG
picture 31 1 44 28 0.144298 0.435972 BG
picture 382 0 462 15 0.102953 0.205414 BG
counter 0 62 99 163 0.109492 0.562549 BG
desk 21 79 372 488 0.168682 0.237240 table
tv 176 1 179 5 0.133199 0.682792 BG
paper 14 26 17 29 0.502478 0.266966 BG
paper 6 11 18 30 0.452634 0.256867 BG
paper 14 35 22 38 0.4336 0.305062 BG
paper 10 19 15 25 0.400454 0.251009 BG
paper 0 0 22 39 0.390054 0.089424 BG
paper 0 28 4 38 0.360132 0.394407 BG
paper 6 12 10 18 0.34451 0.315905 BG
paper 27 48 32 56 0.3287 0.449836 BG
paper 32 57 34 60 0.299762 0.492485 BG
paper 1 26 34 73 0.245234 0.559060 BG
paper 4 92 9 111 0.218147 0.272365 BG
paper 9 111 18 143 0.218072 0.568057 BG
paper 429 5 438 12 0.212721 0.250801 BG
paper 415 0 458 15 0.18278 0.247437 BG
paper 33 3 48 43 0.158383 0.408280 BG
paper 45 79 47 83 0.154762 0.766563 BG
paper 39 26 47 42 0.148126 0.603743 BG
paper 0 38 12 60 0.147407 0.433365 BG
paper 4 92 22 158 0.144494 0.319133 BG
paper 4 0 78 77 0.14438 0.565252 BG
paper 420 8 436 15 0.144177 0.421522 BG
paper 439 8 447 14 0.143904 0.531872 BG
paper 121 9 130 42 0.143327 0.545244 BG
paper 647 481 654 506 0.141028 0.625192 BG
paper 135 12 168 36 0.135052 0.270664 BG
paper 39 66 45 79 0.128756 0.813759 BG
paper 80 13 82 22 0.126322 0.574414 BG
paper 545 478 569 528 0.12536 0.509673 BG
paper 46 79 50 89 0.121864 0.816491 BG
paper 119 0 184 61 0.12043 0.188933 BG
paper 643 509 650 529 0.11848 0.354831 BG
paper 16 62 37 79 0.112503 0.810649 BG
paper 76 15 79 23 0.104001 0.681230 BG
towel 662 385 673 418 0.174556 0.434540 BG
towel 701 250 729 331 0.1155 0.246723 BG
towel 684 374 728 527 0.11308 0.328671 BG
towel 658 433 658 435 0.109453 0.416966 BG
box 1 1 24 74 0.282987 0.133121 BG
box 134 11 170 35 0.273566 0.270664 BG
box 2 358 73 416 0.254341 0.560619 BG
box 15 35 23 38 0.201452 0.305062 BG
box 33 6 49 41 0.195172 0.408280 BG
box 117 2 186 59 0.193286 0.188933 BG
box 10 19 16 25 0.184435 0.251009 BG
box 1 39 13 59 0.183319 0.433365 BG
box 33 1 99 84 0.178951 0.465593 BG
box 28 48 33 56 0.174245 0.449836 BG
box 33 57 35 60 0.173859 0.492485 BG
box 79 13 83 23 0.159178 0.574414 BG
box 14 26 18 29 0.156485 0.266966 BG
box 200 9 237 69 0.155683 0.703768 BG
box 120 8 130 42 0.15242 0.545244 BG
box 428 5 439 11 0.148338 0.250801 BG
box 420 8 437 14 0.143458 0.421522 BG
box 215 9 225 61 0.143268 0.752738 BG
box 6 11 19 30 0.130789 0.256867 BG
box 414 0 462 14 0.126435 0.247437 BG
box 1 61 17 73 0.125857 0.588357 BG
box 75 15 80 24 0.108197 0.681230 BG
box 4 89 24 156 0.10598 0.319133 BG
box 439 8 448 13 0.10354 0.531872 BG
whiteboard 4 90 23 157 0.129399 0.319133 BG
bag 384 1 459 14 0.181643 0.205414 BG
bag 428 6 438 11 0.115314 0.250801 BG
