bed 345 339 640 529 0.19954 0.582786 chair
chair 593 278 724 434 0.572957 0.270445 BG
chair 24 162 91 203 0.469958 0.416587 BG
chair 426 181 437 188 0.318983 0.641748 BG
chair 409 181 432 194 0.308067 0.672854 pillow
chair 433 179 440 187 0.308054 0.650194 BG
chair 509 231 592 260 0.286956 0.698255 BG
chair 419 188 423 193 0.258556 0.722336 BG
chair 450 524 461 529 0.234544 0.534269 BG
chair 81 165 83 171 0.19598 0.792732 BG
chair 623 251 729 347 0.192389 0.666502 endtable
chair 663 344 729 458 0.174549 0.774050 BG
chair 70 164 77 177 0.162113 0.828227 BG
chair 412 172 470 219 0.154429 0.756306 BG
chair 114 175 118 181 0.146649 0.847107 BG
chair 697 264 729 287 0.127501 0.489668 BG
chair 119 142 170 177 0.109367 0.785354 BG
chair 408 164 441 183 0.108504 0.793602 BG
sofa 132 192 616 464 0.970354 0.027945 sofa
sofa 98 165 299 398 0.323264 0.661867 BG
table 589 281 722 463 0.490693 0.230127 BG
table 620 251 729 342 0.375194 0.324111 endtable
table 3 165 97 207 0.134371 0.398768 BG
picture 333 71 368 137 0.956859 0.033109 BG
picture 345 83 362 116 0.752313 0.217887 BG
picture 168 74 259 126 0.567238 0.396416 picture
picture 718 290 724 313 0.124983 0.261892 BG
picture 189 102 233 132 0.116823 0.873645 BG
picture 723 285 729 325 0.10234 0.256972 BG
desk 633 242 729 269 0.11056 0.735952 BG
pillow 398 202 495 288 0.891788 0.108138 pillow
pillow 173 175 189 197 0.859168 0.140064 BG
pillow 173 175 214 209 0.848781 0.149267 pillow
pillow 402 203 435 267 0.722432 0.277240 BG
pillow 210 188 359 290 0.703657 0.292637 pillow
pillow 134 157 218 218 0.574408 0.422545 BG
pillow 403 212 413 266 0.541932 0.457535 BG
pillow 193 177 214 191 0.511251 0.481583 BG
pillow 185 187 197 199 0.501185 0.489534 BG
pillow 346 194 441 284 0.400299 0.598058 BG
pillow 454 233 494 288 0.398282 0.600844 BG
pillow 216 212 285 265 0.366013 0.625794 BG
pillow 187 173 202 181 0.363847 0.625860 BG
pillow 204 190 210 197 0.360908 0.633697 BG
pillow 208 193 306 232 0.322555 0.668241 BG
pillow 216 216 243 231 0.319349 0.671646 BG
pillow 461 215 469 218 0.296985 0.690083 BG
pillow 433 243 471 287 0.263026 0.736927 BG
pillow 146 164 327 236 0.232006 0.753445 BG
pillow 457 255 480 263 0.167564 0.831305 BG
pillow 253 207 282 221 0.150025 0.844201 BG
pillow 238 235 307 308 0.144117 0.836985 BG
pillow 436 172 472 213 0.143007 0.734344 BG
pillow 193 194 197 196 0.126503 0.869775 BG
pillow 454 222 483 250 0.124729 0.868148 BG
pillow 202 164 217 180 0.121167 0.863435 BG
pillow 311 251 325 293 0.114413 0.877714 BG
pillow 460 232 466 238 0.107638 0.882703 BG
pillow 412 380 509 409 0.106006 0.881086 BG
pillow 472 487 587 529 0.105793 0.359986 BG
pillow 184 161 205 174 0.101029 0.853741 BG
pillow 198 167 252 194 0.100016 0.878715 pillow
clothes 467 491 539 529 0.357692 0.328651 BG
clothes 489 520 503 529 0.216307 0.386377 BG
clothes 422 484 503 529 0.149517 0.675260 BG
clothes 463 471 626 529 0.129012 0.542083 BG
paper 239 346 268 395 0.363424 0.441804 BG
paper 245 335 266 349 0.170824 0.635715 BG
paper 722 521 729 528 0.139406 0.165734 BG
paper 707 512 729 528 0.137924 0.274287 BG
paper 682 289 694 303 0.128909 0.639955 BG
paper 205 307 267 401 0.124841 0.719310 BG
paper 375 485 394 529 0.120819 0.414770 BG
paper 682 299 689 303 0.11778 0.739789 BG
paper 695 284 704 303 0.114355 0.490219 BG
paper 375 512 388 529 0.103101 0.438552 BG
towel 469 489 582 529 0.153097 0.359986 BG
box 697 282 722 314 0.167619 0.398273 BG
box 329 151 356 175 0.157021 0.569503 BG
box 375 484 394 528 0.143438 0.414770 BG
box 695 283 703 304 0.133067 0.490219 BG
box 237 316 268 393 0.106088 0.437433 BG
box 718 290 723 312 0.103872 0.261892 BG
box 375 512 388 529 0.103128 0.438552 BG
lamp 613 100 676 141 0.479879 0.277529 BG
lamp 707 186 729 193 0.306674 0.619326 BG
lamp 616 99 722 186 0.278188 0.692689 BG
lamp 583 135 719 244 0.251104 0.739878 BG
lamp 391 136 420 156 0.206898 0.525629 BG
lamp 683 125 727 175 0.197589 0.661301 BG
lamp 574 170 722 193 0.134635 0.845745 BG
lamp 630 208 633 220 0.116724 0.859770 BG
lamp 34 101 62 159 0.104503 0.786773 BG
bag 488 521 502 529 0.303994 0.386377 BG
bag 471 508 535 529 0.219854 0.321117 BG
bag 461 487 584 529 0.188935 0.277036 BG
bag 407 490 467 529 0.138018 0.671665 BG
garbage_bin 721 521 729 528 0.112366 0.165734 BG
