cabinet 673 208 729 312 0.107339 0.611247 chest&&box
bed 10 85 133 515 0.140554 0.618782 BG
chair 393 288 729 520 0.903954 0.055674 chair&&chair
chair 283 232 406 490 0.735737 0.130584 chair
chair 544 98 697 335 0.580722 0.322064 BG
chair 593 86 678 205 0.244216 0.570008 BG
chair 273 252 312 470 0.228526 0.748617 BG
chair 299 224 366 277 0.160017 0.815235 BG
sofa 392 293 729 529 0.192735 0.509256 chair&&chair
table 289 268 501 512 0.847885 0.115583 chair
table 0 188 186 529 0.494545 0.237425 BG
bookshelf 315 79 361 252 0.380108 0.569148 BG
bookshelf 294 35 421 211 0.17943 0.781188 BG
bookshelf 306 135 337 188 0.166542 0.731506 BG
picture 370 1 416 10 0.420021 0.343218 BG
picture 524 1 560 16 0.288709 0.388621 BG
picture 504 2 544 31 0.249646 0.633824 BG
picture 285 3 336 44 0.241208 0.557759 BG
picture 558 1 581 14 0.176424 0.454898 BG
picture 293 5 432 73 0.171734 0.788125 BG
picture 586 1 597 17 0.129353 0.555218 BG
picture 432 3 503 53 0.109401 0.739467 BG
picture 152 92 197 180 0.100129 0.630678 BG
counter 1 217 116 423 0.4185 0.474952 BG
counter 387 244 444 300 0.167596 0.623758 BG
counter 0 216 45 230 0.100506 0.700223 BG
desk 282 250 558 489 0.151484 0.200794 chair
mirror 273 2 337 44 0.221584 0.545801 BG
clothes 484 323 562 367 0.211773 0.663539 BG
clothes 507 336 521 347 0.17435 0.781659 BG
clothes 496 338 509 360 0.151936 0.822473 BG
clothes 476 338 509 378 0.13174 0.759027 BG
clothes 513 336 551 356 0.127347 0.833857 BG
clothes 489 349 499 359 0.108595 0.858868 BG
clothes 604 2 643 24 0.101537 0.637987 BG
tv 596 1 613 3 0.135954 0.524326 BG
paper 299 498 331 529 0.18378 0.350804 BG
paper 670 128 706 190 0.182282 0.270061 BG
paper 312 451 346 529 0.162778 0.390527 BG
paper 92 482 125 529 0.147678 0.565587 BG
paper 373 502 412 529 0.138843 0.502877 floor
paper 706 324 729 342 0.127857 0.284467 BG
paper 482 73 492 91 0.106575 0.789185 BG
paper 64 156 101 168 0.100165 0.708304 BG
box 670 124 702 195 0.358463 0.270061 BG
box 672 90 725 148 0.300795 0.508670 BG
box 546 290 565 310 0.263274 0.464449 BG
box 299 497 332 529 0.148604 0.350804 BG
box 311 446 347 528 0.135967 0.390527 BG
box 482 225 555 326 0.135701 0.651425 BG
box 2 510 61 529 0.123023 0.086931 BG
box 51 458 136 528 0.121723 0.565371 BG
box 455 210 514 321 0.120895 0.639560 BG
box 372 501 412 528 0.113555 0.502877 floor
box 91 479 125 528 0.103151 0.565587 BG
whiteboard 9 2 102 162 0.170382 0.600140 BG
