cabinet 0 78 99 315 0.24818 0.652158 lamp
chair 591 272 595 279 0.102771 0.477713 BG
sofa 82 247 548 487 0.942211 0.056793 sofa
sofa 575 287 722 369 0.470421 0.515601 BG
sofa 526 351 729 493 0.451474 0.542083 BG
sofa 666 281 724 297 0.446603 0.416715 BG
sofa 567 269 640 284 0.425749 0.446543 BG
sofa 552 266 562 275 0.345252 0.554708 BG
sofa 554 264 581 276 0.313073 0.598908 BG
sofa 339 262 729 525 0.306117 0.689271 sofa
sofa 568 271 713 297 0.259162 0.670275 BG
sofa 612 274 644 284 0.238389 0.472669 BG
sofa 591 273 595 279 0.207432 0.477713 BG
sofa 342 253 578 365 0.207055 0.785644 BG
sofa 80 235 372 332 0.171323 0.800673 BG
sofa 668 279 690 284 0.164451 0.310323 BG
sofa 683 281 703 288 0.136356 0.297059 BG
sofa 616 269 637 278 0.130845 0.600663 BG
sofa 424 318 439 334 0.105636 0.866381 BG
sofa 641 277 661 289 0.105034 0.516277 BG
sofa 521 276 589 360 0.102926 0.775855 BG
sofa 420 333 433 341 0.101155 0.864441 BG
table 289 422 697 529 0.439193 0.134350 coffee_table
picture 583 182 653 259 0.969682 0.023955 BG
picture 2 58 43 139 0.570349 0.311012 BG
picture 526 190 533 204 0.386296 0.521669 BG
picture 477 175 531 209 0.323895 0.437576 picture
picture 585 180 598 238 0.245505 0.728364 BG
picture 384 1 643 72 0.216537 0.252556 BG
picture 528 173 535 194 0.199261 0.689083 BG
picture 581 226 624 258 0.182485 0.799083 BG
picture 616 221 647 259 0.175367 0.809771 BG
picture 641 195 652 226 0.163571 0.804511 BG
picture 583 1 701 55 0.154741 0.256691 BG
picture 344 1 395 18 0.106917 0.354755 BG
picture 581 227 589 253 0.102905 0.853513 BG
picture 581 89 727 188 0.101664 0.637471 BG
desk 277 411 677 529 0.308233 0.134350 coffee_table
dresser 0 320 113 469 0.141226 0.520948 endtable
paper 496 429 512 440 0.521117 0.363129 BG
paper 508 398 539 442 0.427558 0.404833 BG
paper 85 351 112 390 0.273276 0.561023 BG
paper 701 197 704 197 0.207143 0.442624 BG
paper 712 184 720 195 0.187357 0.366875 BG
paper 496 399 508 405 0.174917 0.792092 BG
paper 136 241 159 274 0.164413 0.699171 BG
paper 87 351 91 358 0.157459 0.787629 BG
paper 478 173 531 209 0.15051 0.437576 picture
paper 17 450 306 529 0.148898 0.538200 floor
paper 721 183 729 197 0.147114 0.224041 BG
paper 695 194 704 197 0.142065 0.571454 BG
paper 724 218 729 232 0.13207 0.425430 BG
paper 700 480 729 498 0.12823 0.485458 BG
paper 585 0 697 54 0.123194 0.256691 BG
paper 104 349 130 394 0.121497 0.764418 BG
paper 725 494 729 498 0.121301 0.298364 BG
paper 344 0 393 18 0.120881 0.354755 BG
paper 187 0 231 22 0.116786 0.623754 BG
paper 88 350 112 359 0.105883 0.846284 BG
paper 497 162 536 194 0.101904 0.590805 BG
paper 228 0 253 20 0.100935 0.654765 BG
paper 284 39 296 50 0.100174 0.755358 BG
box 701 196 705 197 0.238408 0.442624 BG
box 712 184 720 195 0.223519 0.366875 BG
box 695 193 705 197 0.210332 0.571454 BG
box 683 262 696 274 0.205083 0.304940 BG
box 721 183 729 197 0.192389 0.224041 BG
box 616 465 639 516 0.192388 0.681022 BG
box 724 217 729 232 0.17435 0.425430 BG
box 531 282 546 302 0.161929 0.613597 BG
box 343 1 395 18 0.154588 0.354755 BG
box 502 365 539 442 0.138414 0.542178 BG
box 672 160 681 165 0.13763 0.783674 BG
box 351 515 371 529 0.136228 0.306716 BG
box 1 175 6 180 0.133496 0.695817 BG
box 336 429 363 440 0.123669 0.801624 BG
box 354 425 367 433 0.122828 0.776197 BG
box 502 364 508 369 0.122491 0.754979 BG
box 509 361 527 376 0.119474 0.664519 BG
box 83 350 114 391 0.115931 0.561023 BG
box 679 214 716 232 0.10984 0.661541 BG
box 541 0 664 60 0.10312 0.264243 BG
box 358 430 383 439 0.102141 0.786440 BG
night_stand 0 286 126 475 0.50161 0.329230 endtable
lamp 9 175 49 190 0.279395 0.680488 BG
lamp 9 124 98 190 0.186964 0.738290 BG
lamp 646 2 728 77 0.140279 0.630137 BG
lamp 54 183 100 196 0.109399 0.847613 BG
bag 542 3 658 58 0.108217 0.264243 BG
garbage_bin 572 457 642 524 0.168516 0.587037 BG
garbage_bin 104 340 127 452 0.10469 0.815691 BG
