cabinet 203 3 626 60 0.165167 0.633486 ceiling
chair 529 225 721 512 0.983986 0.011794 chair
chair 362 239 505 459 0.976849 0.014144 chair&&chair
chair 166 237 352 483 0.956268 0.027960 chair&&dining_table
chair 84 245 164 445 0.895932 0.097290 BG
chair 335 234 430 297 0.535473 0.348756 BG
chair 353 220 409 252 0.285989 0.373116 BG
chair 151 220 215 259 0.188564 0.513334 BG
chair 350 191 366 224 0.137153 0.712288 BG
chair 121 250 157 369 0.124009 0.854200 BG
chair 233 252 305 438 0.121203 0.871922 BG
chair 303 141 366 305 0.120488 0.775857 BG
chair 311 167 435 359 0.110143 0.862568 chair
chair 407 239 420 253 0.109765 0.870084 BG
sofa 526 217 693 333 0.328122 0.532543 BG
sofa 582 195 639 302 0.195889 0.665983 BG
sofa 588 222 610 304 0.102442 0.778237 BG
table 130 259 412 443 0.768302 0.156196 chair&&dining_table
table 258 240 440 364 0.609676 0.218309 BG
table 604 291 729 480 0.438113 0.099896 BG
table 347 228 429 302 0.195801 0.288351 BG
table 420 229 518 444 0.161884 0.254963 chair
door 1 194 2 199 0.117666 0.436358 BG
picture 102 102 166 150 0.961588 0.038374 BG
picture 101 48 288 156 0.460495 0.536045 BG
picture 298 182 329 215 0.422354 0.317111 BG
picture 73 23 96 171 0.299328 0.692676 BG
picture 309 203 314 210 0.2656 0.502892 BG
picture 444 0 559 21 0.262473 0.172820 BG
picture 92 22 295 67 0.152046 0.811403 BG
picture 84 79 90 148 0.149407 0.823304 BG
picture 112 124 145 151 0.144296 0.855700 BG
picture 186 114 201 133 0.106625 0.885762 BG
desk 235 236 456 432 0.622378 0.093247 BG
desk 567 249 729 520 0.116378 0.320783 chair
clothes 535 70 601 119 0.155228 0.367044 BG
paper 268 233 314 257 0.605413 0.353295 BG
paper 250 248 296 266 0.416867 0.525465 BG
paper 274 232 285 245 0.383424 0.607633 BG
paper 234 498 289 529 0.25836 0.314827 BG
paper 586 178 623 197 0.254851 0.151173 BG
paper 298 240 313 251 0.201473 0.598702 BG
paper 440 0 550 20 0.200788 0.172820 BG
paper 247 234 328 284 0.186734 0.752431 BG
paper 117 0 176 15 0.161919 0.298416 BG
paper 275 212 326 245 0.135966 0.776593 BG
paper 310 203 313 210 0.124715 0.502892 BG
paper 439 283 442 288 0.123573 0.853646 BG
paper 717 458 729 466 0.115445 0.290696 BG
paper 587 205 610 213 0.115132 0.515060 BG
paper 587 188 621 221 0.113662 0.209693 BG
paper 308 181 328 213 0.111061 0.355267 BG
paper 629 220 636 223 0.110647 0.452920 BG
paper 225 493 239 510 0.107927 0.827413 BG
paper 439 280 464 332 0.105877 0.820991 BG
paper 721 400 729 420 0.104579 0.190054 BG
paper 442 277 445 283 0.102154 0.870617 BG
paper 711 496 729 529 0.100218 0.162794 BG
towel 529 67 604 127 0.157872 0.383867 BG
box 587 197 621 217 0.57393 0.183919 BG
box 586 178 622 198 0.476493 0.151173 BG
box 438 184 472 222 0.149139 0.520476 BG
box 438 214 462 224 0.148233 0.589766 BG
box 635 216 638 220 0.135097 0.526236 BG
box 609 218 616 220 0.133189 0.433083 BG
box 117 1 179 16 0.132051 0.298416 BG
box 628 220 637 222 0.10719 0.452920 BG
lamp 615 285 726 376 0.458421 0.371833 BG
lamp 1 198 2 215 0.141087 0.611621 BG
bag 533 71 604 117 0.210754 0.375752 BG
garbage_bin 445 241 519 328 0.252743 0.660074 BG
garbage_bin 503 255 510 258 0.192986 0.793625 BG
garbage_bin 529 223 588 384 0.140028 0.735291 BG
garbage_bin 717 223 729 229 0.133544 0.154708 BG
garbage_bin 710 495 729 529 0.115955 0.162794 BG
