bed 78 325 729 526 0.173212 0.167632 sofa&&ottoman
chair 0 430 94 528 0.672694 0.258608 sofa
chair 0 447 5 485 0.486568 0.450290 BG
chair 1 272 3 275 0.317172 0.670589 BG
chair 0 445 19 485 0.295752 0.666902 BG
chair 7 468 10 479 0.189377 0.744066 BG
chair 1 265 17 277 0.173559 0.792169 BG
chair 22 441 62 500 0.127314 0.866628 BG
chair 1 264 20 315 0.106597 0.864507 BG
chair 18 451 30 480 0.10186 0.879359 BG
sofa 61 222 723 522 0.962165 0.034297 sofa&&lamp
sofa 571 230 719 282 0.693454 0.228458 BG
sofa 13 222 108 436 0.549324 0.400156 BG
sofa 223 277 729 385 0.433961 0.508275 BG
sofa 648 253 724 286 0.433711 0.428991 BG
sofa 649 236 726 262 0.385422 0.525809 BG
sofa 520 325 729 472 0.260145 0.617150 BG
sofa 49 166 195 510 0.242614 0.749033 BG
sofa 87 399 171 408 0.203497 0.749512 BG
sofa 601 249 687 307 0.19906 0.480175 BG
sofa 642 229 710 243 0.195357 0.542824 BG
sofa 549 236 719 374 0.158812 0.379983 BG
sofa 582 210 706 253 0.15112 0.558864 BG
sofa 702 346 717 351 0.133238 0.274152 BG
door 239 10 259 221 0.302352 0.530371 BG
picture 656 201 697 231 0.381622 0.303614 BG
picture 262 9 439 203 0.358908 0.499298 BG
picture 596 183 696 229 0.317723 0.544251 BG
picture 263 23 334 70 0.281564 0.541583 BG
picture 290 1 309 5 0.276117 0.525079 BG
picture 248 42 311 206 0.184625 0.705179 BG
picture 562 181 636 232 0.184437 0.433593 BG
picture 29 353 46 364 0.156535 0.295771 BG
picture 558 182 586 215 0.156421 0.654551 BG
picture 518 345 584 397 0.152438 0.599381 BG
picture 656 205 671 228 0.132926 0.419549 BG
picture 373 172 405 188 0.121094 0.783831 BG
picture 260 75 320 129 0.111235 0.625757 BG
picture 534 183 585 256 0.106845 0.376447 BG
counter 550 218 659 253 0.252198 0.444420 BG
counter 570 211 640 234 0.164373 0.494687 BG
counter 588 225 649 237 0.128351 0.710549 BG
pillow 68 204 174 328 0.758364 0.233124 BG
pillow 153 223 254 325 0.73246 0.265591 BG
pillow 448 0 454 6 0.723535 0.259704 BG
pillow 590 297 674 338 0.603474 0.381839 BG
pillow 479 248 561 324 0.579862 0.411481 BG
pillow 119 223 167 300 0.514994 0.479448 BG
pillow 557 246 707 344 0.50974 0.367176 BG
pillow 651 287 725 348 0.370033 0.472309 BG
pillow 695 346 716 350 0.322278 0.247363 BG
pillow 533 242 621 322 0.283589 0.661915 BG
pillow 447 0 493 18 0.220781 0.524225 BG
pillow 695 348 703 350 0.203613 0.465365 BG
pillow 678 336 690 342 0.186039 0.772833 BG
pillow 112 277 170 326 0.180191 0.819387 BG
pillow 386 0 456 8 0.162812 0.684262 BG
pillow 584 318 591 323 0.16019 0.839721 BG
pillow 29 500 72 528 0.146713 0.713118 BG
pillow 52 509 62 529 0.13805 0.781501 BG
pillow 702 337 723 350 0.13805 0.411007 BG
pillow 110 285 141 314 0.136223 0.861511 BG
pillow 677 334 711 344 0.125721 0.790133 BG
pillow 565 318 591 330 0.122784 0.876984 BG
pillow 73 224 153 246 0.119842 0.840013 BG
pillow 343 311 346 313 0.11564 0.756143 BG
pillow 694 342 700 347 0.105882 0.647546 BG
pillow 93 229 509 329 0.103278 0.864309 BG
pillow 371 309 377 312 0.101191 0.896021 BG
pillow 702 342 709 347 0.101071 0.596278 BG
pillow 604 253 680 301 0.100355 0.480175 BG
mirror 230 9 396 229 0.230326 0.440921 BG
mirror 538 165 541 179 0.109968 0.743894 BG
clothes 0 31 25 73 0.160517 0.635861 BG
clothes 561 240 659 297 0.142637 0.618943 BG
clothes 568 273 577 290 0.111148 0.844959 BG
clothes 0 20 58 236 0.106005 0.760272 BG
paper 530 396 592 445 0.755658 0.206959 BG
paper 0 377 35 383 0.667837 0.320421 BG
paper 1 353 47 382 0.604614 0.267982 BG
paper 567 420 579 425 0.598441 0.395231 BG
paper 534 388 561 406 0.517371 0.457928 BG
paper 1 359 34 424 0.375326 0.329092 BG
paper 30 352 46 363 0.298178 0.295771 BG
paper 521 431 535 440 0.243622 0.506108 BG
paper 610 485 639 529 0.172594 0.549635 BG
paper 556 238 569 246 0.171111 0.334671 BG
paper 613 479 727 529 0.16977 0.464071 floor
paper 530 241 532 242 0.141567 0.345920 BG
paper 705 467 712 471 0.140829 0.365927 BG
paper 361 143 370 166 0.136601 0.764446 BG
paper 674 475 678 479 0.136312 0.676044 BG
paper 448 0 493 18 0.136146 0.524225 BG
paper 524 344 585 396 0.130134 0.599381 BG
paper 528 382 536 399 0.12821 0.818415 BG
paper 492 373 501 381 0.123244 0.779058 BG
paper 502 377 519 381 0.116369 0.796491 BG
paper 492 375 493 377 0.114903 0.817742 BG
paper 492 365 519 381 0.111473 0.773231 BG
paper 374 173 395 179 0.110027 0.776053 BG
paper 289 0 308 5 0.108212 0.525079 BG
paper 508 493 632 529 0.104421 0.776579 BG
paper 716 314 729 333 0.103944 0.399036 BG
paper 379 159 387 173 0.102986 0.816204 BG
paper 695 349 702 351 0.100922 0.465365 BG
box 609 491 637 529 0.377879 0.426853 BG
box 0 353 9 358 0.304447 0.627355 BG
box 1 352 47 403 0.275412 0.188546 BG
box 519 346 594 447 0.229541 0.361295 BG
box 521 429 535 441 0.207545 0.506108 BG
box 29 352 45 364 0.195553 0.295771 BG
box 700 228 706 234 0.18127 0.529693 BG
box 530 241 532 241 0.178058 0.345920 BG
box 610 475 729 529 0.168392 0.464071 floor
box 676 226 680 230 0.164058 0.703513 BG
box 556 238 569 245 0.16083 0.334671 BG
box 488 413 534 431 0.132928 0.727404 BG
box 617 492 636 502 0.130486 0.823386 BG
box 661 214 671 223 0.123249 0.503619 BG
box 657 224 679 230 0.122514 0.594486 BG
box 716 312 729 332 0.115574 0.399036 BG
box 69 509 74 514 0.108018 0.727800 BG
box 92 484 174 529 0.107266 0.305022 floor
box 699 328 700 332 0.101833 0.686415 BG
box 702 312 729 350 0.101732 0.473415 BG
person 269 72 318 128 0.115245 0.575369 BG
garbage_bin 78 459 177 528 0.140467 0.629215 floor
garbage_bin 72 426 98 523 0.137617 0.783091 BG
