chair 127 330 372 529 0.939721 0.048306 chair&&table
sofa 0 525 698 529 0.138651 0.212881 BG
table 158 280 729 505 0.971675 0.005470 table
table 56 333 381 507 0.361669 0.285182 table
bookshelf 261 1 609 222 0.621046 0.372623 bookshelf
bookshelf 268 31 411 387 0.425678 0.540693 BG
picture 366 242 391 271 0.192891 0.673003 BG
picture 413 2 450 30 0.146647 0.592622 BG
picture 106 17 149 130 0.123742 0.559095 BG
picture 7 6 97 125 0.12188 0.277438 BG
counter 12 350 149 460 0.210636 0.661409 basin
counter 259 262 438 375 0.148299 0.799634 BG
blinds 0 128 113 257 0.102334 0.664124 air_conditioner
desk 1 298 376 508 0.282104 0.226657 table
desk 143 260 716 515 0.248508 0.030787 table
paper 640 276 677 303 0.638535 0.290179 BG
paper 23 412 28 417 0.412189 0.540035 BG
paper 15 393 52 407 0.336739 0.494517 BG
paper 409 288 427 296 0.285815 0.705441 BG
paper 698 393 729 408 0.285722 0.496442 BG
paper 388 282 426 296 0.281199 0.714786 BG
paper 725 397 729 399 0.241268 0.314415 BG
paper 712 388 718 392 0.233771 0.528947 BG
paper 550 86 598 147 0.230785 0.606815 BG
paper 16 391 54 458 0.210456 0.611134 BG
paper 554 108 597 122 0.204184 0.664592 BG
paper 285 291 313 303 0.193662 0.790201 BG
paper 666 301 670 303 0.185153 0.776146 BG
paper 563 120 596 134 0.166354 0.676740 BG
paper 707 372 729 395 0.161246 0.641141 BG
paper 417 293 486 310 0.157924 0.839072 BG
paper 682 380 711 404 0.147622 0.830041 BG
paper 277 297 278 298 0.147219 0.793053 BG
paper 377 295 530 333 0.146687 0.852839 BG
paper 400 316 499 342 0.139471 0.860409 BG
paper 411 0 451 32 0.134743 0.592622 BG
paper 219 333 243 350 0.131211 0.853975 BG
paper 315 140 333 143 0.129338 0.689782 BG
paper 220 333 224 341 0.127927 0.836475 BG
paper 317 125 400 152 0.124689 0.711678 BG
paper 308 142 314 146 0.124125 0.763181 BG
paper 393 323 453 337 0.113675 0.886194 BG
paper 290 138 368 150 0.113054 0.726985 BG
paper 169 311 195 323 0.112394 0.861590 BG
paper 719 346 722 349 0.112035 0.761483 BG
paper 106 16 148 123 0.111694 0.559095 BG
paper 311 144 335 154 0.108144 0.797279 BG
paper 337 149 371 156 0.107459 0.736249 BG
paper 576 82 587 93 0.106207 0.524897 BG
paper 380 0 397 48 0.104978 0.691101 BG
paper 169 318 178 321 0.103885 0.873513 BG
paper 121 143 143 151 0.102789 0.579791 BG
box 104 18 148 128 0.117821 0.559095 BG
box 576 82 587 92 0.11173 0.524897 BG
box 380 30 398 44 0.10751 0.662445 BG
whiteboard 6 2 90 158 0.500055 0.257344 BG
whiteboard 5 126 96 142 0.101075 0.739835 BG
lamp 726 396 729 400 0.1217 0.314415 BG
garbage_bin 117 369 129 377 0.118982 0.665240 BG
