bed 345 0 655 529 0.105518 0.739332 coffee_table
chair 103 196 387 513 0.117809 0.621257 BG
sofa 60 0 611 308 0.969001 0.029937 BG
sofa 1 46 152 164 0.824344 0.148504 BG
sofa 30 106 402 529 0.700464 0.288293 BG
sofa 9 26 202 335 0.532826 0.331076 BG
sofa 0 47 105 95 0.298539 0.638269 BG
sofa 76 11 356 171 0.173984 0.789097 BG
table 244 126 729 515 0.36882 0.570664 coffee_table&&floor
table 7 373 140 529 0.103735 0.422416 BG
desk 258 80 723 507 0.171792 0.510204 sofa&&coffee_table&&floor
pillow 13 69 155 206 0.615349 0.345489 BG
pillow 336 0 507 68 0.306937 0.661763 BG
pillow 118 127 176 180 0.186568 0.786234 BG
pillow 361 45 459 121 0.171322 0.825981 BG
pillow 207 156 225 173 0.149035 0.820312 BG
pillow 654 220 688 230 0.109991 0.800089 BG
pillow 604 196 721 284 0.10683 0.478321 BG
pillow 284 300 287 303 0.101519 0.852463 BG
clothes 1 325 5 330 0.303239 0.671532 BG
clothes 10 328 15 329 0.291471 0.663318 BG
clothes 7 329 17 333 0.264632 0.707699 BG
paper 498 230 729 280 0.505639 0.332327 BG
paper 517 228 612 260 0.4933 0.476301 BG
paper 499 246 592 276 0.43892 0.474971 BG
paper 598 324 628 344 0.261771 0.728803 BG
paper 499 210 688 374 0.245564 0.677420 BG
paper 629 263 641 273 0.238348 0.636125 BG
paper 576 324 628 375 0.236385 0.750008 BG
paper 394 451 403 467 0.234879 0.208920 BG
paper 635 268 660 279 0.232407 0.671335 BG
paper 0 412 37 430 0.200637 0.455891 BG
paper 602 259 660 294 0.183135 0.766136 BG
paper 603 321 605 323 0.180781 0.814587 BG
paper 154 361 164 368 0.176211 0.491926 BG
paper 686 269 729 286 0.17533 0.478627 BG
paper 587 229 593 232 0.174892 0.750446 BG
paper 553 281 643 346 0.164393 0.820236 BG
paper 603 281 627 301 0.163134 0.787239 BG
paper 717 287 729 297 0.161985 0.370395 BG
paper 719 267 729 273 0.151916 0.339737 BG
paper 572 214 639 250 0.15052 0.778780 BG
paper 585 277 618 289 0.137081 0.819902 BG
paper 627 272 673 297 0.135943 0.812832 BG
paper 566 276 617 303 0.132361 0.833636 BG
paper 586 261 727 326 0.12815 0.779210 BG
paper 138 370 145 376 0.127488 0.539868 BG
paper 695 281 729 301 0.126707 0.557617 BG
paper 568 344 583 352 0.121378 0.876420 BG
paper 603 295 607 301 0.118759 0.859413 BG
paper 697 210 710 212 0.114899 0.590830 BG
paper 538 336 625 409 0.110235 0.836851 BG
paper 2 398 125 524 0.108048 0.422416 BG
paper 597 290 606 303 0.107992 0.878883 BG
paper 608 284 674 341 0.106009 0.842522 BG
paper 592 232 616 247 0.10507 0.801124 BG
towel 100 402 117 490 0.120026 0.705681 BG
box 440 279 474 306 0.347839 0.551692 BG
box 671 35 680 38 0.171307 0.723113 BG
box 591 2 636 37 0.167103 0.765573 BG
box 696 209 709 213 0.149443 0.590830 BG
box 441 278 504 351 0.139563 0.688584 BG
box 719 266 729 273 0.122185 0.339737 BG
box 0 413 41 430 0.113206 0.455891 BG
box 695 279 729 301 0.108863 0.557617 BG
box 394 450 404 467 0.10881 0.208920 BG
bag 630 181 711 216 0.184951 0.625428 BG
bag 640 220 729 279 0.161082 0.465569 BG
garbage_bin 171 122 184 126 0.318927 0.538144 BG
garbage_bin 167 122 174 126 0.219707 0.636600 BG
garbage_bin 158 122 183 129 0.202347 0.703858 BG
garbage_bin 393 450 403 467 0.197766 0.208920 BG
garbage_bin 435 453 449 468 0.183345 0.404383 BG
garbage_bin 154 99 213 128 0.137334 0.813022 BG
garbage_bin 720 267 729 273 0.12196 0.339737 BG
