table 262 140 541 422 0.979422 0.002116 desk&&chair
picture 48 324 78 352 0.203872 0.173103 BG
picture 65 326 77 338 0.202098 0.526573 BG
picture 59 328 67 337 0.188185 0.368391 BG
picture 31 467 38 474 0.17066 0.782323 BG
picture 54 336 64 346 0.168038 0.585956 BG
picture 722 272 726 277 0.128978 0.159643 BG
picture 65 322 73 327 0.115331 0.593881 BG
picture 31 328 54 336 0.109535 0.144856 BG
picture 233 21 236 27 0.106786 0.707792 BG
picture 233 29 241 40 0.102588 0.694868 BG
picture 228 33 231 42 0.100676 0.685463 BG
paper 48 329 63 346 0.575392 0.213425 BG
paper 31 327 53 336 0.563034 0.144856 BG
paper 59 328 67 337 0.368344 0.368391 BG
paper 344 489 350 497 0.297921 0.250060 BG
paper 52 314 64 328 0.294895 0.487773 BG
paper 356 477 365 492 0.252575 0.192194 BG
paper 367 482 371 489 0.237813 0.182273 BG
paper 350 481 358 503 0.237058 0.194219 BG
paper 65 326 77 338 0.223369 0.526573 BG
paper 723 272 726 277 0.211055 0.159643 BG
paper 557 363 558 370 0.208528 0.113739 BG
paper 696 511 703 518 0.197003 0.290993 BG
paper 157 425 160 431 0.182361 0.246031 BG
paper 61 324 66 332 0.178932 0.624205 BG
paper 533 388 543 399 0.169136 0.063804 BG
paper 252 281 257 283 0.167266 0.215990 BG
paper 232 21 236 27 0.16363 0.707792 BG
paper 412 506 424 526 0.161202 0.509919 BG
paper 43 347 49 351 0.160414 0.480667 BG
paper 227 32 230 42 0.159136 0.685463 BG
paper 696 510 697 514 0.149881 0.494523 BG
paper 165 452 185 468 0.149247 0.138235 BG
paper 65 322 73 327 0.149054 0.593881 BG
paper 705 516 706 519 0.146092 0.151954 BG
paper 232 28 240 40 0.145997 0.694868 BG
paper 112 470 119 475 0.144074 0.182271 BG
paper 258 307 264 312 0.143443 0.404308 BG
paper 587 365 595 371 0.142725 0.440722 BG
paper 133 450 146 458 0.140263 0.402624 BG
paper 124 468 131 480 0.139117 0.206130 BG
paper 418 516 425 526 0.136146 0.387183 BG
paper 48 350 60 354 0.135611 0.559055 BG
paper 623 378 634 388 0.134875 0.473718 BG
paper 425 527 427 529 0.132915 0.150958 BG
paper 230 19 234 30 0.131203 0.756307 BG
paper 632 371 635 374 0.131006 0.548228 BG
paper 395 527 409 529 0.129487 0.181059 BG
paper 672 506 707 523 0.129026 0.628143 BG
paper 688 477 729 524 0.128048 0.415790 BG
paper 1 465 10 526 0.127525 0.316593 BG
paper 538 427 545 436 0.126834 0.450600 BG
paper 123 459 129 466 0.126133 0.256045 BG
paper 122 441 148 460 0.125968 0.281152 BG
paper 602 414 607 420 0.125338 0.340650 BG
paper 424 511 430 526 0.125055 0.597774 BG
paper 162 241 166 255 0.120836 0.783287 BG
paper 615 384 622 390 0.120225 0.556184 BG
paper 170 235 174 244 0.11997 0.797292 BG
paper 140 441 149 448 0.11932 0.434576 BG
paper 170 426 183 431 0.118733 0.223971 BG
paper 429 527 437 529 0.116959 0.163186 BG
paper 594 363 601 370 0.114622 0.462555 BG
paper 412 506 419 510 0.112609 0.778784 BG
paper 159 512 179 524 0.112411 0.431528 BG
paper 53 356 57 364 0.10422 0.657709 BG
paper 439 527 451 529 0.104131 0.190004 BG
paper 237 265 258 273 0.102799 0.521349 BG
paper 713 474 722 477 0.101079 0.552017 BG
paper 709 520 713 523 0.100906 0.295489 BG
paper 294 444 302 449 0.100194 0.296369 BG
box 696 510 704 518 0.2098 0.290993 BG
box 705 515 706 519 0.169874 0.151954 BG
box 345 488 351 497 0.154534 0.250060 BG
box 602 413 607 420 0.141567 0.340650 BG
box 696 510 697 514 0.13502 0.494523 BG
box 1 477 9 523 0.131995 0.295096 BG
box 713 474 721 478 0.13047 0.552017 BG
box 688 473 729 524 0.127958 0.415790 BG
box 709 519 713 523 0.12658 0.295489 BG
box 49 349 60 354 0.122902 0.559055 BG
box 557 362 559 369 0.121761 0.113739 BG
box 258 308 265 311 0.116542 0.404308 BG
box 622 378 633 388 0.108531 0.473718 BG
box 43 346 49 351 0.106064 0.480667 BG
box 350 480 358 503 0.105597 0.194219 BG
box 722 272 726 277 0.101887 0.159643 BG
bathtub 3 285 222 506 0.162296 0.393877 BG
garbage_bin 533 387 543 399 0.241231 0.063804 BG
garbage_bin 366 481 371 490 0.20423 0.182273 BG
garbage_bin 355 476 366 493 0.200001 0.192194 BG
garbage_bin 294 443 302 449 0.19434 0.296369 BG
garbage_bin 557 362 558 370 0.159868 0.113739 BG
garbage_bin 349 480 358 504 0.150224 0.194219 BG
garbage_bin 344 488 351 497 0.14283 0.250060 BG
garbage_bin 716 525 729 529 0.121982 0.063440 BG
garbage_bin 251 281 258 283 0.118911 0.215990 BG
