cabinet 343 263 456 375 0.124486 0.175467 box&&garbage_bin
bed 37 202 383 418 0.196347 0.275471 BG
chair 410 191 496 250 0.143923 0.840886 BG
sofa 2 10 172 151 0.193411 0.720431 BG
sofa 25 211 371 415 0.176062 0.275471 BG
table 19 245 422 410 0.148975 0.573278 BG
table 361 387 449 425 0.141717 0.636685 BG
picture 345 3 415 45 0.955925 0.040700 picture
picture 196 0 244 42 0.814307 0.185133 picture
picture 345 3 353 42 0.65019 0.307983 BG
picture 1 281 11 372 0.250142 0.542846 BG
picture 186 0 200 48 0.225954 0.743214 BG
picture 112 2 152 34 0.185938 0.332487 BG
picture 255 5 307 37 0.184687 0.395392 BG
picture 2 241 22 425 0.151175 0.490310 laptop
picture 360 38 412 49 0.14861 0.839366 BG
picture 128 1 143 16 0.141151 0.388931 BG
picture 545 138 559 150 0.130228 0.500977 BG
desk 7 237 471 394 0.40657 0.406693 BG
desk 328 261 456 378 0.210203 0.342306 box
dresser 354 264 462 388 0.123537 0.175467 box
clothes 426 70 429 78 0.309717 0.650878 BG
clothes 442 265 483 337 0.198146 0.497755 BG
clothes 422 74 429 81 0.167416 0.786359 BG
clothes 411 63 428 74 0.163998 0.792903 BG
clothes 466 284 491 310 0.146449 0.702308 BG
clothes 443 20 473 81 0.129788 0.545729 clothes
clothes 432 73 437 78 0.11494 0.844418 BG
clothes 13 379 42 425 0.104419 0.654841 BG
fridge 382 211 456 390 0.336078 0.522669 BG
fridge 399 275 435 383 0.134623 0.812241 BG
tv 385 417 407 426 0.286159 0.374371 BG
tv 0 258 22 426 0.264025 0.490310 laptop
paper 461 410 468 414 0.355963 0.418695 BG
paper 442 398 478 426 0.32737 0.276528 BG
paper 241 92 265 112 0.309597 0.163222 BG
paper 180 75 297 143 0.264322 0.143518 BG
paper 555 156 560 169 0.259637 0.273292 BG
paper 192 120 205 136 0.214646 0.201174 BG
paper 260 90 267 106 0.213293 0.280002 BG
paper 396 391 466 426 0.204798 0.444190 BG
paper 536 0 560 31 0.194852 0.373234 ceiling
paper 94 336 98 347 0.192602 0.776626 BG
paper 193 120 257 143 0.191953 0.157131 BG
paper 244 134 256 140 0.188384 0.123140 BG
paper 438 397 447 413 0.181328 0.647584 BG
paper 557 165 560 188 0.180502 0.334292 BG
paper 471 379 537 426 0.179464 0.249499 BG
paper 543 168 555 179 0.15985 0.547207 BG
paper 547 154 552 159 0.139883 0.712792 BG
paper 221 141 287 175 0.137366 0.215942 BG
paper 526 167 558 181 0.131233 0.736776 BG
paper 535 31 560 36 0.120275 0.360085 BG
paper 1 371 6 379 0.118023 0.667538 BG
paper 536 0 539 32 0.112049 0.727403 BG
paper 128 0 143 16 0.110351 0.388931 BG
paper 95 324 118 337 0.109957 0.834833 BG
paper 405 417 419 426 0.107527 0.201878 BG
paper 5 369 9 377 0.103397 0.643419 BG
paper 112 0 151 34 0.100257 0.332487 BG
towel 444 21 471 87 0.116564 0.545729 clothes
box 554 155 560 164 0.249859 0.257347 BG
box 243 134 256 140 0.211328 0.123140 BG
box 179 72 300 143 0.165282 0.143518 BG
box 442 397 479 425 0.158748 0.276528 BG
box 535 30 560 36 0.148316 0.360085 BG
box 471 376 538 425 0.142952 0.249499 BG
box 395 388 468 425 0.139281 0.444190 BG
box 461 410 469 414 0.138833 0.418695 BG
box 46 2 110 38 0.135176 0.450297 BG
box 192 121 256 143 0.133855 0.157131 BG
box 404 416 418 426 0.129251 0.201878 BG
box 546 144 559 159 0.122757 0.629712 BG
box 110 1 151 32 0.119637 0.332487 BG
box 536 0 560 30 0.117093 0.373234 ceiling
box 455 12 459 14 0.112538 0.608979 BG
box 495 149 556 239 0.109989 0.637352 BG
box 418 276 425 282 0.109745 0.881424 BG
box 192 120 205 136 0.108516 0.201174 BG
box 221 140 286 175 0.106149 0.215942 BG
box 367 401 421 425 0.101935 0.564327 BG
person 405 266 412 277 0.141725 0.746381 BG
night_stand 352 265 438 397 0.74931 0.136165 box
toilet 477 198 560 303 0.100517 0.694242 stove
lamp 535 0 560 83 0.2319 0.130617 BG
lamp 346 106 404 303 0.127739 0.811984 BG
lamp 535 30 560 37 0.120504 0.360085 BG
lamp 546 137 559 151 0.110015 0.500977 BG
bag 442 273 482 340 0.185787 0.497755 BG
bag 444 22 470 85 0.15876 0.545729 BG
bag 465 287 490 311 0.10985 0.702308 BG
bag 8 362 79 426 0.105789 0.338634 BG
garbage_bin 462 243 504 255 0.789808 0.210186 BG
garbage_bin 470 251 499 273 0.767576 0.232290 BG
garbage_bin 488 230 503 241 0.732936 0.252341 BG
garbage_bin 422 204 500 333 0.640801 0.272148 garbage_bin
garbage_bin 444 251 475 270 0.241565 0.755300 BG
garbage_bin 414 224 505 263 0.212627 0.786351 BG
garbage_bin 221 139 288 176 0.185446 0.215942 BG
garbage_bin 243 134 257 140 0.158283 0.123140 BG
garbage_bin 190 121 258 144 0.156164 0.157131 BG
garbage_bin 431 340 435 345 0.152964 0.787980 BG
garbage_bin 192 120 205 137 0.123144 0.201174 BG
garbage_bin 435 336 449 345 0.119358 0.817329 BG
garbage_bin 550 352 554 355 0.111222 0.248323 BG
garbage_bin 248 48 322 67 0.107454 0.642971 BG
