cabinet 1 42 151 420 0.184812 0.463902 bookshelf
bed 303 208 560 419 0.715449 0.098113 chair
chair 275 226 550 426 0.171537 0.468777 chair
sofa 511 254 557 263 0.125878 0.624381 BG
table 130 218 372 426 0.944152 0.031252 table&&chair
door 46 4 126 229 0.41344 0.344948 BG
picture 114 0 260 77 0.996644 0.003322 painting&&picture
picture 306 2 357 96 0.983852 0.015535 painting&&picture
picture 251 1 300 73 0.974633 0.018191 painting&&picture
picture 354 6 390 63 0.923723 0.046335 painting
picture 250 0 259 65 0.830609 0.141707 BG
picture 305 2 312 90 0.8067 0.186791 BG
picture 353 6 361 63 0.75542 0.160050 BG
picture 115 6 133 75 0.706182 0.191921 BG
picture 294 2 298 64 0.606332 0.325039 BG
picture 149 1 153 16 0.517945 0.468405 BG
picture 126 38 133 74 0.395249 0.596608 BG
picture 237 4 251 71 0.35765 0.563804 BG
picture 332 9 345 32 0.271834 0.698998 BG
picture 127 61 128 67 0.20699 0.757654 BG
picture 218 186 255 227 0.135404 0.462866 BG
picture 130 71 238 82 0.118206 0.871198 BG
picture 227 187 244 193 0.109427 0.714226 BG
picture 546 139 549 139 0.106272 0.550973 BG
counter 135 214 304 334 0.101271 0.894334 BG
desk 57 220 514 419 0.31502 0.048165 table
clothes 367 242 545 426 0.606377 0.183185 chair
clothes 408 251 528 304 0.130675 0.781299 BG
clothes 361 309 400 394 0.102136 0.732580 BG
tv 447 127 560 236 0.776697 0.218539 tv
tv 528 241 557 246 0.223924 0.626118 BG
tv 528 241 560 263 0.154348 0.616489 BG
tv 546 242 553 246 0.154274 0.685686 BG
tv 557 242 560 244 0.123292 0.422496 BG
tv 539 254 560 264 0.115552 0.412698 BG
paper 556 145 560 146 0.163217 0.315149 BG
paper 1 129 19 160 0.147499 0.099835 BG
paper 128 383 148 426 0.142312 0.384619 BG
paper 1 215 16 223 0.130944 0.120273 BG
paper 546 138 549 139 0.129584 0.550973 BG
paper 1 157 15 167 0.128514 0.086739 BG
paper 547 138 560 143 0.127436 0.442506 BG
paper 542 132 560 137 0.126617 0.547938 BG
paper 2 299 93 426 0.111938 0.357740 BG
paper 552 173 555 175 0.109118 0.474630 BG
paper 2 2 67 195 0.10727 0.299803 BG
paper 549 329 560 426 0.103016 0.585242 BG
box 287 387 321 425 0.227655 0.552214 BG
box 551 293 560 298 0.168643 0.431608 BG
box 534 254 559 264 0.158091 0.363595 BG
box 304 396 307 398 0.138277 0.734114 BG
box 544 279 560 298 0.124368 0.433497 BG
box 543 262 560 279 0.118485 0.401961 BG
box 373 398 394 426 0.105232 0.598614 BG
box 191 407 208 426 0.103094 0.167858 BG
box 436 193 449 214 0.102188 0.842422 BG
box 127 379 147 426 0.101129 0.384619 BG
whiteboard 4 169 129 284 0.281723 0.445139 BG
bag 191 407 207 426 0.12552 0.167858 BG
bag 220 195 245 224 0.108029 0.497273 BG
garbage_bin 1 157 15 167 0.111158 0.086739 BG
garbage_bin 1 214 17 223 0.102256 0.120273 BG
