cabinet 169 192 315 284 0.176679 0.756376 desk
chair 4 267 90 421 0.93331 0.041824 chair
chair 318 282 425 393 0.899381 0.092660 BG
chair 424 323 544 405 0.823175 0.116589 chair
chair 311 174 388 262 0.573045 0.314492 chair
chair 411 336 450 394 0.536951 0.419307 BG
chair 3 294 46 369 0.469915 0.515037 BG
chair 381 323 440 420 0.338132 0.391337 BG
chair 85 338 237 422 0.269796 0.357005 BG
chair 391 334 416 390 0.230042 0.406851 BG
chair 282 418 290 426 0.201339 0.438579 BG
chair 495 345 508 396 0.160958 0.833165 BG
chair 1 345 38 368 0.135442 0.855325 BG
chair 416 365 436 386 0.124843 0.872988 BG
chair 0 352 60 426 0.117803 0.421175 chair
chair 503 287 551 403 0.115325 0.820393 BG
chair 295 202 303 252 0.113765 0.874855 BG
chair 380 336 408 362 0.107633 0.867263 BG
table 333 247 540 414 0.909954 0.028405 table
table 358 299 448 411 0.730264 0.184193 BG
table 79 271 346 409 0.350374 0.541752 floor
table 373 328 421 388 0.271355 0.290945 BG
table 421 315 550 395 0.227698 0.283834 BG
table 390 329 441 362 0.215898 0.636049 BG
table 25 214 164 401 0.20999 0.554521 BG
table 69 351 254 420 0.202129 0.627672 BG
table 274 393 386 426 0.105735 0.171662 box
bookshelf 13 116 185 221 0.886548 0.111958 bookshelf
bookshelf 9 132 44 259 0.634744 0.362640 BG
bookshelf 158 128 194 162 0.445757 0.392174 BG
bookshelf 74 147 257 190 0.331999 0.659406 BG
bookshelf 5 153 102 209 0.260529 0.721755 BG
bookshelf 166 127 311 275 0.193363 0.613389 BG
bookshelf 21 185 45 210 0.129214 0.840204 BG
bookshelf 42 67 276 287 0.12197 0.874273 BG
picture 267 249 296 301 0.278697 0.684782 BG
picture 207 143 277 176 0.169617 0.455433 BG
picture 309 150 317 157 0.163732 0.722598 BG
picture 309 149 328 165 0.130953 0.722861 BG
picture 294 263 298 270 0.124734 0.774227 BG
picture 31 1 242 35 0.111977 0.670167 BG
picture 289 271 301 300 0.109099 0.859056 BG
picture 317 144 342 169 0.10464 0.761388 BG
picture 219 161 285 187 0.10364 0.573529 BG
picture 245 145 250 153 0.100804 0.595780 BG
counter 195 143 212 149 0.302076 0.340959 BG
counter 192 145 223 163 0.20767 0.471381 BG
counter 182 139 218 184 0.164497 0.457755 BG
counter 317 159 330 167 0.152614 0.631559 BG
counter 208 153 229 161 0.119206 0.472371 BG
desk 178 179 450 291 0.559759 0.356469 BG
desk 339 265 482 394 0.447108 0.071324 BG
desk 429 249 553 413 0.36351 0.467141 BG
desk 27 188 204 378 0.314107 0.674799 BG
desk 93 165 301 312 0.2708 0.702071 BG
desk 292 164 416 245 0.201618 0.601588 bookshelf
desk 391 330 419 387 0.14987 0.406851 BG
desk 196 199 340 248 0.11915 0.741494 BG
clothes 413 132 501 231 0.777126 0.069974 BG
clothes 112 370 232 426 0.271844 0.345200 back_pack
clothes 127 398 196 426 0.182433 0.586714 BG
clothes 435 136 457 183 0.156316 0.775283 BG
clothes 454 133 498 159 0.124867 0.845682 BG
paper 89 210 103 218 0.258449 0.712415 BG
paper 86 229 92 232 0.231307 0.733830 BG
paper 63 214 134 239 0.227818 0.743620 BG
paper 73 202 102 224 0.200223 0.717792 BG
paper 338 261 454 311 0.197204 0.733659 BG
paper 553 237 560 251 0.18262 0.376049 BG
paper 283 395 385 426 0.180797 0.171662 box
paper 148 51 196 132 0.158904 0.483393 BG
paper 65 212 88 224 0.156839 0.750953 BG
paper 86 192 172 237 0.139846 0.748706 BG
paper 486 293 525 315 0.134278 0.823827 BG
paper 532 401 560 426 0.128296 0.632016 box
paper 407 260 438 274 0.12657 0.866956 paper
paper 518 297 531 317 0.126342 0.798958 BG
paper 28 92 48 118 0.121516 0.528612 BG
paper 544 227 557 246 0.107056 0.649972 BG
paper 553 358 560 376 0.103443 0.458807 BG
paper 85 229 106 237 0.102436 0.867667 BG
paper 60 208 62 208 0.101463 0.639400 BG
paper 245 145 250 154 0.100613 0.595780 BG
towel 477 133 502 231 0.125831 0.262953 BG
box 530 291 558 320 0.57446 0.271731 BG
box 399 231 443 260 0.537365 0.373505 BG
box 528 292 529 295 0.48562 0.407939 BG
box 52 88 61 121 0.452981 0.335326 BG
box 28 92 49 118 0.366125 0.437387 BG
box 225 232 327 296 0.360368 0.544410 BG
box 514 393 560 426 0.358353 0.473754 box
box 529 275 557 294 0.352294 0.473910 BG
box 499 346 556 424 0.23283 0.658835 BG
box 176 163 216 196 0.230687 0.593200 BG
box 539 399 560 418 0.208798 0.680470 BG
box 426 223 443 232 0.173835 0.616620 BG
box 370 213 450 253 0.152716 0.676768 BG
box 553 356 560 376 0.132236 0.458807 BG
box 493 268 554 294 0.126593 0.620326 BG
box 512 392 519 425 0.123579 0.769555 BG
box 162 70 197 132 0.116518 0.432468 BG
box 184 136 214 178 0.109735 0.457755 BG
box 65 211 84 217 0.107433 0.567913 BG
box 387 200 417 232 0.101566 0.739978 BG
whiteboard 319 21 445 232 0.145637 0.815047 BG
person 136 212 161 295 0.385976 0.460912 BG
person 340 167 365 202 0.34281 0.576775 BG
person 83 204 171 335 0.337229 0.556647 chair&&desk
person 128 272 168 299 0.325938 0.602136 BG
person 88 296 105 329 0.27789 0.665024 BG
person 152 274 160 291 0.246749 0.720497 BG
person 320 136 407 264 0.208761 0.349382 chair
person 84 267 128 335 0.20338 0.739982 BG
person 152 212 174 294 0.159714 0.693135 BG
person 314 142 381 177 0.146934 0.795236 BG
person 12 208 39 251 0.119384 0.811376 BG
person 218 152 275 177 0.108965 0.333611 BG
person 265 165 273 181 0.105052 0.644436 BG
person 128 272 133 278 0.104078 0.687833 BG
person 152 287 190 324 0.103554 0.843009 BG
bag 433 130 502 223 0.248777 0.064741 BG
bag 110 373 224 426 0.172623 0.345200 back_pack
bag 100 191 172 291 0.135465 0.520249 chair
bag 123 400 189 426 0.118765 0.586714 BG
garbage_bin 164 188 173 199 0.291988 0.654295 BG
garbage_bin 166 185 207 206 0.131278 0.797012 BG
garbage_bin 159 187 173 220 0.129773 0.835156 BG
garbage_bin 163 166 181 206 0.12107 0.767380 BG
garbage_bin 159 187 163 194 0.120228 0.670482 BG
