cabinet 148 152 251 253 0.106994 0.726605 table
chair 182 212 465 416 0.394875 0.458384 BG
chair 427 273 534 383 0.269932 0.700465 BG
chair 10 217 227 425 0.255912 0.582354 BG
chair 196 156 259 229 0.17459 0.563022 BG
chair 133 255 238 350 0.102258 0.884182 BG
sofa 147 224 420 426 0.885824 0.070023 BG
sofa 421 231 556 391 0.640567 0.246065 BG
sofa 0 199 197 426 0.567509 0.291052 BG
sofa 264 380 277 383 0.110952 0.762798 BG
table 221 169 244 229 0.229855 0.557875 BG
table 187 162 256 239 0.186485 0.607832 BG
picture 402 10 526 119 0.999911 0.000018 picture
picture 0 3 94 107 0.988064 0.010198 picture
picture 78 5 91 101 0.900323 0.096508 BG
picture 161 0 374 107 0.831726 0.008985 tv
picture 505 16 525 110 0.456339 0.439757 BG
picture 159 0 192 113 0.411326 0.585314 BG
picture 344 6 358 88 0.362913 0.537774 BG
picture 338 81 350 93 0.301543 0.682863 BG
picture 459 3 524 14 0.265257 0.549058 BG
picture 415 65 499 100 0.235154 0.761454 BG
picture 2 90 80 103 0.223157 0.765174 BG
picture 508 87 513 91 0.20785 0.538879 BG
picture 88 1 94 13 0.190388 0.644228 BG
picture 260 87 348 111 0.176055 0.775693 BG
picture 421 106 507 116 0.169664 0.796904 BG
picture 286 104 302 110 0.1654 0.616015 BG
picture 343 66 346 74 0.115932 0.847285 BG
picture 467 30 499 43 0.110551 0.637599 BG
picture 487 57 497 60 0.104038 0.588893 BG
picture 0 23 18 42 0.102281 0.583125 BG
picture 29 91 48 96 0.100455 0.839471 BG
pillow 175 245 176 246 0.236041 0.670613 BG
pillow 158 247 165 255 0.215672 0.777709 BG
pillow 2 212 61 267 0.165896 0.793482 BG
pillow 8 214 165 408 0.138658 0.301968 BG
pillow 206 233 421 391 0.121841 0.438126 BG
pillow 163 239 171 251 0.121307 0.844523 BG
pillow 160 240 162 241 0.113226 0.831670 BG
mirror 149 3 389 126 0.100575 0.011202 tv
clothes 15 225 175 421 0.602078 0.200672 BG
clothes 35 303 56 369 0.198643 0.669696 BG
clothes 222 234 428 395 0.136941 0.420714 BG
tv 175 1 361 122 0.440892 0.020024 tv
tv 1 98 7 101 0.121241 0.785795 BG
paper 0 23 17 41 0.264845 0.583125 BG
paper 542 251 560 256 0.237632 0.657611 BG
paper 255 110 259 121 0.198121 0.679732 BG
paper 488 39 497 43 0.172372 0.581487 BG
paper 488 57 496 60 0.169259 0.588893 BG
paper 204 108 255 119 0.153305 0.511061 BG
paper 350 25 350 31 0.146374 0.623227 BG
paper 441 38 449 54 0.139291 0.778073 BG
paper 190 190 209 225 0.122973 0.654818 BG
paper 557 245 560 252 0.121206 0.659212 BG
paper 275 204 278 205 0.114743 0.846029 BG
paper 468 30 499 43 0.113245 0.637599 BG
paper 512 396 560 426 0.111827 0.347276 BG
paper 421 404 431 426 0.108635 0.638382 BG
paper 476 37 480 45 0.107459 0.670946 BG
towel 398 325 411 345 0.133968 0.645863 BG
towel 2 220 164 421 0.129413 0.262337 BG
towel 35 310 53 365 0.108678 0.669696 BG
box 187 225 190 228 0.585879 0.369156 BG
box 177 221 189 224 0.574797 0.326295 BG
box 187 228 190 237 0.409715 0.515846 BG
box 186 225 201 240 0.2525 0.703443 BG
box 159 179 188 223 0.197734 0.561932 BG
box 190 189 211 225 0.172978 0.654818 BG
box 200 170 219 244 0.141795 0.789678 BG
box 138 363 142 375 0.13497 0.757009 BG
box 204 108 256 119 0.134966 0.511061 BG
box 420 421 421 426 0.12705 0.311564 BG
box 143 337 150 367 0.118553 0.716144 BG
box 174 221 190 235 0.10218 0.794300 BG
whiteboard 286 144 553 223 0.309665 0.451502 BG
bathtub 290 151 546 226 0.104423 0.451502 BG
bag 83 411 124 426 0.122975 0.139329 BG
bag 77 400 114 416 0.11556 0.362658 BG
garbage_bin 81 398 129 425 0.15731 0.293410 BG
garbage_bin 97 381 106 399 0.131532 0.669223 BG
garbage_bin 403 350 407 356 0.123682 0.566515 BG
