bed 465 152 560 418 0.341863 0.535599 stove
chair 322 23 433 225 0.616884 0.370455 BG
chair 388 38 426 165 0.24817 0.750995 BG
chair 331 248 351 268 0.140459 0.659220 BG
table 520 410 547 426 0.111423 0.446098 BG
table 533 414 537 420 0.104444 0.750594 BG
picture 52 165 75 251 0.387573 0.401121 BG
picture 402 1 560 36 0.279734 0.637958 BG
picture 354 2 405 49 0.238676 0.459158 box
picture 464 0 471 14 0.22522 0.753053 BG
picture 371 1 405 16 0.193029 0.635096 BG
picture 542 1 560 21 0.180098 0.457027 BG
picture 526 2 536 23 0.178225 0.651053 BG
picture 446 0 464 11 0.164214 0.786455 BG
picture 106 176 200 238 0.153822 0.644467 BG
picture 471 0 483 26 0.141979 0.817373 BG
picture 433 0 481 26 0.131189 0.796696 BG
picture 496 1 536 37 0.120514 0.765761 box
picture 430 3 437 21 0.103049 0.831087 BG
picture 520 2 560 37 0.102274 0.714804 BG
picture 53 202 73 220 0.102034 0.820338 BG
desk 20 298 440 421 0.289653 0.589794 island&&counter
pillow 162 221 222 282 0.181854 0.746923 BG
pillow 162 274 167 279 0.120089 0.855480 BG
pillow 154 271 162 279 0.103211 0.868984 BG
pillow 168 271 177 278 0.10108 0.882823 BG
clothes 192 231 221 256 0.263225 0.597725 BG
clothes 201 223 221 237 0.117386 0.724914 BG
clothes 163 222 219 277 0.11668 0.682139 BG
tv 512 415 528 426 0.166067 0.492306 BG
tv 0 422 4 426 0.126465 0.517483 BG
paper 101 302 197 323 0.403256 0.586351 BG
paper 101 324 108 325 0.260724 0.727216 BG
paper 353 1 372 50 0.239082 0.426499 BG
paper 90 119 121 157 0.20556 0.699200 BG
paper 179 395 184 398 0.173555 0.575128 BG
paper 536 1 560 34 0.163111 0.537388 BG
paper 182 297 189 302 0.154646 0.820996 BG
paper 194 293 213 302 0.151046 0.831071 BG
paper 363 1 371 6 0.147976 0.687666 BG
paper 352 1 372 9 0.134296 0.674138 BG
paper 150 264 161 274 0.126292 0.777351 BG
paper 188 297 193 297 0.120971 0.865760 BG
paper 372 4 377 10 0.115989 0.727114 BG
paper 92 136 145 166 0.115748 0.678573 BG
paper 224 412 267 426 0.111512 0.192540 BG
paper 431 22 437 27 0.111486 0.454503 BG
paper 199 300 210 303 0.10973 0.874923 BG
paper 143 321 182 324 0.107368 0.845200 BG
paper 352 1 404 22 0.106377 0.591502 BG
paper 529 321 560 374 0.103636 0.477626 BG
paper 91 122 95 138 0.100904 0.877065 BG
box 91 134 145 160 0.268087 0.544900 BG
box 409 369 411 376 0.224009 0.652213 BG
box 352 2 372 49 0.17216 0.426499 BG
box 52 168 75 233 0.164798 0.550205 BG
box 538 172 546 194 0.144772 0.810986 BG
box 58 157 217 221 0.133829 0.551193 microwave
box 453 19 465 34 0.133003 0.428531 BG
box 223 411 266 426 0.130308 0.192540 BG
box 97 152 140 166 0.12948 0.743695 BG
box 453 19 456 28 0.128914 0.455195 BG
box 524 2 535 32 0.122995 0.646797 BG
box 352 1 360 9 0.118755 0.698888 BG
box 179 395 185 398 0.117142 0.575128 BG
box 444 23 445 23 0.115901 0.385466 BG
box 457 14 462 18 0.11458 0.389976 BG
box 390 366 396 375 0.114244 0.791509 BG
box 447 20 451 26 0.112665 0.354869 BG
box 447 11 468 27 0.111545 0.409782 BG
box 448 28 454 33 0.110903 0.496833 BG
box 461 15 472 29 0.110558 0.592695 BG
box 430 22 445 26 0.110299 0.382801 BG
box 538 73 559 190 0.107531 0.777005 BG
box 473 20 480 26 0.107232 0.693685 BG
box 141 243 193 272 0.104459 0.702059 BG
box 554 257 560 262 0.102262 0.761580 BG
box 435 22 454 33 0.100909 0.501994 BG
box 549 246 560 258 0.100501 0.852067 BG
person 403 12 414 15 0.165134 0.797631 BG
person 396 0 426 39 0.163725 0.743909 BG
person 404 0 411 12 0.159619 0.785385 BG
person 403 0 425 15 0.107044 0.835784 BG
person 404 15 415 21 0.102335 0.859105 BG
sink 341 271 373 295 0.110802 0.740544 BG
lamp 550 64 560 67 0.443778 0.545509 BG
lamp 529 54 559 67 0.420035 0.575532 BG
lamp 529 52 560 171 0.332706 0.595557 BG
lamp 196 76 202 81 0.237167 0.464425 BG
lamp 538 65 547 87 0.208373 0.786566 BG
