cabinet 286 15 471 212 0.105601 0.855444 shelf&&shelves
bed 9 114 305 346 0.711837 0.105917 futon&&sofa
chair 314 115 407 308 0.633335 0.186710 BG
chair 94 76 275 416 0.55804 0.410335 futon&&sofa
chair 242 155 306 319 0.24796 0.731082 BG
chair 362 157 399 191 0.130607 0.845044 BG
chair 178 93 192 117 0.12366 0.850974 BG
chair 392 160 398 169 0.120714 0.786357 BG
chair 353 106 481 385 0.114939 0.354348 stool
chair 316 114 397 177 0.101334 0.792323 BG
sofa 17 100 306 426 0.612596 0.075152 futon&&sofa
sofa 550 0 560 14 0.14629 0.183435 BG
table 345 131 539 355 0.486768 0.211067 table&&bookshelf
table 308 119 537 200 0.176442 0.732959 BG
table 0 300 313 426 0.12576 0.862298 BG
table 304 89 412 279 0.102276 0.332263 BG
door 268 44 283 52 0.141816 0.448621 BG
bookshelf 403 163 560 396 0.851636 0.122943 bookshelf
bookshelf 412 260 560 331 0.148638 0.770900 BG
bookshelf 319 0 484 354 0.127809 0.557459 BG
bookshelf 431 227 538 276 0.121525 0.840367 BG
picture 332 1 347 17 0.125396 0.834634 BG
desk 269 128 545 348 0.447715 0.195492 table
desk 306 86 411 277 0.123401 0.332263 BG
pillow 8 126 139 205 0.75824 0.059011 pillow
pillow 19 119 266 348 0.731272 0.130041 futon&&sofa
pillow 137 248 264 343 0.672403 0.314196 BG
pillow 6 273 144 345 0.401081 0.484707 BG
pillow 24 272 55 291 0.311581 0.650045 BG
pillow 197 297 211 315 0.231918 0.765829 BG
pillow 539 126 559 159 0.198576 0.224792 BG
pillow 190 277 225 320 0.179659 0.813787 BG
pillow 119 297 145 335 0.113109 0.850089 BG
clothes 529 119 559 150 0.45349 0.326212 BG
clothes 532 126 536 133 0.366463 0.514390 BG
clothes 535 121 542 132 0.351017 0.451436 BG
clothes 550 125 560 130 0.23596 0.373957 BG
clothes 58 283 62 286 0.205142 0.529394 BG
clothes 17 134 138 200 0.150597 0.106465 pillow
clothes 55 278 145 333 0.120531 0.743330 BG
clothes 538 128 540 130 0.117294 0.753742 BG
fridge 367 115 439 401 0.190604 0.458680 BG
paper 265 384 281 423 0.214633 0.549391 BG
paper 543 308 552 310 0.157706 0.296531 BG
paper 305 326 307 330 0.131158 0.629509 BG
paper 544 285 560 301 0.124501 0.329544 BG
paper 277 415 286 426 0.123962 0.222413 BG
paper 545 240 560 252 0.102706 0.489015 BG
towel 7 131 140 206 0.136213 0.106465 pillow
box 283 166 290 170 0.274071 0.712267 BG
box 307 164 314 182 0.253373 0.672397 BG
box 543 307 551 310 0.207421 0.296531 BG
box 308 152 341 186 0.202361 0.698959 BG
box 307 164 324 193 0.189198 0.741963 BG
box 309 150 315 167 0.167516 0.758880 BG
box 276 414 287 426 0.148244 0.222413 BG
box 248 361 275 425 0.117111 0.606336 BG
box 425 160 437 168 0.113349 0.872294 BG
box 337 98 346 105 0.11252 0.784745 BG
box 309 137 328 167 0.109732 0.829047 BG
box 400 301 558 375 0.106788 0.724976 BG
box 305 325 308 329 0.105537 0.629509 BG
box 430 166 436 176 0.10328 0.887840 BG
box 534 294 554 304 0.101647 0.553460 BG
box 544 284 560 301 0.101574 0.329544 BG
box 264 381 282 423 0.100251 0.549391 BG
person 286 212 322 243 0.100877 0.824330 BG
lamp 433 181 448 233 0.111235 0.780197 BG
lamp 507 27 556 127 0.101437 0.742374 BG
bag 550 125 560 131 0.119392 0.373957 BG
bag 540 125 560 159 0.112825 0.224792 BG
garbage_bin 541 183 560 190 0.198108 0.610253 BG
garbage_bin 369 291 399 336 0.149141 0.478142 BG
