chair 90 122 183 373 0.615407 0.141626 sofa
sofa 134 137 542 359 0.176924 0.537958 futon
table 267 263 551 336 0.179969 0.795042 BG
picture 447 0 483 116 0.205393 0.672461 BG
picture 0 240 27 272 0.18366 0.314988 BG
picture 541 2 555 49 0.110399 0.673865 BG
blinds 1 2 62 235 0.247624 0.549635 BG
blinds 0 25 15 115 0.105651 0.293591 BG
pillow 405 196 517 252 0.715282 0.191573 pillow
pillow 254 162 377 273 0.541523 0.373552 BG
pillow 483 297 535 328 0.296688 0.649914 BG
pillow 347 161 539 283 0.260883 0.639098 BG
pillow 337 232 382 245 0.200844 0.798589 BG
pillow 210 215 352 294 0.173658 0.703693 BG
pillow 320 235 352 271 0.145871 0.850075 BG
pillow 429 202 478 213 0.105678 0.886733 BG
pillow 324 247 337 262 0.105088 0.888973 BG
mirror 387 2 560 244 0.100925 0.769362 BG
clothes 117 164 242 329 0.685284 0.163447 BG
clothes 154 171 379 366 0.523901 0.337998 BG
clothes 172 214 227 310 0.47037 0.158814 BG
clothes 520 392 560 426 0.379821 0.170022 BG
clothes 422 8 550 297 0.299634 0.452102 BG
clothes 102 37 177 317 0.291979 0.610491 BG
clothes 0 109 26 287 0.27136 0.357403 BG
clothes 515 7 559 214 0.194803 0.438886 BG
clothes 174 141 206 227 0.186093 0.591725 BG
clothes 186 227 221 261 0.185623 0.699075 BG
clothes 206 204 544 286 0.185493 0.637162 BG
clothes 552 0 560 14 0.16756 0.285775 BG
clothes 401 201 552 261 0.156403 0.253806 pillow
clothes 544 392 560 409 0.15134 0.376591 BG
clothes 231 155 388 263 0.140808 0.428661 BG
clothes 190 224 278 276 0.139655 0.688063 BG
clothes 476 0 511 97 0.123541 0.732556 BG
clothes 149 281 159 285 0.11882 0.757950 BG
clothes 179 220 214 239 0.118229 0.785574 BG
clothes 470 0 486 40 0.114871 0.747692 BG
clothes 147 268 159 285 0.113946 0.748228 BG
clothes 541 1 560 37 0.111806 0.536629 BG
clothes 516 95 542 150 0.109108 0.751843 BG
clothes 0 241 17 258 0.106969 0.353103 BG
clothes 161 165 173 193 0.102948 0.809328 BG
clothes 0 115 16 163 0.10194 0.803046 BG
paper 191 136 217 208 0.167856 0.475457 BG
paper 521 326 543 336 0.162204 0.672795 BG
paper 535 281 560 318 0.13098 0.555578 BG
towel 0 149 8 159 0.217903 0.692842 BG
towel 0 108 25 290 0.213524 0.357403 BG
towel 518 19 558 222 0.115996 0.438886 BG
box 2 236 41 286 0.146102 0.457687 BG
box 37 222 76 280 0.124751 0.468688 garbage_bin
box 192 135 218 208 0.10227 0.475457 BG
person 518 407 560 426 0.281405 0.249325 BG
person 534 399 560 417 0.147178 0.182614 BG
person 552 0 560 15 0.127759 0.285775 BG
person 1 239 31 289 0.1105 0.290928 BG
bag 521 396 560 417 0.489957 0.180219 BG
bag 173 207 235 323 0.481022 0.076081 BG
bag 543 392 560 408 0.376955 0.376591 BG
bag 126 216 350 340 0.23252 0.457470 BG
bag 516 409 559 426 0.222761 0.249325 BG
bag 183 271 215 332 0.202992 0.662430 BG
bag 193 272 208 294 0.170395 0.702674 BG
bag 132 236 214 355 0.167019 0.663378 BG
bag 164 228 221 267 0.155066 0.568654 BG
bag 234 167 377 241 0.145249 0.445959 BG
bag 0 242 17 258 0.141535 0.353103 BG
bag 174 137 205 217 0.135476 0.422561 BG
bag 192 220 277 273 0.131519 0.688063 BG
bag 553 387 560 391 0.130873 0.483280 BG
bag 192 295 204 315 0.115483 0.815407 BG
bag 0 189 25 286 0.107961 0.273574 clothes
bag 188 247 224 303 0.101761 0.806859 BG
garbage_bin 37 225 76 281 0.20201 0.468688 garbage_bin
