cabinet 136 47 340 397 0.214489 0.520078 dresser
bed 0 205 200 420 0.222665 0.193892 bed
chair 9 190 136 293 0.474445 0.313582 BG
chair 6 216 212 422 0.437051 0.127246 bed
chair 401 207 438 257 0.110592 0.490695 BG
sofa 14 187 116 288 0.217309 0.401548 BG
sofa 428 217 554 372 0.195399 0.641161 BG
table 157 238 411 419 0.160681 0.631766 BG
bookshelf 270 5 354 316 0.163716 0.793304 BG
picture 415 1 560 91 0.999656 0.000335 picture
picture 487 2 540 72 0.819055 0.171509 BG
picture 419 1 459 96 0.767421 0.232517 BG
picture 511 3 530 31 0.43932 0.506816 BG
picture 533 5 545 78 0.424517 0.429072 BG
picture 540 3 560 49 0.360116 0.430278 BG
picture 195 5 282 74 0.257181 0.728979 BG
picture 191 1 195 4 0.183999 0.742884 BG
picture 160 8 498 83 0.180946 0.804623 BG
picture 256 22 278 80 0.168393 0.695367 BG
picture 186 23 232 78 0.144946 0.773071 BG
picture 285 44 292 49 0.12468 0.480420 BG
picture 131 25 195 83 0.118842 0.548052 books
picture 277 37 298 76 0.117794 0.600040 BG
picture 422 220 428 223 0.109519 0.707643 BG
picture 273 2 291 25 0.108662 0.867719 BG
picture 192 30 208 65 0.10831 0.844069 BG
desk 259 122 560 322 0.238352 0.696713 BG
desk 13 239 289 410 0.117908 0.194799 bed
pillow 6 190 79 275 0.220396 0.388252 BG
clothes 518 226 560 311 0.503172 0.213449 bag
clothes 538 265 560 307 0.347562 0.452889 BG
clothes 550 265 560 291 0.301514 0.446273 BG
clothes 533 256 560 267 0.215775 0.621172 BG
clothes 519 235 560 261 0.192489 0.417914 BG
clothes 3 234 194 420 0.10148 0.082920 bed
tv 1 129 21 183 0.28074 0.533699 BG
paper 487 409 489 412 0.324197 0.250469 BG
paper 482 407 485 411 0.32108 0.235596 BG
paper 129 26 151 53 0.30098 0.583857 BG
paper 476 367 529 426 0.261477 0.149087 BG
paper 485 403 493 408 0.257206 0.295055 BG
paper 455 400 462 414 0.255311 0.324235 BG
paper 129 27 187 82 0.227302 0.446180 books
paper 512 367 539 383 0.224277 0.290335 BG
paper 413 384 454 426 0.212443 0.196231 BG
paper 485 403 525 426 0.200487 0.173244 BG
paper 539 384 549 394 0.199598 0.238553 BG
paper 485 403 495 426 0.197383 0.176875 BG
paper 551 28 560 30 0.180424 0.337635 BG
paper 451 400 485 426 0.175562 0.168725 BG
paper 524 385 560 426 0.174272 0.213357 BG
paper 354 32 368 35 0.172617 0.154599 BG
paper 541 19 543 24 0.167865 0.262021 BG
paper 540 386 544 390 0.164661 0.204307 BG
paper 463 385 472 411 0.159983 0.532413 BG
paper 403 415 408 426 0.159055 0.258200 BG
paper 480 407 488 426 0.147637 0.157138 BG
paper 494 352 559 395 0.1476 0.519327 BG
paper 451 412 465 426 0.14608 0.153976 BG
paper 260 35 285 81 0.140248 0.606961 BG
paper 210 383 263 426 0.133278 0.678256 BG
paper 538 55 543 62 0.131513 0.681643 BG
paper 548 385 556 394 0.130463 0.375168 BG
paper 496 159 512 173 0.122076 0.329054 BG
paper 170 50 175 57 0.121535 0.829581 BG
paper 539 341 560 368 0.119748 0.669378 BG
paper 277 37 298 75 0.116882 0.600040 BG
paper 499 181 501 185 0.114826 0.369629 BG
paper 496 378 503 384 0.114233 0.626616 BG
paper 147 51 150 55 0.113258 0.839107 BG
paper 539 29 543 37 0.112072 0.387683 BG
paper 234 225 254 227 0.107979 0.746793 BG
towel 0 267 176 423 0.271617 0.122749 bed
towel 551 265 560 292 0.129406 0.446273 BG
box 374 259 376 270 0.295692 0.667843 BG
box 503 285 537 335 0.239476 0.550382 BG
box 475 362 530 426 0.177698 0.149087 BG
box 292 278 308 311 0.169304 0.778973 BG
box 487 408 490 412 0.154693 0.250469 BG
box 493 412 524 426 0.152001 0.169353 BG
box 268 310 276 312 0.151827 0.804699 BG
box 128 25 189 82 0.145632 0.446180 books
box 451 411 465 426 0.145206 0.153976 BG
box 451 406 524 426 0.143949 0.157392 BG
box 293 298 297 308 0.143768 0.835010 BG
box 80 224 95 238 0.143134 0.583860 BG
box 285 43 298 67 0.141829 0.624247 BG
box 486 407 495 426 0.140496 0.164389 BG
box 482 406 486 411 0.139753 0.235596 BG
box 289 271 296 281 0.135516 0.828307 BG
box 375 248 400 263 0.133517 0.849692 BG
box 260 33 292 83 0.128601 0.596647 BG
box 402 414 408 426 0.127696 0.258200 BG
box 413 381 453 426 0.126828 0.196231 BG
box 485 402 494 408 0.124012 0.295055 BG
box 455 399 462 414 0.123536 0.324235 BG
box 465 409 484 426 0.123496 0.155879 BG
box 464 277 540 371 0.122502 0.517397 BG
box 480 406 488 426 0.122133 0.157138 BG
box 375 249 412 287 0.119459 0.865906 BG
box 541 20 544 24 0.117904 0.262021 BG
box 471 296 514 336 0.108106 0.631591 BG
box 296 262 319 304 0.106861 0.850822 BG
box 524 381 560 426 0.106197 0.213357 BG
box 512 365 540 383 0.103414 0.290335 BG
lamp 369 219 380 236 0.138452 0.577517 BG
bag 520 224 560 262 0.389943 0.306745 BG
bag 520 224 559 350 0.249474 0.235919 bag
bag 535 224 560 239 0.18528 0.653024 BG
bag 551 266 560 291 0.114652 0.446273 BG
garbage_bin 414 262 532 373 0.365013 0.453188 BG
garbage_bin 368 286 378 303 0.212716 0.770026 BG
garbage_bin 388 282 403 351 0.199215 0.738301 BG
garbage_bin 539 383 550 395 0.18529 0.238553 BG
garbage_bin 539 386 545 391 0.17966 0.204307 BG
garbage_bin 540 20 544 24 0.17413 0.262021 BG
garbage_bin 378 294 387 304 0.173464 0.804799 BG
garbage_bin 179 285 399 419 0.164201 0.397186 BG
garbage_bin 360 288 367 303 0.16079 0.816326 BG
garbage_bin 510 365 540 383 0.145897 0.290335 BG
garbage_bin 355 299 374 320 0.144687 0.830557 BG
garbage_bin 79 225 95 240 0.138988 0.583860 BG
garbage_bin 475 378 529 415 0.133528 0.345429 BG
garbage_bin 374 302 392 318 0.124531 0.853523 BG
garbage_bin 548 384 555 395 0.123747 0.375168 BG
garbage_bin 536 317 559 341 0.123462 0.670621 BG
garbage_bin 484 402 495 426 0.121334 0.176875 BG
garbage_bin 483 402 524 426 0.120888 0.173244 BG
garbage_bin 550 28 560 31 0.118851 0.337635 BG
garbage_bin 379 283 455 361 0.113387 0.827370 BG
garbage_bin 484 402 493 409 0.110997 0.295055 BG
garbage_bin 450 399 485 426 0.109433 0.168725 BG
garbage_bin 538 29 544 38 0.107668 0.387683 BG
garbage_bin 523 383 560 426 0.106416 0.213357 BG
garbage_bin 538 302 550 321 0.105828 0.688266 BG
garbage_bin 495 377 504 384 0.104137 0.626616 BG
garbage_bin 479 407 485 416 0.102914 0.267603 BG
garbage_bin 454 399 463 414 0.102552 0.324235 BG
garbage_bin 31 197 38 198 0.100908 0.781220 BG
garbage_bin 301 335 413 418 0.100651 0.497707 BG
