cabinet 180 175 377 252 0.110443 0.682112 shelves
bed 33 249 448 419 0.259311 0.295168 bed
chair 0 278 145 420 0.216596 0.712257 BG
table 354 229 474 343 0.209227 0.343241 night_stand
table 0 251 432 424 0.115181 0.138483 bed
door 553 2 560 87 0.203056 0.312025 BG
bookshelf 177 108 391 260 0.174248 0.751528 bookshelf&&shelves
picture 106 10 180 123 0.958023 0.039280 picture
picture 175 86 178 88 0.357805 0.572213 BG
picture 1 62 32 149 0.295878 0.546131 BG
picture 507 186 524 198 0.183184 0.804930 BG
picture 111 2 146 22 0.125553 0.682162 BG
picture 329 208 371 242 0.122494 0.567304 BG
counter 491 209 560 241 0.145717 0.796594 paper
blinds 161 4 560 124 0.405347 0.579881 curtain
blinds 194 1 324 112 0.148142 0.819555 BG
blinds 197 3 213 112 0.124618 0.754780 BG
blinds 447 2 560 88 0.112603 0.804730 BG
desk 2 230 406 411 0.733451 0.142534 bed
desk 483 183 560 366 0.375061 0.106612 desk
desk 346 205 544 350 0.154884 0.781350 BG
dresser 489 206 560 365 0.327468 0.240306 desk
pillow 130 243 231 304 0.137486 0.600981 BG
pillow 136 267 147 275 0.108151 0.881910 BG
mirror 552 1 560 93 0.215602 0.312025 BG
clothes 413 232 418 235 0.124047 0.420740 BG
paper 112 329 169 361 0.577563 0.420008 BG
paper 373 221 432 243 0.528338 0.416917 books
paper 112 339 137 360 0.478733 0.519634 BG
paper 82 325 228 400 0.447572 0.526051 paper
paper 182 336 203 346 0.435013 0.547975 BG
paper 261 312 271 324 0.381522 0.599891 BG
paper 251 296 300 314 0.374241 0.611186 BG
paper 251 306 260 311 0.35219 0.638572 BG
paper 271 310 295 316 0.292449 0.694672 BG
paper 86 351 91 355 0.269181 0.713627 BG
paper 203 338 204 340 0.269168 0.714461 BG
paper 261 310 296 327 0.268448 0.711777 BG
paper 259 324 267 331 0.264144 0.698639 BG
paper 265 326 268 333 0.254568 0.657617 BG
paper 237 287 272 305 0.220337 0.712730 BG
paper 267 331 270 335 0.217401 0.701356 BG
paper 121 347 131 353 0.216363 0.780554 BG
paper 217 303 296 331 0.204541 0.779525 BG
paper 223 301 250 314 0.200428 0.785427 BG
paper 262 322 262 323 0.187731 0.802326 BG
paper 191 230 198 240 0.176421 0.798415 BG
paper 233 322 260 330 0.175446 0.805002 BG
paper 372 227 382 243 0.171722 0.809480 BG
paper 80 358 87 361 0.169754 0.815180 BG
paper 143 327 170 339 0.153753 0.818825 BG
paper 413 233 418 234 0.148804 0.420740 BG
paper 74 354 87 368 0.132794 0.847312 BG
paper 268 326 270 330 0.126907 0.745725 BG
paper 232 287 243 296 0.126671 0.748163 BG
paper 56 364 73 368 0.123345 0.837185 BG
paper 114 303 254 360 0.119005 0.856071 BG
paper 90 339 101 354 0.110979 0.878382 BG
paper 40 329 48 339 0.110172 0.821957 BG
paper 52 327 123 368 0.109638 0.866490 BG
paper 200 291 214 300 0.100995 0.818506 BG
box 229 219 274 232 0.261272 0.694770 BG
box 235 213 251 222 0.212196 0.745915 BG
box 232 229 299 255 0.192006 0.597770 BG
box 230 238 249 273 0.105345 0.814796 BG
box 177 232 245 274 0.100355 0.767387 BG
box 236 218 241 221 0.100208 0.869385 BG
person 145 289 189 330 0.28649 0.668382 BG
person 175 297 189 326 0.249209 0.720806 BG
person 327 218 358 240 0.24667 0.639548 BG
person 144 243 228 331 0.191279 0.683897 BG
person 163 295 215 345 0.133831 0.809489 BG
person 341 213 357 230 0.100849 0.797701 BG
night_stand 371 223 473 349 0.447867 0.146719 night_stand
night_stand 472 210 560 354 0.444435 0.255864 desk
bag 213 408 248 426 0.125094 0.557801 BG
garbage_bin 491 324 496 341 0.148659 0.802968 BG
