cabinet 484 126 560 276 0.176349 0.490979 blinds
bed 185 341 560 425 0.523874 0.357753 sofa
chair 215 223 358 331 0.843976 0.146979 sofa_chair
chair 216 210 303 272 0.577586 0.409664 BG
chair 252 256 346 304 0.432958 0.550632 BG
chair 207 211 247 326 0.42971 0.495322 BG
chair 415 244 422 254 0.374993 0.546053 BG
chair 219 260 423 410 0.336417 0.414460 BG
chair 366 233 404 290 0.316553 0.647273 BG
chair 263 203 294 255 0.205354 0.789145 BG
chair 233 236 255 258 0.190588 0.790854 BG
chair 406 249 424 273 0.125799 0.862623 BG
chair 205 342 287 426 0.12144 0.810639 BG
chair 407 238 456 278 0.118196 0.814043 BG
sofa 486 254 558 307 0.829174 0.145616 sofa
sofa 210 264 494 426 0.437472 0.475710 sofa
sofa 364 242 445 330 0.349628 0.443152 sofa_chair
sofa 501 252 554 273 0.324124 0.615473 BG
sofa 462 213 558 416 0.288975 0.561811 BG
sofa 524 266 560 288 0.211036 0.738173 BG
sofa 555 285 560 289 0.183818 0.675371 BG
sofa 355 233 403 302 0.118548 0.726046 BG
bookshelf 221 232 238 257 0.141164 0.729385 BG
picture 62 69 168 166 0.996685 0.003312 painting&&picture
picture 62 193 157 278 0.995845 0.004127 painting&&picture
picture 408 160 426 200 0.906602 0.072055 picture
picture 67 114 116 154 0.810688 0.189308 BG
picture 123 93 151 148 0.745192 0.252594 BG
picture 7 15 75 157 0.63802 0.324413 BG
picture 67 217 75 276 0.540582 0.458975 BG
picture 246 160 265 180 0.508702 0.440546 BG
picture 452 235 480 255 0.498258 0.380797 BG
picture 137 211 143 259 0.406539 0.579387 BG
picture 420 235 460 263 0.28055 0.579987 picture
picture 390 116 436 200 0.258544 0.645806 BG
picture 89 175 105 186 0.232821 0.705184 BG
picture 67 228 74 240 0.181208 0.722427 BG
picture 3 3 82 30 0.167573 0.647238 ceiling
picture 450 254 473 265 0.152964 0.688096 BG
picture 375 4 559 107 0.137056 0.563219 BG
picture 210 193 223 207 0.125517 0.629534 BG
picture 445 247 452 259 0.109099 0.832707 BG
picture 244 177 259 189 0.105683 0.871965 BG
pillow 213 353 410 422 0.29446 0.544897 BG
pillow 483 329 559 395 0.215687 0.560871 table
pillow 365 366 414 413 0.180454 0.773742 BG
pillow 339 367 397 388 0.179999 0.814090 BG
pillow 237 304 352 361 0.113597 0.842150 BG
mirror 208 109 257 212 0.120002 0.761868 BG
clothes 475 314 557 389 0.259845 0.383631 table
paper 519 325 538 351 0.413109 0.550417 BG
paper 532 351 560 365 0.173675 0.381578 BG
paper 519 304 560 351 0.156922 0.666546 BG
paper 96 394 175 426 0.151779 0.226781 BG
paper 502 294 547 307 0.142823 0.780980 BG
paper 476 294 553 320 0.138923 0.794890 BG
paper 553 132 557 132 0.12203 0.437814 BG
paper 557 305 560 318 0.117522 0.385320 BG
paper 535 303 560 326 0.109422 0.635110 BG
paper 535 311 556 315 0.107897 0.568751 BG
paper 558 302 560 304 0.104595 0.394039 BG
paper 507 317 559 326 0.10395 0.729872 BG
paper 536 303 554 307 0.10003 0.554808 BG
box 198 345 204 346 0.172927 0.656695 BG
box 96 392 175 426 0.147947 0.226781 BG
box 543 32 559 56 0.137579 0.615319 BG
box 558 301 560 303 0.120913 0.394039 BG
box 200 330 210 343 0.120352 0.757826 BG
box 232 317 246 322 0.115296 0.745326 BG
box 557 304 560 317 0.114274 0.385320 BG
lamp 252 111 270 119 0.13626 0.418213 BG
bag 369 248 455 339 0.176413 0.380829 sofa_chair
garbage_bin 418 266 453 338 0.440664 0.430697 BG
garbage_bin 468 327 557 367 0.201362 0.665703 table
garbage_bin 418 285 446 303 0.140129 0.764964 BG
garbage_bin 369 279 415 339 0.130682 0.739445 BG
garbage_bin 90 393 175 426 0.106132 0.226781 BG
