bed 222 246 560 426 0.232586 0.223018 sofa_chair&&sofa_chair
chair 22 161 234 426 0.881643 0.025899 sofa_chair
chair 2 267 90 312 0.109972 0.729284 BG
sofa 15 120 145 320 0.560498 0.231993 BG
sofa 219 142 555 425 0.486526 0.421600 sofa_chair
sofa 376 299 560 425 0.258607 0.454465 sofa_chair
sofa 555 340 560 367 0.200081 0.473235 BG
sofa 432 414 446 422 0.167853 0.322944 BG
table 4 270 223 422 0.361025 0.281723 BG
table 200 270 560 421 0.10806 0.718854 BG
picture 286 0 375 50 0.9837 0.014687 picture
picture 12 0 150 35 0.936949 0.049767 picture
picture 409 1 413 13 0.121782 0.613656 BG
picture 406 11 411 33 0.121027 0.392235 BG
picture 408 11 411 19 0.115367 0.461899 BG
blinds 451 3 556 147 0.36415 0.352078 blinds
desk 139 194 560 419 0.141571 0.555784 sofa_chair
pillow 392 288 557 401 0.456861 0.496561 sofa_chair
pillow 512 235 560 297 0.388867 0.296778 BG
pillow 414 134 538 244 0.31499 0.601970 sofa
pillow 257 154 545 388 0.211031 0.339093 sofa_chair
pillow 10 147 126 246 0.203046 0.291434 BG
pillow 2 215 52 260 0.192482 0.178342 BG
pillow 282 164 491 247 0.160847 0.776820 BG
pillow 96 154 207 320 0.138861 0.560139 clothes
pillow 434 415 444 423 0.132899 0.322944 BG
pillow 98 252 192 309 0.108636 0.738616 BG
pillow 422 218 530 268 0.10766 0.845069 BG
clothes 10 200 116 308 0.255048 0.375677 BG
clothes 16 176 132 243 0.231426 0.455284 BG
clothes 13 161 257 360 0.195051 0.299209 sofa_chair
clothes 5 292 121 334 0.180106 0.737070 BG
clothes 5 197 53 261 0.16765 0.500127 BG
clothes 111 152 213 288 0.128918 0.623734 clothes
clothes 100 270 148 289 0.123268 0.694308 BG
clothes 288 214 297 225 0.113098 0.868435 BG
clothes 2 195 18 216 0.106255 0.800693 BG
paper 87 416 93 422 0.252483 0.225906 BG
paper 83 400 108 426 0.215244 0.225017 BG
paper 1 214 51 261 0.214032 0.178342 BG
paper 535 225 559 240 0.195065 0.385851 BG
paper 92 409 99 417 0.192874 0.353462 BG
paper 502 267 534 286 0.192427 0.693687 BG
paper 406 10 411 32 0.189554 0.392235 BG
paper 89 412 92 414 0.185082 0.291942 BG
paper 514 269 531 277 0.180882 0.746120 BG
paper 408 10 411 19 0.17808 0.461899 BG
paper 493 276 549 297 0.159733 0.675609 BG
paper 435 232 437 235 0.139747 0.680437 BG
paper 316 307 329 311 0.136864 0.764744 BG
paper 84 392 179 426 0.134276 0.450138 floor
paper 83 414 91 426 0.129236 0.105568 BG
paper 528 259 560 274 0.125564 0.578590 BG
paper 434 415 445 423 0.120584 0.322944 BG
paper 430 216 445 221 0.117851 0.466029 BG
paper 272 418 283 426 0.110992 0.276932 BG
paper 335 307 337 308 0.106922 0.646366 BG
paper 375 326 380 331 0.10025 0.571822 BG
box 87 416 94 422 0.198795 0.225906 BG
box 82 398 110 426 0.165825 0.225017 BG
box 90 412 93 414 0.153035 0.291942 BG
box 83 420 89 426 0.145852 0.094512 BG
box 92 409 100 417 0.138719 0.353462 BG
box 372 313 377 319 0.131319 0.704920 BG
box 0 356 120 426 0.122326 0.581189 floor
bag 511 238 560 279 0.13197 0.366512 BG
bag 110 147 216 277 0.118242 0.648320 clothes
bag 7 153 270 365 0.1149 0.299209 sofa_chair
bag 527 258 560 273 0.112679 0.578590 BG
bag 3 219 83 272 0.109849 0.337055 clothes
garbage_bin 224 379 226 385 0.208644 0.747595 BG
garbage_bin 527 160 558 227 0.18528 0.747756 BG
garbage_bin 89 412 93 414 0.163842 0.291942 BG
garbage_bin 551 329 560 340 0.158667 0.618346 BG
garbage_bin 266 270 556 406 0.14249 0.335656 BG
garbage_bin 87 414 94 422 0.112725 0.286536 BG
garbage_bin 430 215 445 221 0.103969 0.466029 BG
