cabinet 241 95 417 184 0.456827 0.312537 cabinet
chair 24 116 271 426 0.988715 0.010475 chair
chair 220 154 488 426 0.930856 0.016056 chair
chair 395 137 560 426 0.920955 0.073556 BG
chair 497 306 560 426 0.697398 0.254422 BG
chair 0 114 58 408 0.619493 0.361334 BG
chair 206 109 311 205 0.448684 0.538254 BG
chair 205 112 423 267 0.42791 0.450714 BG
chair 430 106 559 254 0.388216 0.597068 chair
chair 169 96 205 186 0.327544 0.652248 BG
chair 132 88 209 267 0.316406 0.655538 BG
chair 522 96 560 212 0.296678 0.629978 BG
chair 205 107 216 150 0.280509 0.718471 BG
chair 13 111 54 150 0.216649 0.751603 BG
chair 210 100 230 105 0.148929 0.848470 BG
chair 155 85 225 131 0.140561 0.848198 BG
chair 183 97 252 263 0.139999 0.858025 chair
chair 208 100 293 115 0.135665 0.856278 BG
chair 310 113 426 192 0.126082 0.619289 BG
chair 181 95 207 128 0.122246 0.832392 BG
chair 215 146 267 183 0.104949 0.888867 BG
chair 45 129 49 134 0.101402 0.850037 BG
table 89 122 559 426 0.73596 0.034448 table
door 128 4 156 101 0.186268 0.750025 BG
door 130 67 130 75 0.160332 0.666810 BG
door 146 4 235 85 0.152798 0.534656 BG
picture 238 0 336 70 0.974913 0.021405 walldecor&&picture
picture 242 1 249 59 0.52792 0.406535 BG
picture 320 15 331 64 0.312662 0.662072 BG
picture 185 0 218 16 0.100079 0.845638 BG
counter 426 106 498 113 0.11457 0.639729 BG
blinds 8 3 128 169 0.148227 0.734705 BG
desk 275 159 541 426 0.252782 0.205431 chair
pillow 453 296 559 336 0.112804 0.863527 BG
paper 457 335 480 367 0.365385 0.530129 BG
paper 2 290 25 306 0.131663 0.582699 BG
paper 1 300 31 328 0.106378 0.597664 BG
box 363 111 413 180 0.160877 0.608245 BG
box 264 158 269 174 0.158862 0.808587 BG
whiteboard 142 5 242 95 0.202974 0.534656 BG
lamp 547 203 559 240 0.110937 0.486860 BG
lamp 544 200 553 215 0.100287 0.596676 BG
bag 223 416 239 426 0.137636 0.323587 BG
garbage_bin 523 225 547 242 0.152338 0.823484 BG
