chair 230 74 404 244 0.187807 0.791637 telephone
picture 190 5 279 159 0.375445 0.547938 BG
picture 181 2 243 62 0.31035 0.501873 BG
picture 213 17 226 39 0.173847 0.728263 BG
picture 220 4 265 96 0.150025 0.829422 BG
picture 15 5 217 129 0.146223 0.234161 BG
picture 203 94 280 141 0.142432 0.705037 BG
picture 223 63 238 80 0.120857 0.802763 BG
picture 229 69 265 93 0.118264 0.801324 BG
picture 214 25 218 31 0.10276 0.752948 BG
fridge 10 144 67 233 0.157138 0.347177 BG
paper 145 165 148 167 0.413805 0.444541 BG
paper 140 152 150 158 0.306666 0.560783 BG
paper 129 137 157 152 0.303698 0.646740 BG
paper 134 136 144 143 0.273161 0.700739 BG
paper 151 135 173 152 0.220305 0.617662 BG
paper 128 113 156 162 0.218411 0.648468 BG
paper 134 160 149 171 0.174888 0.714487 BG
paper 62 113 62 115 0.170771 0.454280 BG
paper 129 135 136 143 0.152054 0.786535 BG
paper 238 127 243 135 0.144558 0.782905 BG
paper 49 115 56 126 0.132455 0.345351 BG
paper 42 119 48 123 0.12859 0.372631 BG
paper 448 383 478 425 0.119073 0.454526 BG
paper 224 88 278 139 0.118431 0.690441 BG
paper 252 63 256 73 0.115733 0.764741 BG
paper 134 134 180 175 0.104877 0.287832 BG
paper 137 111 151 132 0.102587 0.850251 BG
paper 222 121 239 134 0.102431 0.840924 BG
box 65 159 215 249 0.868078 0.087350 BG
box 135 132 204 187 0.590303 0.316706 BG
box 203 154 225 159 0.407979 0.576444 BG
box 125 88 194 163 0.382431 0.561893 BG
box 148 132 176 154 0.360435 0.454634 BG
box 65 187 97 213 0.322035 0.637834 BG
box 381 1 456 44 0.31303 0.561089 paper
box 146 49 284 180 0.303491 0.667889 BG
box 30 122 40 129 0.203164 0.388947 BG
box 190 354 231 425 0.199751 0.588271 BG
box 49 114 56 126 0.189012 0.345351 BG
box 56 130 178 198 0.1888 0.703522 BG
box 272 83 278 91 0.175968 0.753716 BG
box 164 131 176 142 0.175802 0.700554 BG
box 42 119 48 123 0.166702 0.372631 BG
box 176 165 190 181 0.165923 0.784094 BG
box 62 113 62 115 0.159432 0.454280 BG
box 152 409 164 426 0.156253 0.311134 BG
box 260 3 399 49 0.153859 0.315612 BG
box 268 79 273 81 0.150215 0.769760 BG
box 2 160 64 267 0.145921 0.240401 BG
box 34 158 71 227 0.139391 0.715840 BG
box 240 117 268 137 0.13262 0.777881 BG
box 241 101 277 121 0.131456 0.787923 BG
box 220 85 281 139 0.129655 0.690441 BG
box 168 165 181 174 0.129106 0.860787 BG
box 144 164 149 167 0.12492 0.444541 BG
box 56 81 147 129 0.123761 0.704736 BG
box 381 33 389 38 0.117136 0.832530 BG
box 240 113 266 121 0.116264 0.787958 BG
box 64 171 123 229 0.113272 0.815178 BG
box 195 147 203 158 0.106605 0.875748 BG
box 1 130 21 141 0.104791 0.110501 BG
box 413 28 438 64 0.10419 0.665555 BG
whiteboard 6 0 160 172 0.832149 0.048411 BG
sink 20 166 211 268 0.103111 0.564601 BG
