cabinet 477 310 560 424 0.144939 0.279949 plant_pot
chair 232 351 239 356 0.212103 0.764369 BG
picture 59 214 108 290 0.119494 0.605999 BG
picture 82 1 100 5 0.114261 0.694546 BG
counter 0 354 445 423 0.233842 0.633103 BG
dresser 482 317 560 423 0.131142 0.279949 BG
clothes 53 306 178 387 0.133019 0.565713 BG
paper 553 122 560 128 0.170172 0.347510 BG
paper 157 56 160 58 0.14148 0.763976 BG
paper 298 215 301 217 0.13092 0.850731 BG
paper 81 0 101 5 0.129885 0.694546 BG
paper 320 330 336 360 0.121524 0.735502 BG
paper 557 129 560 131 0.117485 0.432228 BG
paper 551 308 560 319 0.114646 0.634631 BG
towel 417 314 463 374 0.142275 0.646457 BG
box 411 384 414 386 0.630171 0.231542 BG
box 335 322 410 407 0.372104 0.453900 plant_box
box 509 204 513 225 0.25178 0.699317 BG
box 494 213 498 223 0.24087 0.648892 BG
box 216 320 398 414 0.223807 0.416396 BG
box 553 118 560 128 0.187755 0.361791 BG
box 0 319 54 369 0.175599 0.578559 BG
box 203 373 204 376 0.131777 0.777223 BG
box 319 325 337 360 0.126156 0.735502 BG
box 553 371 560 419 0.10958 0.497947 BG
box 487 401 496 406 0.102871 0.733144 BG
box 487 191 524 227 0.100605 0.829928 BG
person 15 275 99 385 0.358994 0.502806 bottle
person 44 284 67 387 0.193151 0.751332 BG
person 49 303 172 390 0.163309 0.608731 BG
person 53 329 99 387 0.104508 0.729789 BG
person 61 294 98 342 0.100709 0.791127 BG
night_stand 484 327 555 422 0.189248 0.212937 BG
night_stand 251 328 411 421 0.107647 0.443703 BG
bag 425 373 463 425 0.201402 0.666706 BG
bag 452 407 460 418 0.168499 0.715801 BG
garbage_bin 408 157 480 220 0.293766 0.533216 BG
garbage_bin 482 339 560 421 0.213009 0.210332 BG
garbage_bin 500 400 507 404 0.103549 0.767888 BG
