table 87 70 548 403 0.757257 0.168689 table
picture 109 18 142 61 0.451611 0.517718 picture
picture 178 3 224 51 0.287477 0.569563 BG
picture 180 15 212 30 0.23874 0.676541 BG
picture 102 45 109 47 0.206714 0.760344 BG
picture 545 170 560 178 0.203176 0.453843 BG
picture 510 175 560 207 0.160301 0.584838 BG
picture 182 2 224 18 0.149303 0.452213 BG
picture 212 2 274 26 0.139318 0.617180 BG
picture 547 174 552 179 0.134854 0.633658 BG
picture 1 1 15 4 0.130796 0.721649 BG
picture 158 0 180 15 0.121122 0.775455 BG
picture 113 47 118 58 0.117752 0.854704 BG
picture 531 201 545 209 0.116119 0.629091 BG
picture 137 1 146 1 0.115498 0.839160 BG
desk 165 49 554 274 0.298023 0.635405 BG
desk 24 47 281 207 0.16986 0.749800 BG
clothes 153 0 183 43 0.123886 0.744292 BG
tv 478 1 533 27 0.237521 0.572338 BG
tv 267 3 291 78 0.188422 0.572502 BG
tv 272 0 354 66 0.151001 0.735213 BG
tv 348 5 352 12 0.138527 0.398094 BG
tv 415 0 509 43 0.123951 0.858427 BG
tv 286 2 304 32 0.115847 0.831883 BG
paper 164 109 250 177 0.657965 0.296752 paper
paper 306 83 343 114 0.316638 0.676873 BG
paper 540 199 560 208 0.220777 0.547723 BG
paper 546 170 560 178 0.208517 0.453843 BG
paper 536 52 541 55 0.190062 0.768018 BG
paper 317 96 344 106 0.189822 0.809220 BG
paper 256 86 361 130 0.181979 0.788712 BG
paper 305 82 331 96 0.175151 0.796582 BG
paper 222 395 273 426 0.172857 0.179244 BG
paper 256 400 279 426 0.168799 0.231252 BG
paper 543 157 560 171 0.16542 0.502372 BG
paper 531 202 545 209 0.157435 0.629091 BG
paper 512 176 560 206 0.157165 0.584838 BG
paper 259 394 273 400 0.155247 0.596312 BG
paper 531 380 560 426 0.150968 0.472998 BG
paper 548 174 552 179 0.150715 0.633658 BG
paper 93 100 264 136 0.129342 0.847272 BG
paper 393 383 434 426 0.126479 0.348381 BG
paper 470 195 482 204 0.125121 0.688058 BG
paper 479 198 493 208 0.123424 0.607543 BG
paper 219 191 272 210 0.121267 0.858976 BG
paper 332 85 342 98 0.120455 0.875129 BG
paper 432 383 448 426 0.117582 0.372867 BG
paper 447 197 473 208 0.114854 0.744985 BG
paper 460 188 473 198 0.113956 0.723599 BG
paper 531 416 548 426 0.111193 0.205868 BG
paper 540 117 551 119 0.111014 0.541228 BG
paper 482 194 495 203 0.11036 0.662962 BG
paper 437 189 462 200 0.108752 0.768207 BG
paper 261 81 329 100 0.103982 0.830013 BG
paper 482 189 521 203 0.101856 0.738685 BG
paper 118 174 127 183 0.100511 0.782257 BG
box 201 53 238 103 0.968396 0.030767 BG
box 202 59 209 106 0.814493 0.180506 BG
box 201 59 208 63 0.773909 0.225198 BG
box 182 20 222 104 0.754978 0.242026 BG
box 208 76 223 98 0.638587 0.349862 BG
box 197 54 208 63 0.609601 0.386767 BG
box 188 42 267 124 0.419523 0.553178 BG
box 213 75 221 79 0.296968 0.701668 BG
box 183 93 190 99 0.259961 0.680989 BG
box 191 95 197 100 0.245609 0.705246 BG
box 238 35 270 43 0.245379 0.578085 BG
box 225 20 273 34 0.220265 0.700372 BG
box 197 56 199 59 0.1945 0.781613 BG
box 222 393 272 426 0.148428 0.179244 BG
box 2 55 65 115 0.141999 0.699580 BG
box 228 32 236 36 0.140467 0.801088 BG
box 531 415 548 426 0.126639 0.205868 BG
box 256 398 279 426 0.126036 0.231252 BG
box 202 38 216 62 0.124204 0.871519 BG
box 523 202 540 215 0.120167 0.637575 BG
box 234 42 240 56 0.117855 0.825303 BG
box 191 25 234 59 0.115891 0.814701 BG
box 344 212 346 215 0.115421 0.828771 BG
box 1 416 16 426 0.109318 0.268482 BG
box 268 415 275 426 0.10208 0.236810 BG
box 229 47 234 57 0.100051 0.870318 BG
lamp 183 1 223 19 0.139895 0.452213 BG
bag 145 3 185 72 0.146602 0.661636 BG
garbage_bin 254 399 278 426 0.104558 0.231252 BG
garbage_bin 219 394 272 426 0.103333 0.179244 BG
