bed 420 155 560 421 0.276841 0.279228 pillow
chair 142 49 388 410 0.461952 0.247201 chair
chair 491 418 499 426 0.16488 0.630231 BG
chair 473 403 507 426 0.150453 0.509642 BG
chair 6 177 211 426 0.136436 0.790993 BG
sofa 398 160 560 413 0.787794 0.090173 sofa&&pillow
sofa 104 92 512 402 0.670768 0.294996 BG
sofa 126 42 402 206 0.669614 0.239654 BG
door 13 0 66 255 0.14311 0.467598 BG
picture 424 133 472 180 0.189588 0.280477 BG
picture 414 4 440 124 0.164107 0.302708 BG
picture 428 0 441 60 0.128437 0.174066 BG
pillow 432 179 549 308 0.387889 0.306377 BG
clothes 108 169 178 306 0.282209 0.510017 BG
clothes 92 166 311 348 0.272574 0.381945 clothes
tv 0 411 52 426 0.160182 0.310794 BG
paper 2 399 52 426 0.208834 0.362154 BG
paper 538 406 558 410 0.171873 0.620567 BG
paper 427 0 440 58 0.169268 0.174066 BG
paper 538 404 560 426 0.168174 0.440880 BG
paper 369 256 369 259 0.166105 0.129687 BG
paper 544 393 549 397 0.165713 0.436814 BG
paper 421 68 426 87 0.162621 0.214921 BG
paper 554 398 560 412 0.160826 0.606819 BG
paper 550 412 560 423 0.157114 0.577179 BG
paper 411 66 427 153 0.149189 0.547639 BG
paper 421 131 430 136 0.144838 0.729956 BG
paper 425 52 429 62 0.143979 0.366264 BG
paper 423 132 473 180 0.143295 0.280477 BG
paper 427 26 434 51 0.143129 0.334568 BG
paper 411 130 427 154 0.142175 0.666572 BG
paper 412 106 419 127 0.142094 0.547688 BG
paper 432 7 438 25 0.130372 0.474245 BG
paper 555 387 560 397 0.117636 0.721746 BG
paper 272 283 279 295 0.114016 0.713142 BG
paper 434 15 437 18 0.110232 0.532133 BG
paper 544 317 551 322 0.107092 0.529997 BG
paper 369 245 373 258 0.106607 0.249362 BG
paper 51 416 61 426 0.105949 0.433478 BG
paper 530 391 554 405 0.10442 0.785895 BG
towel 113 122 340 419 0.358382 0.382137 BG
towel 105 169 181 316 0.189176 0.486397 BG
towel 428 26 434 51 0.102425 0.334568 BG
towel 428 0 440 55 0.100919 0.174066 BG
box 421 132 474 178 0.183591 0.280477 BG
box 421 68 427 87 0.133331 0.214921 BG
box 427 26 435 51 0.120481 0.334568 BG
box 425 52 430 62 0.119335 0.366264 BG
box 425 6 439 61 0.113118 0.246748 BG
box 432 7 439 25 0.104271 0.474245 BG
lamp 413 64 426 130 0.150067 0.549509 BG
lamp 413 4 438 131 0.14166 0.392835 BG
lamp 348 169 352 173 0.138062 0.607267 BG
bag 40 174 296 338 0.155806 0.414250 clothes
bag 221 415 225 426 0.113484 0.296134 BG
bag 214 411 224 426 0.109355 0.457903 BG
bag 427 2 440 55 0.106509 0.174066 BG
bag 105 166 175 279 0.101089 0.510017 BG
garbage_bin 368 256 370 259 0.153708 0.129687 BG
garbage_bin 368 246 374 259 0.153459 0.249362 BG
