cabinet 432 27 560 221 0.321299 0.544074 clothes
chair 493 344 560 388 0.326658 0.649891 BG
chair 2 41 29 211 0.234774 0.498237 lamp
chair 9 66 136 402 0.223739 0.329122 BG
chair 352 270 555 425 0.201644 0.721204 plastic_ware
chair 1 50 7 168 0.129107 0.525191 BG
chair 0 298 100 416 0.128014 0.614585 BG
chair 347 0 452 203 0.109652 0.716901 BG
table 0 185 560 422 0.339523 0.275616 floor
table 385 229 560 426 0.279273 0.506052 plastic_ware
table 63 39 436 312 0.138619 0.309305 box
table 0 60 163 396 0.13526 0.329122 BG
table 0 374 104 423 0.100492 0.480898 BG
picture 448 85 556 302 0.117706 0.764167 box
desk 49 83 435 422 0.67389 0.137768 floor
desk 0 54 133 189 0.25836 0.512204 BG
desk 246 210 560 426 0.204484 0.426289 BG
desk 0 72 157 406 0.204272 0.329122 BG
paper 508 240 544 282 0.475694 0.390273 BG
paper 446 218 458 237 0.381592 0.594566 BG
paper 446 233 451 235 0.340857 0.637652 BG
paper 547 393 560 414 0.317209 0.437125 BG
paper 447 219 518 270 0.313807 0.388524 BG
paper 440 224 447 231 0.301484 0.603356 BG
paper 513 216 544 238 0.289705 0.341843 BG
paper 535 240 560 281 0.265313 0.347955 BG
paper 440 233 445 236 0.207882 0.707798 BG
paper 454 400 474 426 0.179275 0.548522 BG
paper 466 408 471 415 0.167177 0.582298 BG
paper 327 136 330 141 0.166002 0.664825 BG
paper 460 219 500 234 0.152325 0.825536 BG
paper 433 226 439 230 0.149057 0.736573 BG
paper 440 233 468 263 0.139747 0.820732 BG
paper 544 257 560 267 0.135834 0.489630 BG
paper 65 275 71 279 0.126642 0.704448 BG
paper 65 272 78 279 0.12456 0.647839 BG
paper 226 37 332 94 0.122108 0.771355 BG
paper 419 208 451 227 0.118785 0.773240 BG
paper 436 368 474 426 0.112769 0.608031 BG
paper 430 417 433 422 0.112599 0.654044 BG
paper 484 120 485 122 0.103355 0.745000 BG
box 302 137 369 177 0.620771 0.360758 BG
box 343 143 349 147 0.535869 0.441639 BG
box 352 148 362 158 0.531111 0.390277 BG
box 442 192 551 286 0.398888 0.450211 BG
box 297 157 346 202 0.357542 0.593060 BG
box 512 214 544 240 0.35283 0.341843 BG
box 506 214 557 284 0.343302 0.389020 BG
box 315 1 352 18 0.318589 0.566890 BG
box 5 245 61 342 0.318577 0.584166 box
box 120 4 414 276 0.295008 0.421955 box
box 87 395 90 398 0.292435 0.465805 BG
box 318 8 445 276 0.232251 0.601811 BG
box 6 241 106 424 0.208947 0.628248 BG
box 16 299 58 332 0.200565 0.788985 BG
box 511 207 526 221 0.197434 0.706047 BG
box 326 135 342 145 0.188332 0.787592 BG
box 535 236 559 282 0.18358 0.347955 BG
box 547 391 560 414 0.182576 0.437125 BG
box 39 279 55 284 0.172613 0.785343 BG
box 52 276 56 279 0.167196 0.745356 BG
box 1 405 11 426 0.166689 0.369193 BG
box 299 160 304 171 0.163603 0.724522 BG
box 507 172 554 238 0.157205 0.641792 BG
box 353 129 381 167 0.150481 0.785103 BG
box 74 381 96 399 0.144186 0.791901 BG
box 301 133 372 267 0.141624 0.824047 BG
box 417 176 450 233 0.13857 0.695795 BG
box 6 379 102 426 0.136167 0.609790 BG
box 502 415 531 426 0.134474 0.579518 BG
box 55 277 64 281 0.133049 0.703260 BG
box 541 413 560 426 0.131704 0.551283 BG
box 542 419 549 426 0.123501 0.641987 BG
box 10 36 109 142 0.119574 0.351644 BG
box 544 256 560 267 0.115057 0.489630 BG
box 15 255 23 260 0.113316 0.823741 BG
box 429 416 433 422 0.111636 0.654044 BG
box 433 225 439 230 0.10308 0.736573 BG
box 552 419 560 426 0.103054 0.582638 BG
box 6 106 145 324 0.101929 0.789069 BG
box 501 372 560 425 0.101568 0.756076 BG
box 496 423 502 426 0.100184 0.703172 BG
whiteboard 6 2 109 58 0.291136 0.583910 BG
person 497 0 560 14 0.154314 0.689082 BG
sink 38 39 408 293 0.352172 0.297139 BG
lamp 1 96 104 203 0.130473 0.675386 BG
lamp 2 51 30 207 0.112517 0.498237 lamp
lamp 1 51 8 174 0.102168 0.470077 BG
bag 418 370 459 426 0.122004 0.689833 BG
garbage_bin 15 40 116 143 0.122982 0.330315 BG
