bed 96 210 478 424 0.126034 0.456526 table
chair 532 142 590 184 0.150582 0.428725 BG
chair 231 50 301 157 0.143963 0.814101 BG
chair 164 41 251 251 0.125768 0.739882 BG
chair 236 206 394 430 0.120258 0.650414 BG
table 12 232 305 440 0.971265 0.020112 BG
table 213 200 482 440 0.431162 0.412184 table&&floor
table 524 150 589 212 0.180922 0.446391 BG
table 541 157 590 177 0.127802 0.555114 BG
door 483 5 588 166 0.136206 0.711964 BG
bookshelf 528 11 590 206 0.111059 0.751834 BG
picture 537 97 582 134 0.421397 0.503308 BG
picture 29 1 244 26 0.245028 0.456144 BG
picture 546 38 590 145 0.197067 0.310342 BG
picture 536 97 556 120 0.161555 0.600608 BG
picture 541 79 563 98 0.143939 0.550168 BG
picture 562 89 587 127 0.126745 0.698358 BG
picture 532 8 564 140 0.1025 0.804899 BG
picture 547 3 590 42 0.100248 0.597867 BG
paper 536 129 539 130 0.286442 0.558350 BG
paper 252 420 257 426 0.23981 0.438916 BG
paper 247 423 253 431 0.180267 0.551348 BG
paper 246 229 255 234 0.149059 0.292692 BG
paper 242 430 245 433 0.147572 0.628925 BG
paper 258 414 260 418 0.145916 0.714194 BG
paper 249 415 262 430 0.143457 0.709167 BG
paper 290 222 295 225 0.139835 0.558633 BG
paper 258 408 271 418 0.137269 0.712028 BG
paper 590 24 590 39 0.136465 0.297043 BG
paper 538 120 545 128 0.136231 0.714637 BG
paper 247 224 289 235 0.130791 0.535249 BG
paper 541 78 561 98 0.129909 0.550168 BG
paper 536 96 554 120 0.129302 0.600608 BG
paper 51 314 60 319 0.121425 0.679561 BG
paper 561 90 562 94 0.120167 0.677151 BG
paper 571 219 578 224 0.118529 0.510561 BG
paper 555 129 560 132 0.109781 0.617029 BG
box 544 41 588 145 0.315762 0.310342 BG
box 587 130 590 146 0.221252 0.474950 BG
box 590 23 590 39 0.197212 0.297043 BG
box 580 76 590 145 0.17015 0.557020 BG
box 253 420 257 426 0.167373 0.438916 BG
box 289 221 295 225 0.150361 0.558633 BG
box 550 3 571 40 0.126855 0.587357 BG
box 554 129 560 132 0.122586 0.617029 BG
box 62 318 84 329 0.117873 0.718760 BG
box 51 314 61 319 0.111218 0.679561 BG
whiteboard 27 9 229 270 0.174552 0.633301 whiteboard
garbage_bin 577 62 590 78 0.217346 0.517712 BG
garbage_bin 246 228 255 235 0.163604 0.292692 BG
garbage_bin 546 43 590 78 0.137437 0.476638 BG
garbage_bin 589 24 590 39 0.119243 0.297043 BG
