cabinet 71 3 259 440 0.627445 0.269603 tissue_dispenser
table 5 65 131 434 0.100307 0.704908 BG
door 331 0 336 127 0.197062 0.638422 BG
picture 149 162 239 265 0.167065 0.414442 BG
picture 3 6 36 192 0.12241 0.502464 BG
picture 1 2 23 70 0.116591 0.816566 BG
picture 26 1 54 2 0.115777 0.646782 BG
counter 189 165 588 320 0.319074 0.450339 BG
mirror 339 0 574 167 0.408298 0.507469 mirror
mirror 388 0 447 154 0.203187 0.642720 BG
mirror 144 156 235 272 0.166168 0.414442 BG
mirror 0 2 37 204 0.109442 0.502464 BG
mirror 536 2 588 113 0.10208 0.777053 BG
clothes 2 313 28 390 0.572488 0.115913 BG
clothes 16 334 26 366 0.403751 0.168346 BG
clothes 1 366 14 379 0.342326 0.560599 BG
clothes 9 233 88 401 0.228011 0.359689 floor
clothes 385 97 389 98 0.111314 0.637112 BG
clothes 27 369 28 374 0.10105 0.722742 BG
fridge 226 0 330 206 0.158325 0.581497 BG
tv 0 1 11 3 0.286256 0.572173 BG
tv 424 0 432 5 0.205404 0.728876 BG
paper 182 193 191 199 0.461569 0.503090 BG
paper 173 193 183 200 0.389924 0.525550 BG
paper 232 1 250 11 0.345018 0.460459 BG
paper 167 191 183 211 0.251051 0.658982 BG
paper 163 197 167 201 0.248903 0.610326 BG
paper 487 420 495 426 0.236027 0.362544 BG
paper 482 422 485 423 0.235361 0.351201 BG
paper 181 197 191 207 0.198023 0.758268 BG
paper 236 416 255 426 0.197773 0.617037 BG
paper 255 410 259 419 0.195786 0.557281 BG
paper 508 421 511 429 0.195318 0.474249 BG
paper 172 203 175 207 0.188612 0.758274 BG
paper 206 416 270 440 0.183406 0.377258 BG
paper 172 174 242 214 0.182737 0.673394 BG
paper 577 356 581 361 0.173721 0.239403 BG
paper 583 358 583 360 0.168813 0.207023 BG
paper 580 162 590 171 0.16675 0.368289 BG
paper 581 361 590 367 0.163419 0.323188 BG
paper 231 417 237 421 0.163326 0.722318 BG
paper 254 415 271 431 0.162046 0.648036 BG
paper 135 299 144 326 0.157923 0.584591 BG
paper 239 423 252 432 0.155423 0.647431 BG
paper 248 427 270 440 0.153789 0.183361 BG
paper 129 264 135 271 0.15197 0.510607 BG
paper 148 205 175 224 0.150315 0.671725 BG
paper 255 381 350 440 0.14999 0.656153 BG
paper 323 374 506 440 0.146444 0.685471 BG
paper 127 234 157 287 0.143806 0.425092 BG
paper 240 399 271 420 0.141592 0.734701 BG
paper 132 367 141 371 0.138452 0.567660 BG
paper 158 202 168 206 0.138193 0.685030 BG
paper 125 224 152 240 0.135589 0.355402 BG
paper 496 421 512 432 0.13528 0.417041 BG
paper 417 103 422 106 0.134723 0.439317 BG
paper 26 0 53 2 0.129139 0.646782 BG
paper 224 419 228 426 0.125959 0.802661 BG
paper 328 417 333 430 0.12319 0.647773 BG
paper 486 427 497 431 0.111346 0.523974 BG
paper 415 395 433 404 0.111267 0.740234 BG
paper 417 83 427 106 0.109063 0.422740 BG
paper 422 96 425 101 0.107084 0.504141 BG
paper 584 97 590 117 0.105627 0.559458 BG
paper 1 260 7 287 0.102261 0.407858 BG
paper 3 308 15 319 0.10221 0.452588 BG
paper 1 288 13 316 0.101725 0.471136 BG
paper 108 81 144 174 0.10135 0.677780 BG
towel 4 223 102 425 0.153111 0.478983 floor
towel 132 367 142 371 0.117415 0.567660 BG
box 166 179 242 251 0.329811 0.394911 BG
box 482 421 486 423 0.226276 0.351201 BG
box 487 419 496 426 0.198203 0.362544 BG
box 415 84 428 123 0.196235 0.463669 BG
box 247 426 270 440 0.167427 0.183361 BG
box 415 102 422 123 0.163353 0.586418 BG
box 577 355 581 361 0.158605 0.239403 BG
box 255 410 260 419 0.152872 0.557281 BG
box 416 103 422 107 0.144649 0.439317 BG
box 204 420 272 440 0.138839 0.212198 BG
box 580 161 590 171 0.118304 0.368289 BG
box 508 420 512 429 0.11501 0.474249 BG
box 577 355 590 367 0.111675 0.292767 BG
box 583 357 583 360 0.109746 0.207023 BG
box 254 415 271 430 0.105521 0.648036 BG
sink 269 135 521 322 0.938653 0.028387 BG
sink 319 177 485 251 0.300673 0.699227 sink
sink 542 33 590 131 0.132817 0.534764 BG
lamp 537 44 590 131 0.159748 0.397450 BG
lamp 1 53 52 214 0.137733 0.606466 BG
bag 1 320 19 392 0.292598 0.142347 BG
bag 16 338 26 367 0.29132 0.168346 BG
bag 3 243 87 390 0.15901 0.359689 floor
bag 27 369 29 374 0.130134 0.722742 BG
garbage_bin 191 162 252 246 0.251779 0.332838 BG
garbage_bin 219 176 238 206 0.145948 0.802770 BG
garbage_bin 226 182 234 191 0.136211 0.799209 BG
garbage_bin 576 355 582 361 0.103408 0.239403 BG
garbage_bin 155 171 281 413 0.102688 0.607988 BG
