cabinet 166 246 525 440 0.156006 0.775570 shelf&&bookshelf
chair 0 370 114 440 0.440248 0.471706 BG
chair 463 430 466 440 0.10536 0.474241 BG
sofa 523 67 590 97 0.122673 0.393926 BG
table 422 416 472 440 0.248228 0.492381 BG
picture 467 152 531 206 0.957351 0.026669 BG
picture 108 169 182 238 0.928159 0.060146 picture
picture 2 264 50 299 0.825415 0.091285 BG
picture 109 170 120 238 0.670149 0.296388 BG
picture 307 77 325 99 0.584415 0.381133 BG
picture 307 77 313 88 0.55259 0.429517 BG
picture 1 268 10 302 0.535806 0.260744 BG
picture 309 217 404 279 0.408505 0.465542 BG
picture 117 156 339 238 0.330573 0.658079 BG
picture 216 173 251 207 0.319934 0.588896 BG
picture 479 149 522 153 0.269574 0.457649 BG
picture 353 223 385 270 0.257194 0.582662 BG
picture 523 153 527 173 0.243233 0.670156 BG
picture 73 3 433 95 0.227886 0.668626 BG
picture 349 0 455 99 0.224848 0.358322 BG
picture 304 188 325 209 0.212461 0.653954 BG
picture 496 159 522 187 0.203612 0.770421 BG
picture 524 160 531 196 0.200747 0.755566 BG
picture 406 158 455 195 0.187417 0.700707 BG
picture 419 235 451 261 0.170824 0.540605 BG
picture 488 0 590 97 0.164485 0.688465 BG
picture 314 248 359 276 0.152415 0.745583 BG
picture 250 15 368 103 0.134855 0.799143 BG
picture 9 291 49 301 0.131743 0.766437 BG
picture 261 77 328 101 0.129404 0.808152 BG
picture 343 159 523 212 0.123817 0.851539 BG
picture 314 245 336 256 0.123221 0.761314 BG
picture 123 36 152 63 0.120273 0.569999 BG
picture 435 177 451 187 0.116331 0.811458 BG
picture 485 50 516 100 0.115607 0.868327 BG
picture 218 164 249 186 0.113677 0.868712 BG
picture 436 51 454 97 0.102828 0.791848 BG
picture 314 247 315 253 0.101852 0.688689 BG
picture 133 208 159 222 0.100371 0.889333 BG
counter 381 321 391 325 0.110506 0.788840 BG
mirror 337 0 461 104 0.259089 0.358322 BG
clothes 494 234 585 431 0.815693 0.099640 BG
clothes 515 272 530 284 0.198179 0.788164 BG
clothes 508 285 513 296 0.125126 0.825297 BG
paper 314 247 315 253 0.187496 0.688689 BG
paper 307 252 308 265 0.182141 0.600499 BG
paper 306 235 310 268 0.170877 0.706216 BG
paper 565 68 589 82 0.168831 0.318450 BG
paper 291 241 294 247 0.147821 0.616496 BG
paper 306 369 310 371 0.147019 0.726920 BG
paper 248 205 249 209 0.142006 0.616775 BG
paper 308 248 314 279 0.140443 0.608409 BG
paper 383 261 383 266 0.129175 0.324699 BG
paper 383 231 387 273 0.12612 0.571141 BG
paper 306 227 307 229 0.125777 0.764271 BG
paper 282 225 308 283 0.121892 0.770903 BG
paper 307 265 310 268 0.120014 0.565830 BG
paper 587 97 590 99 0.115606 0.245147 BG
paper 315 245 335 255 0.104089 0.761314 BG
paper 420 236 451 260 0.102744 0.540605 BG
towel 470 373 557 440 0.32187 0.429087 BG
towel 490 274 582 440 0.161 0.068380 BG
towel 219 338 260 439 0.142891 0.803847 BG
box 382 261 384 266 0.359106 0.324699 BG
box 382 232 388 278 0.275443 0.521173 BG
box 384 276 388 280 0.274695 0.534581 BG
box 379 255 384 268 0.245315 0.560711 BG
box 587 96 590 98 0.196634 0.245147 BG
box 306 397 319 438 0.16617 0.419411 BG
box 248 205 250 209 0.164657 0.616775 BG
box 348 219 406 274 0.14548 0.673451 BG
box 307 265 311 268 0.135693 0.565830 BG
box 418 235 452 259 0.131896 0.540605 BG
box 202 174 277 221 0.125407 0.713803 picture
box 350 270 381 276 0.122493 0.744195 BG
box 306 368 310 372 0.111804 0.726920 BG
box 290 242 295 247 0.108286 0.616496 BG
box 403 219 439 258 0.107613 0.743110 BG
box 329 352 338 360 0.102449 0.803973 BG
box 565 69 590 81 0.102365 0.318450 BG
person 586 210 590 238 0.387604 0.607579 BG
person 535 169 588 403 0.367513 0.466601 BG
person 529 201 583 275 0.254987 0.732084 BG
person 578 236 584 240 0.201381 0.798528 BG
person 579 226 587 238 0.171315 0.828476 BG
person 562 229 582 246 0.10455 0.895362 BG
person 570 201 590 240 0.100508 0.897867 BG
lamp 62 85 93 101 0.127223 0.869028 BG
lamp 445 269 446 278 0.123188 0.797196 BG
lamp 85 35 145 103 0.111333 0.768459 BG
bag 581 397 590 440 0.161631 0.364615 BG
garbage_bin 446 311 479 335 0.131155 0.674342 BG
garbage_bin 468 408 479 417 0.110357 0.802326 BG
