cabinet 227 284 590 439 0.187615 0.156923 board&&board&&whiteboard
bed 31 247 267 440 0.206218 0.205954 table
chair 208 425 214 427 0.236386 0.643051 BG
chair 203 422 223 426 0.234421 0.587295 BG
chair 191 419 209 425 0.201316 0.651265 BG
chair 16 235 143 438 0.166303 0.538503 BG
chair 66 323 108 348 0.118954 0.849436 BG
chair 65 325 90 335 0.105015 0.885707 BG
table 18 281 242 440 0.360566 0.240706 table
table 108 361 231 431 0.121108 0.791201 BG
picture 295 114 358 167 0.810568 0.163849 BG
picture 373 125 432 174 0.753892 0.213791 BG
picture 466 6 590 193 0.749732 0.223797 BG
picture 195 16 247 125 0.740904 0.206949 BG
picture 486 1 590 38 0.684637 0.133582 BG
picture 199 83 244 115 0.654481 0.281526 BG
picture 517 138 587 184 0.620712 0.297634 BG
picture 420 1 448 27 0.573372 0.369628 BG
picture 420 1 442 6 0.567886 0.373987 BG
picture 204 17 246 43 0.548861 0.272182 BG
picture 150 91 189 134 0.548279 0.379437 BG
picture 315 1 367 28 0.536216 0.378312 BG
picture 204 58 245 88 0.529316 0.389535 BG
picture 383 8 447 181 0.490241 0.455724 BG
picture 195 31 242 62 0.465238 0.361825 BG
picture 296 127 309 166 0.460629 0.533725 BG
picture 134 37 148 59 0.453599 0.295878 BG
picture 163 109 183 125 0.400484 0.508860 BG
picture 567 61 590 76 0.396894 0.508928 BG
picture 204 31 232 42 0.383142 0.445689 BG
picture 474 4 539 112 0.371949 0.512764 BG
picture 463 134 526 180 0.343439 0.490092 BG
picture 121 11 267 163 0.329059 0.594691 poster&&paper
picture 531 2 588 97 0.316648 0.654383 BG
picture 229 60 244 82 0.31422 0.522497 BG
picture 159 102 174 113 0.308477 0.614604 BG
picture 530 66 590 88 0.30728 0.624869 BG
picture 332 0 343 6 0.300274 0.653961 BG
picture 294 5 374 178 0.299695 0.638380 BG
picture 584 61 590 69 0.280473 0.487496 BG
picture 155 46 169 58 0.277029 0.435534 BG
picture 574 60 583 71 0.270716 0.613556 BG
picture 564 150 583 169 0.266257 0.620173 BG
picture 527 84 588 136 0.265537 0.677137 BG
picture 173 109 183 114 0.263965 0.644316 BG
picture 159 107 164 113 0.257879 0.673939 BG
picture 150 100 160 108 0.238296 0.688054 BG
picture 178 111 189 132 0.228113 0.673368 BG
picture 532 42 590 69 0.227354 0.744494 BG
picture 564 124 590 196 0.226249 0.604709 BG
picture 199 88 216 105 0.223765 0.710794 BG
picture 445 1 447 3 0.214378 0.539863 BG
picture 164 92 188 111 0.211486 0.708546 BG
picture 178 96 188 104 0.206838 0.674982 BG
picture 389 1 391 10 0.201529 0.364278 BG
picture 209 88 221 113 0.200284 0.748274 BG
picture 109 36 121 46 0.189856 0.626335 BG
picture 554 58 560 68 0.189 0.700866 BG
picture 103 115 125 126 0.18781 0.482006 BG
picture 323 92 433 181 0.18655 0.761608 BG
picture 221 68 233 78 0.178649 0.773044 BG
picture 158 112 168 124 0.17599 0.740670 BG
picture 382 81 434 124 0.175573 0.736602 BG
picture 364 2 367 26 0.172168 0.409878 BG
picture 527 146 563 160 0.160374 0.766681 BG
picture 527 98 561 123 0.150603 0.726074 BG
picture 219 89 231 114 0.150095 0.809908 BG
picture 153 118 163 125 0.149463 0.740753 BG
picture 457 1 460 26 0.148112 0.476253 BG
picture 540 26 588 45 0.14577 0.585497 BG
picture 540 58 560 76 0.144927 0.785784 BG
picture 533 85 588 100 0.14297 0.811996 BG
picture 323 0 334 17 0.126241 0.855231 BG
picture 204 58 216 76 0.112693 0.809659 BG
picture 410 93 444 172 0.11111 0.827660 BG
picture 373 148 384 173 0.108246 0.824126 BG
picture 472 87 560 134 0.107049 0.724506 BG
picture 111 5 149 16 0.105914 0.711304 BG
picture 335 127 355 163 0.104247 0.818442 BG
desk 25 267 270 440 0.493154 0.198221 table
dresser 79 286 570 436 0.345145 0.282868 board&&whiteboard
pillow 91 318 168 364 0.112384 0.797738 BG
paper 541 10 555 25 0.262829 0.419961 BG
paper 543 0 544 6 0.244557 0.405939 BG
paper 44 299 52 305 0.205935 0.760208 BG
paper 521 12 527 22 0.200124 0.654096 BG
paper 478 53 480 63 0.195683 0.695734 BG
paper 305 115 355 124 0.192699 0.727753 BG
paper 389 0 391 10 0.185258 0.364278 BG
paper 50 270 68 280 0.17039 0.809107 BG
paper 333 128 340 134 0.170111 0.745108 BG
paper 485 0 543 38 0.16336 0.439154 BG
paper 587 199 590 201 0.158402 0.264498 BG
paper 32 306 49 313 0.15774 0.729558 BG
paper 472 103 472 111 0.153125 0.523387 BG
paper 364 0 367 25 0.152542 0.409878 BG
paper 155 46 169 58 0.151846 0.435534 BG
paper 466 142 468 154 0.151638 0.753990 BG
paper 31 306 39 309 0.147909 0.782503 BG
paper 341 131 345 134 0.139169 0.759073 BG
paper 45 266 58 275 0.136608 0.811241 BG
paper 66 0 91 23 0.136036 0.600000 BG
paper 383 46 391 75 0.135755 0.706169 BG
paper 135 37 148 58 0.133938 0.295878 BG
paper 47 285 63 289 0.128206 0.861397 BG
paper 24 294 44 314 0.127115 0.810228 BG
paper 116 117 124 126 0.12275 0.558846 BG
paper 201 299 215 322 0.120755 0.850870 BG
paper 580 193 590 194 0.119119 0.479654 BG
paper 230 60 244 76 0.115756 0.559737 BG
paper 539 25 540 36 0.113799 0.710097 BG
paper 325 134 332 139 0.11373 0.779791 BG
paper 576 127 590 196 0.11265 0.585501 BG
paper 585 60 590 70 0.112618 0.487496 BG
paper 265 312 272 329 0.111223 0.688434 BG
paper 303 118 355 146 0.10899 0.754205 BG
paper 590 97 590 100 0.10767 0.287177 BG
paper 64 271 101 277 0.10701 0.860991 BG
paper 51 259 122 277 0.105 0.824584 BG
paper 473 81 529 132 0.100383 0.585686 BG
box 463 160 468 172 0.341637 0.547823 BG
box 481 163 494 175 0.2392 0.690352 BG
box 158 60 170 77 0.234876 0.688818 BG
box 470 83 534 131 0.213115 0.585686 BG
box 474 82 535 89 0.205343 0.683694 BG
box 156 48 171 66 0.201109 0.600261 BG
box 164 330 168 339 0.19956 0.719255 BG
box 142 292 262 370 0.194857 0.657351 basket&&books
box 169 326 178 336 0.190291 0.694328 BG
box 491 165 495 172 0.183201 0.746213 BG
box 460 111 528 186 0.167323 0.369238 BG
box 158 291 180 342 0.165043 0.763175 BG
box 184 35 241 60 0.155182 0.480719 BG
box 179 328 182 338 0.148314 0.741699 BG
box 103 115 125 125 0.140905 0.482006 BG
box 185 51 191 57 0.13706 0.780714 BG
box 179 326 182 329 0.133863 0.813833 BG
box 540 10 556 24 0.121644 0.419961 BG
box 213 17 247 34 0.12111 0.383951 BG
box 144 248 217 343 0.116317 0.646119 BG
box 471 42 538 110 0.11588 0.652298 BG
box 142 293 168 338 0.115775 0.850837 BG
box 146 316 166 332 0.103604 0.848022 BG
box 205 31 232 41 0.102116 0.445689 BG
box 518 166 530 179 0.101178 0.782382 BG
whiteboard 539 1 590 43 0.12326 0.106555 BG
