cabinet 424 267 590 440 0.179064 0.492553 board
chair 203 71 338 268 0.981281 0.013348 chair
chair 6 399 139 440 0.778837 0.209696 BG
chair 217 74 280 191 0.115675 0.871543 BG
table 119 39 327 179 0.479256 0.211374 table
table 222 34 422 210 0.170218 0.338074 table
door 1 16 118 430 0.153931 0.794532 BG
door 463 12 536 305 0.132697 0.770853 BG
bookshelf 70 7 193 241 0.31102 0.647255 file_cabinet
bookshelf 68 2 169 77 0.115242 0.787782 BG
picture 463 113 495 172 0.307068 0.562673 BG
counter 473 277 590 346 0.141135 0.601726 BG
desk 98 47 417 214 0.914286 0.040824 table
desk 124 44 279 150 0.139562 0.688723 BG
desk 277 20 445 371 0.103244 0.789421 BG
clothes 272 39 288 53 0.174883 0.760148 BG
clothes 261 36 297 63 0.157674 0.763870 BG
tv 277 1 365 34 0.33406 0.367488 monitor
tv 318 1 344 27 0.150857 0.576917 BG
paper 343 57 386 68 0.281694 0.701228 BG
paper 382 65 388 67 0.243742 0.722851 BG
paper 568 417 574 430 0.20814 0.291374 BG
paper 371 64 380 68 0.20183 0.786681 BG
paper 280 54 329 75 0.171199 0.789592 BG
paper 288 51 404 86 0.170585 0.806957 BG
paper 138 42 145 49 0.165022 0.705442 BG
paper 306 59 354 76 0.158133 0.798674 BG
paper 308 56 311 58 0.14683 0.776001 BG
paper 327 69 349 79 0.138294 0.749724 BG
paper 402 393 417 440 0.136517 0.543723 BG
paper 296 45 325 58 0.120175 0.855519 BG
paper 293 49 308 64 0.113154 0.845757 BG
paper 575 324 590 337 0.110818 0.331481 BG
paper 397 405 404 440 0.109354 0.475556 BG
paper 414 406 436 440 0.105094 0.527077 BG
paper 492 100 498 110 0.101106 0.597812 BG
box 143 118 185 196 0.772471 0.183355 box
box 140 108 163 128 0.693436 0.302536 BG
box 159 108 177 118 0.474262 0.517154 BG
box 97 85 195 169 0.333995 0.649949 BG
box 128 117 143 148 0.296307 0.623892 BG
box 178 112 220 190 0.259895 0.586450 BG
box 179 143 199 180 0.244974 0.694431 BG
box 147 96 160 112 0.209705 0.782367 BG
box 146 97 178 118 0.206951 0.784299 BG
box 138 96 144 115 0.206183 0.775217 BG
box 427 436 430 440 0.190679 0.530855 BG
box 568 416 575 430 0.183793 0.291374 BG
box 405 438 406 440 0.1795 0.444949 BG
box 2 420 39 439 0.164815 0.622088 BG
box 414 405 437 438 0.1266 0.527077 BG
box 396 404 405 439 0.12273 0.475556 BG
box 179 168 184 175 0.115879 0.847084 BG
box 402 392 418 438 0.109909 0.543723 BG
box 179 122 204 137 0.106882 0.838782 BG
box 139 80 194 128 0.102867 0.888583 BG
garbage_bin 224 158 225 162 0.166278 0.827713 BG
garbage_bin 194 142 222 177 0.166163 0.800117 BG
garbage_bin 328 178 350 190 0.146031 0.766185 BG
garbage_bin 216 154 223 156 0.133019 0.850680 BG
garbage_bin 215 146 223 154 0.133019 0.850680 BG
garbage_bin 330 165 350 179 0.13096 0.790535 BG
garbage_bin 339 175 350 180 0.110468 0.798755 BG
garbage_bin 205 158 219 166 0.110311 0.882920 BG
garbage_bin 316 151 336 194 0.100745 0.801289 BG
