cabinet 52 107 184 427 0.107292 0.811654 frige
chair 352 85 564 418 0.994626 0.004791 chair
chair 281 0 374 177 0.781438 0.188501 chair
chair 331 0 386 111 0.671976 0.300362 BG
chair 46 415 149 440 0.455913 0.436189 BG
chair 369 83 454 305 0.427449 0.562762 BG
chair 293 96 373 155 0.397227 0.584000 BG
chair 300 0 367 50 0.260512 0.733247 BG
chair 359 0 370 58 0.193889 0.804230 BG
chair 441 92 578 246 0.166907 0.819738 BG
chair 392 1 465 101 0.161738 0.693161 BG
chair 523 107 589 353 0.155919 0.828248 BG
chair 368 0 394 32 0.152067 0.836324 BG
chair 314 0 330 27 0.137881 0.860425 BG
chair 53 429 63 440 0.137701 0.277912 BG
chair 282 7 548 111 0.137675 0.771368 BG
chair 369 15 394 68 0.130545 0.816628 BG
chair 366 8 378 35 0.127628 0.869667 BG
chair 274 64 376 114 0.103017 0.812468 BG
sofa 77 37 91 48 0.154536 0.590162 BG
table 388 13 566 310 0.214901 0.599979 BG
bookshelf 72 1 126 39 0.161178 0.413054 BG
picture 1 2 32 67 0.557335 0.308540 BG
picture 64 1 75 15 0.55486 0.164245 BG
picture 28 2 66 28 0.462374 0.396733 BG
picture 584 42 590 46 0.219579 0.457789 BG
picture 179 1 216 16 0.191331 0.709031 BG
picture 16 1 90 61 0.141376 0.752294 BG
picture 78 1 143 36 0.127947 0.367734 BG
picture 400 1 434 3 0.119238 0.531109 BG
picture 26 48 40 63 0.110291 0.817684 BG
picture 26 1 209 44 0.106483 0.783131 BG
counter 55 32 259 138 0.811234 0.166611 BG
counter 0 72 321 267 0.470845 0.472154 BG
counter 157 42 244 61 0.261589 0.672419 BG
counter 181 23 262 113 0.241741 0.732210 BG
counter 77 38 91 49 0.187987 0.590162 BG
counter 82 42 91 46 0.142161 0.700538 BG
counter 1 227 41 268 0.11419 0.685404 BG
counter 1 254 8 265 0.111903 0.703745 BG
desk 127 29 272 238 0.212989 0.514428 drawer
desk 210 8 550 381 0.161594 0.767024 BG
desk 511 0 590 208 0.108674 0.738923 counter&&cabinet
clothes 293 29 374 108 0.112555 0.543557 BG
tv 0 65 15 69 0.357391 0.618419 BG
tv 0 5 32 86 0.168221 0.338852 BG
paper 563 30 566 34 0.469422 0.530518 BG
paper 565 9 589 26 0.398172 0.545060 BG
paper 119 14 132 29 0.259261 0.457139 BG
paper 398 0 432 3 0.242637 0.531109 BG
paper 542 9 587 14 0.183397 0.598807 BG
paper 569 136 574 139 0.177072 0.740968 BG
paper 226 23 237 33 0.169424 0.770850 BG
paper 585 43 590 46 0.154206 0.457789 BG
paper 589 56 590 64 0.14547 0.523313 BG
paper 19 239 25 245 0.137775 0.416144 BG
paper 168 53 183 59 0.13501 0.859496 BG
paper 232 1 245 11 0.126714 0.748569 BG
paper 164 44 199 59 0.124154 0.817079 BG
paper 64 0 75 15 0.114971 0.164245 BG
paper 202 21 233 40 0.108237 0.813555 BG
paper 203 41 233 46 0.105608 0.864674 BG
paper 148 58 157 75 0.104889 0.820803 BG
paper 172 141 187 191 0.103128 0.839928 BG
paper 3 226 36 258 0.103067 0.434605 BG
box 559 57 590 181 0.271643 0.611784 BG
box 43 86 49 92 0.250655 0.694959 BG
box 28 84 45 97 0.237552 0.737307 BG
box 588 55 590 63 0.175305 0.523313 BG
box 542 8 588 13 0.17307 0.598807 BG
box 24 100 50 124 0.166733 0.698640 BG
box 39 44 93 114 0.119739 0.765634 BG
box 584 42 590 45 0.118731 0.457789 BG
box 49 239 55 243 0.108604 0.873321 BG
box 447 13 526 84 0.103148 0.878047 BG
box 53 429 63 440 0.102506 0.277912 BG
box 41 83 46 86 0.101772 0.865385 BG
box 72 234 87 261 0.101093 0.824128 BG
person 409 0 477 61 0.331194 0.368644 BG
person 449 25 454 29 0.150864 0.814545 BG
sink 73 12 238 291 0.118224 0.754679 frige&&drawer
bag 286 35 362 81 0.223013 0.650689 BG
garbage_bin 90 60 105 73 0.113466 0.823560 BG
garbage_bin 233 18 269 106 0.102463 0.839681 BG
