bed 318 75 590 433 0.114684 0.408346 desk&&counter
chair 147 110 316 361 0.988977 0.008948 chair
chair 384 303 387 307 0.1045 0.799862 BG
chair 1 433 3 440 0.102952 0.368106 BG
table 243 104 577 440 0.312509 0.360314 desk
table 468 107 574 184 0.145504 0.785004 BG
table 153 93 387 389 0.132863 0.580901 BG
picture 337 1 339 5 0.162607 0.612542 BG
picture 562 0 590 22 0.127467 0.746964 BG
picture 344 1 426 13 0.108993 0.647740 BG
picture 440 388 443 391 0.108518 0.836238 BG
picture 316 1 336 13 0.10717 0.844994 BG
blinds 3 0 108 130 0.526066 0.341076 BG
desk 245 133 563 383 0.856522 0.104751 desk
desk 65 127 392 337 0.687827 0.277303 BG
tv 376 43 493 178 0.448284 0.467610 monitor
paper 383 169 410 184 0.660958 0.315824 BG
paper 395 190 401 195 0.610786 0.362530 BG
paper 428 327 458 407 0.470724 0.369970 BG
paper 391 185 420 202 0.461318 0.530037 BG
paper 278 107 309 115 0.447229 0.512151 BG
paper 355 154 422 189 0.413487 0.567275 paper
paper 545 25 590 38 0.325908 0.570100 BG
paper 330 190 419 224 0.323438 0.664383 paper
paper 499 389 522 414 0.30874 0.555256 BG
paper 3 168 69 194 0.26799 0.686793 BG
paper 111 133 146 142 0.266079 0.723802 BG
paper 5 133 85 172 0.255455 0.712960 BG
paper 575 135 576 136 0.253735 0.310320 BG
paper 82 126 145 144 0.251279 0.735551 BG
paper 568 131 571 133 0.245742 0.285297 BG
paper 285 135 299 144 0.232413 0.731143 BG
paper 76 90 78 94 0.195348 0.607313 BG
paper 74 78 85 95 0.193518 0.622186 BG
paper 123 128 151 136 0.188855 0.801790 BG
paper 2 132 50 144 0.178168 0.541913 BG
paper 1 140 6 144 0.167031 0.278431 BG
paper 82 90 83 92 0.161524 0.644612 BG
paper 509 400 526 418 0.158748 0.577063 BG
paper 450 337 463 363 0.155769 0.746688 BG
paper 67 61 74 74 0.147322 0.689083 BG
paper 93 131 125 141 0.146722 0.846631 BG
paper 4 73 88 138 0.143048 0.519354 BG
paper 67 37 87 70 0.139686 0.607103 BG
paper 78 62 82 66 0.138023 0.639907 BG
paper 86 98 88 108 0.126631 0.545763 BG
paper 519 408 526 419 0.126014 0.464969 BG
paper 558 129 571 133 0.125764 0.537339 BG
paper 113 158 150 178 0.101614 0.886766 BG
box 578 394 590 440 0.628302 0.200132 shelves
box 568 130 572 133 0.232692 0.285297 BG
box 382 264 385 271 0.186454 0.776294 BG
box 575 134 577 136 0.184184 0.310320 BG
box 509 399 526 418 0.163969 0.577063 BG
box 519 408 526 418 0.124792 0.464969 BG
box 558 128 571 133 0.120602 0.537339 BG
box 1 141 7 143 0.116177 0.278431 BG
box 382 258 386 266 0.11103 0.874066 BG
whiteboard 90 6 389 142 0.369202 0.618192 BG
lamp 568 364 578 372 0.116922 0.788404 BG
garbage_bin 67 265 129 335 0.890396 0.101380 garbage_bin
garbage_bin 130 298 135 312 0.307694 0.664950 BG
garbage_bin 101 268 127 284 0.244797 0.638174 BG
garbage_bin 71 307 75 312 0.21528 0.746211 BG
garbage_bin 128 305 132 325 0.168338 0.805544 BG
garbage_bin 489 87 493 95 0.167567 0.646548 BG
garbage_bin 58 313 71 319 0.145424 0.771488 BG
garbage_bin 131 286 156 294 0.110504 0.789818 BG
