cabinet 132 235 406 440 0.188354 0.490707 drawer
chair 456 347 550 440 0.848073 0.126922 BG
chair 449 347 482 440 0.747689 0.247050 BG
chair 285 427 306 440 0.172616 0.766534 BG
chair 0 117 31 234 0.100889 0.709480 BG
sofa 1 31 107 55 0.160358 0.657310 BG
table 466 326 585 440 0.314665 0.277372 chair
picture 57 0 96 32 0.503961 0.433942 BG
picture 85 1 95 26 0.427252 0.499745 BG
picture 2 1 116 39 0.35371 0.452586 BG
picture 67 1 82 18 0.353623 0.625062 BG
picture 146 249 186 290 0.3181 0.344975 BG
picture 182 1 198 2 0.201702 0.590656 BG
picture 155 274 178 283 0.170844 0.666097 BG
picture 84 2 109 38 0.139963 0.737218 BG
counter 151 161 581 440 0.551086 0.174975 desk&&drawer
counter 18 17 319 69 0.368053 0.602637 BG
counter 113 287 409 350 0.231221 0.753742 BG
desk 140 161 590 439 0.654144 0.131142 desk&&drawer
desk 379 340 581 440 0.19942 0.227303 BG
paper 4 117 61 143 0.390195 0.289848 BG
paper 91 275 98 280 0.354326 0.603204 BG
paper 416 142 429 155 0.293155 0.410648 BG
paper 43 233 133 332 0.233372 0.533205 BG
paper 481 159 575 194 0.197912 0.769531 BG
paper 419 163 426 165 0.186322 0.711585 BG
paper 141 0 170 8 0.186002 0.645116 BG
paper 148 249 185 289 0.182201 0.344975 BG
paper 148 164 161 199 0.179884 0.477747 BG
paper 417 157 447 182 0.163118 0.787574 BG
paper 106 0 137 26 0.155307 0.650355 BG
paper 415 221 419 229 0.15109 0.839220 BG
paper 2 241 44 261 0.139703 0.683248 BG
paper 63 263 96 284 0.138374 0.815513 BG
paper 289 48 312 86 0.127903 0.586424 BG
paper 7 57 134 154 0.126346 0.292456 BG
paper 205 183 330 300 0.126209 0.784225 BG
paper 278 192 288 205 0.120336 0.840627 BG
paper 549 158 563 163 0.111667 0.663651 BG
paper 156 274 177 283 0.109741 0.666097 BG
paper 131 222 276 334 0.108788 0.696074 BG
paper 570 416 590 440 0.10794 0.210223 BG
paper 576 352 590 382 0.106554 0.296552 BG
paper 26 0 97 36 0.103707 0.652708 BG
box 378 114 434 144 0.871518 0.096116 BG
box 138 124 139 129 0.695646 0.258245 BG
box 364 100 457 190 0.605122 0.339939 container
box 382 103 480 133 0.594734 0.348457 BG
box 380 133 419 160 0.424046 0.531731 BG
box 50 231 141 338 0.319591 0.440034 BG
box 6 59 138 158 0.314565 0.292456 BG
box 415 142 430 156 0.270824 0.410648 BG
box 7 219 188 401 0.241974 0.661440 desk&&drawer
box 319 153 374 209 0.224274 0.760528 BG
box 523 183 579 208 0.213479 0.476987 BG
box 159 384 174 391 0.207416 0.758051 BG
box 374 311 384 316 0.199862 0.776565 BG
box 128 234 190 311 0.187339 0.516605 BG
box 144 169 162 201 0.166586 0.535000 BG
box 306 10 310 18 0.160434 0.617326 BG
box 98 163 204 333 0.15804 0.682095 BG
box 150 284 203 305 0.155656 0.726438 BG
box 370 185 377 191 0.153998 0.840635 BG
box 154 160 185 196 0.152454 0.615378 BG
box 548 158 564 164 0.146688 0.663651 BG
box 371 437 383 440 0.141113 0.480596 BG
box 42 282 62 299 0.139106 0.810508 BG
box 2 116 64 143 0.138921 0.289848 BG
box 457 237 463 242 0.128704 0.749758 BG
box 559 154 561 157 0.125302 0.562743 BG
box 49 277 73 289 0.125119 0.794203 BG
box 9 138 63 155 0.122203 0.770490 BG
box 3 208 47 246 0.113302 0.711953 BG
box 361 183 371 188 0.112794 0.878884 BG
box 140 330 148 359 0.110307 0.778382 BG
box 166 310 173 313 0.110239 0.798635 BG
box 34 220 47 233 0.103452 0.857495 BG
box 139 132 141 135 0.101868 0.831703 BG
box 160 312 181 321 0.101549 0.800215 BG
box 40 234 46 246 0.101387 0.872107 BG
bag 127 169 172 238 0.108106 0.549471 BG
garbage_bin 524 183 581 209 0.123776 0.476987 BG
