cabinet 50 103 395 407 0.141534 0.683104 floor
chair 446 430 460 437 0.117623 0.363512 BG
chair 424 422 433 430 0.100609 0.752541 BG
sofa 584 216 590 229 0.115501 0.473929 BG
picture 582 1 590 11 0.338572 0.372170 BG
picture 169 180 197 213 0.264559 0.580525 BG
pillow 544 123 588 175 0.357044 0.460629 BG
pillow 558 129 577 161 0.165998 0.738560 BG
pillow 575 145 590 168 0.130524 0.537275 BG
clothes 143 0 194 24 0.147267 0.778572 BG
clothes 386 427 390 433 0.128519 0.288331 BG
tv 400 0 481 58 0.632651 0.323579 BG
tv 465 0 483 54 0.593576 0.362162 BG
tv 449 1 469 16 0.210912 0.676516 BG
paper 309 219 311 225 0.487774 0.455886 BG
paper 309 215 326 230 0.345692 0.603876 BG
paper 309 224 346 277 0.319638 0.479448 BG
paper 309 204 340 237 0.306346 0.637692 BG
paper 322 223 340 237 0.259726 0.682232 BG
paper 171 147 191 167 0.160708 0.619040 BG
paper 256 172 260 174 0.158728 0.832890 BG
paper 163 152 172 158 0.126879 0.596268 BG
paper 111 117 116 127 0.122205 0.738863 BG
paper 448 430 460 437 0.119465 0.363512 BG
box 163 146 190 168 0.222294 0.583285 BG
box 163 152 171 159 0.218985 0.596268 BG
box 404 53 481 87 0.123067 0.796208 BG
box 359 395 364 405 0.105923 0.675552 BG
person 376 434 382 440 0.356332 0.181868 BG
person 588 207 590 215 0.191899 0.402111 BG
person 379 423 386 440 0.166526 0.277689 BG
person 585 215 590 229 0.132256 0.473929 BG
toilet 372 181 589 434 0.144614 0.582847 garbage_bin
bag 386 428 390 434 0.39128 0.288331 BG
bag 380 425 386 431 0.38581 0.353456 BG
bag 386 416 393 434 0.29339 0.488994 BG
bag 375 402 396 440 0.213028 0.664841 BG
bag 386 424 391 428 0.143366 0.762324 BG
bag 376 435 382 440 0.138236 0.181868 BG
garbage_bin 353 402 365 414 0.247702 0.721207 BG
garbage_bin 368 387 374 397 0.223573 0.643258 BG
garbage_bin 421 226 556 440 0.17053 0.732493 BG
garbage_bin 310 1 377 50 0.167084 0.783877 BG
garbage_bin 359 395 365 404 0.165776 0.675552 BG
garbage_bin 305 0 328 42 0.144941 0.834063 BG
garbage_bin 350 334 366 406 0.120932 0.739049 BG
garbage_bin 284 15 312 38 0.107378 0.810413 BG
garbage_bin 373 21 405 79 0.100304 0.887818 BG
