cabinet 1 110 89 191 0.109703 0.659648 shelf
bed 21 128 450 440 0.746834 0.102489 bed
sofa 8 149 434 424 0.585887 0.192577 bed
sofa 524 128 589 212 0.421967 0.364289 microwave
sofa 525 150 589 159 0.373979 0.414709 BG
sofa 503 186 588 419 0.15623 0.341530 table
sofa 557 140 589 154 0.147087 0.701283 BG
sofa 187 1 367 128 0.118785 0.549831 tv
picture 332 250 379 294 0.455775 0.526549 BG
picture 223 252 267 292 0.270773 0.713412 BG
picture 35 1 45 14 0.164799 0.363283 BG
picture 235 1 245 14 0.148914 0.661432 BG
picture 0 97 9 119 0.139936 0.846300 BG
picture 130 5 137 15 0.138009 0.396735 BG
picture 212 1 275 5 0.132005 0.691601 BG
picture 234 0 271 13 0.119016 0.546940 BG
picture 1 219 9 232 0.111363 0.267162 BG
desk 497 173 585 406 0.155608 0.290934 table
dresser 31 242 503 440 0.435766 0.331890 bed
pillow 274 166 424 243 0.548996 0.397595 pillow
pillow 88 152 156 190 0.444717 0.554891 clothes
pillow 92 146 126 172 0.190639 0.808156 BG
pillow 133 160 181 190 0.125522 0.845485 BG
pillow 121 153 418 286 0.109288 0.657958 BG
mirror 6 2 132 93 0.243042 0.546467 BG
clothes 270 173 436 305 0.156743 0.503967 BG
paper 464 94 468 101 0.356758 0.336334 BG
paper 433 110 496 134 0.264051 0.464507 BG
paper 413 42 465 68 0.255955 0.478034 BG
paper 470 173 483 176 0.217486 0.558349 BG
paper 374 116 377 130 0.19005 0.643840 BG
paper 195 146 230 152 0.190034 0.705601 BG
paper 401 130 470 154 0.189716 0.589094 BG
paper 8 416 15 440 0.184782 0.259984 BG
paper 406 130 464 134 0.184663 0.607952 BG
paper 433 69 512 95 0.183467 0.505979 BG
paper 367 110 435 130 0.172915 0.589785 BG
paper 354 130 387 132 0.162292 0.704166 BG
paper 194 125 289 134 0.161781 0.649981 BG
paper 490 153 498 155 0.151418 0.698225 BG
paper 348 130 401 150 0.14153 0.684892 BG
paper 219 165 240 167 0.132908 0.773245 BG
paper 331 310 369 320 0.128387 0.782840 BG
paper 358 293 367 303 0.127921 0.676681 BG
paper 427 153 493 176 0.119798 0.644801 BG
paper 1 189 6 194 0.107384 0.611213 BG
paper 572 193 590 202 0.106672 0.344896 BG
paper 108 111 140 130 0.103474 0.813564 BG
box 81 304 102 314 0.729547 0.244539 BG
box 81 305 132 319 0.713868 0.274593 BG
box 100 304 111 308 0.637053 0.313226 BG
box 55 292 105 311 0.620178 0.285835 BG
box 205 311 216 318 0.486675 0.384162 BG
box 197 315 208 319 0.455559 0.446914 BG
box 75 281 134 313 0.385476 0.576247 BG
box 84 311 91 314 0.350081 0.611659 BG
box 54 151 59 185 0.290748 0.250486 BG
box 329 333 364 354 0.25439 0.735098 BG
box 44 148 54 184 0.239743 0.234835 BG
box 8 415 16 439 0.189494 0.259984 BG
box 572 192 589 202 0.177287 0.344896 BG
box 59 281 230 330 0.176172 0.796791 BG
box 294 310 364 353 0.169093 0.786839 BG
box 21 149 53 186 0.162495 0.418545 BG
box 28 263 92 306 0.146135 0.803370 BG
box 7 433 12 440 0.144477 0.276783 BG
box 525 199 588 209 0.141535 0.741444 BG
box 356 322 404 359 0.137125 0.857190 BG
box 34 1 45 13 0.13434 0.363283 BG
box 129 5 137 15 0.11418 0.396735 BG
box 328 319 346 324 0.106865 0.756429 BG
box 463 91 468 101 0.106194 0.330298 BG
box 1 220 9 231 0.105795 0.267162 BG
box 203 324 207 329 0.104054 0.782571 BG
bag 451 326 477 377 0.111828 0.727319 BG
garbage_bin 433 193 439 195 0.409754 0.535496 BG
garbage_bin 438 200 518 386 0.2638 0.653021 BG
garbage_bin 216 12 344 123 0.207835 0.623316 tv
garbage_bin 436 197 461 216 0.181356 0.765896 BG
garbage_bin 505 201 582 409 0.171816 0.341530 table
garbage_bin 426 189 431 190 0.16932 0.791785 BG
garbage_bin 438 214 449 217 0.147089 0.831063 BG
garbage_bin 418 173 432 183 0.144933 0.775010 BG
garbage_bin 458 250 517 302 0.12896 0.738931 BG
