bed 227 87 574 435 0.446276 0.206040 bed&&plastic_bag&&clothes
chair 340 130 423 428 0.14424 0.799952 BG
sofa 206 80 393 420 0.283913 0.394851 BG
sofa 1 52 224 216 0.186014 0.755291 BG
picture 199 1 255 36 0.948763 0.039733 BG
picture 238 0 249 31 0.841542 0.140697 BG
picture 454 1 483 5 0.689598 0.303448 BG
picture 320 0 485 34 0.61671 0.368424 painting&&picture
picture 437 1 483 13 0.541353 0.450617 BG
picture 71 26 149 102 0.463162 0.249972 BG
picture 194 1 201 29 0.370068 0.590457 BG
picture 227 28 240 33 0.126599 0.850039 BG
picture 81 85 147 101 0.121723 0.807712 BG
picture 205 28 234 36 0.116866 0.859323 BG
picture 109 55 131 94 0.116356 0.710739 BG
picture 428 0 443 15 0.108074 0.886804 BG
picture 116 2 236 32 0.106865 0.886026 poster&&picture
pillow 244 161 386 253 0.499742 0.459596 BG
pillow 285 167 344 209 0.186435 0.811388 BG
pillow 79 30 101 56 0.180511 0.660662 BG
pillow 70 30 125 86 0.151455 0.439383 BG
pillow 318 175 398 301 0.109284 0.829087 BG
clothes 210 114 576 382 0.658636 0.207553 bed&&clothes
clothes 522 156 587 290 0.450601 0.457006 BG
clothes 258 93 396 177 0.359408 0.394664 BG
clothes 445 150 566 303 0.342199 0.604029 BG
clothes 266 89 329 143 0.301152 0.335856 BG
clothes 172 141 238 366 0.222946 0.605171 BG
clothes 313 103 399 143 0.217397 0.655608 BG
clothes 342 121 568 216 0.203165 0.764250 BG
clothes 550 204 590 255 0.189762 0.718285 BG
clothes 462 181 479 193 0.172534 0.799430 BG
clothes 173 169 189 201 0.168308 0.788659 BG
clothes 555 180 589 222 0.16273 0.794633 BG
clothes 463 153 549 189 0.150336 0.790869 BG
clothes 267 190 413 288 0.142033 0.739268 BG
clothes 233 167 345 357 0.133535 0.652472 BG
clothes 174 155 221 229 0.126321 0.788499 BG
clothes 321 417 342 439 0.122808 0.290430 BG
clothes 451 179 471 196 0.119534 0.835459 BG
clothes 54 289 208 423 0.117964 0.684426 bag
clothes 462 180 470 185 0.109804 0.863712 BG
paper 0 53 3 54 0.233082 0.618384 BG
paper 196 288 215 293 0.149282 0.624618 BG
paper 354 281 372 291 0.134197 0.845618 BG
paper 110 56 132 93 0.113439 0.710739 BG
paper 367 288 382 295 0.105506 0.876067 BG
towel 72 28 122 95 0.166755 0.333155 BG
towel 322 418 340 434 0.139476 0.396469 BG
box 192 240 225 264 0.240588 0.743314 BG
box 173 251 215 309 0.172838 0.740695 BG
box 189 260 214 287 0.167327 0.759383 BG
person 326 433 342 440 0.137005 0.416831 BG
person 324 388 342 440 0.124307 0.533267 BG
person 328 397 333 403 0.123567 0.677220 BG
bag 257 89 332 149 0.334727 0.321503 BG
bag 435 177 439 179 0.131083 0.686468 BG
bag 74 29 134 92 0.104189 0.225733 BG
bag 322 418 341 440 0.100155 0.290430 BG
bag 316 434 341 440 0.100096 0.382775 BG
garbage_bin 175 270 229 372 0.418406 0.388687 BG
garbage_bin 197 290 347 421 0.16959 0.719373 bag
garbage_bin 15 380 55 406 0.108463 0.876613 BG
