bed 178 202 590 430 0.236552 0.369038 saucer_chair&&clothes
chair 398 328 589 435 0.594741 0.330519 BG
chair 572 283 590 322 0.187324 0.521121 BG
chair 240 431 256 440 0.118478 0.512819 BG
table 152 248 590 433 0.180767 0.364926 clothes
table 320 341 572 434 0.153582 0.560956 BG
picture 511 22 548 61 0.846276 0.101738 BG
picture 452 82 479 130 0.716501 0.250984 BG
picture 281 1 326 26 0.660207 0.080629 BG
picture 511 88 545 128 0.589733 0.168039 BG
picture 399 65 481 132 0.43959 0.452033 BG
picture 3 2 24 44 0.366564 0.287617 BG
picture 483 54 540 130 0.12819 0.822378 BG
picture 0 302 52 436 0.117713 0.580309 BG
pillow 144 302 285 350 0.214626 0.453121 BG
pillow 207 320 214 331 0.105253 0.882346 BG
clothes 66 225 329 430 0.852152 0.091686 saucer_chair
clothes 179 304 304 413 0.717612 0.169081 BG
clothes 75 253 242 329 0.402291 0.508900 BG
clothes 322 331 379 440 0.297911 0.380173 BG
clothes 332 217 458 440 0.268548 0.604112 BG
clothes 100 322 207 420 0.213926 0.726174 BG
clothes 401 181 569 407 0.201867 0.386526 BG
clothes 207 358 276 393 0.200858 0.660862 BG
clothes 160 224 224 315 0.157601 0.771425 BG
clothes 146 293 218 335 0.150242 0.716979 BG
clothes 245 294 401 433 0.134687 0.740545 BG
clothes 135 284 208 308 0.133544 0.795851 BG
clothes 339 235 389 285 0.131178 0.678728 BG
clothes 77 231 160 283 0.12635 0.658618 BG
clothes 212 377 250 393 0.112584 0.813582 BG
clothes 125 239 156 267 0.111584 0.766715 BG
clothes 499 426 507 440 0.105877 0.798876 BG
clothes 73 289 131 435 0.104275 0.735757 BG
clothes 335 252 399 341 0.104207 0.616104 BG
clothes 271 313 344 399 0.102047 0.769433 BG
fridge 500 86 545 151 0.165777 0.243367 BG
paper 105 59 130 88 0.229078 0.584628 BG
paper 578 429 590 437 0.227143 0.399953 BG
paper 282 0 328 27 0.223905 0.080629 BG
paper 578 429 581 432 0.210337 0.429021 BG
paper 563 424 577 429 0.184411 0.703551 BG
paper 116 75 130 97 0.150458 0.767013 BG
towel 169 316 268 436 0.246772 0.213277 BG
towel 197 358 266 383 0.14706 0.644087 BG
towel 2 93 31 201 0.139982 0.441195 BG
towel 45 322 85 429 0.102147 0.759730 BG
box 105 52 131 129 0.279081 0.495595 BG
box 510 111 542 127 0.243045 0.573683 BG
box 578 429 590 437 0.129257 0.399953 BG
box 578 429 582 432 0.127769 0.429021 BG
box 504 87 546 137 0.108186 0.152964 BG
person 353 431 362 440 0.175782 0.649509 BG
person 287 422 331 440 0.149066 0.699951 BG
person 334 248 399 346 0.106772 0.616104 BG
person 149 383 161 395 0.103317 0.837404 BG
lamp 573 282 590 365 0.123321 0.699821 BG
bag 321 343 373 439 0.266625 0.380173 BG
bag 168 296 281 440 0.224414 0.138761 BG
bag 66 231 159 276 0.216399 0.624622 BG
bag 362 235 412 284 0.1881 0.658941 BG
bag 358 396 367 407 0.169331 0.695754 BG
bag 250 314 390 440 0.160573 0.508293 BG
bag 61 238 165 440 0.153712 0.178763 BG
bag 334 237 431 340 0.152759 0.526683 BG
bag 111 351 176 413 0.149254 0.666442 BG
bag 305 333 331 384 0.147079 0.740704 BG
bag 96 229 404 440 0.130062 0.322706 saucer_chair
bag 202 377 269 440 0.123878 0.701138 BG
bag 125 240 144 265 0.11903 0.741525 BG
bag 98 270 189 312 0.112131 0.668996 BG
bag 362 238 390 257 0.111909 0.794752 BG
bag 298 234 577 440 0.108254 0.420958 saucer_chair
bag 320 289 456 398 0.103352 0.765641 BG
bag 506 434 510 440 0.100459 0.722468 BG
garbage_bin 435 399 455 408 0.146516 0.818992 BG
garbage_bin 197 399 220 438 0.109213 0.628047 BG
