cabinet 389 95 590 408 0.108766 0.616031 cabinet&&clothes
bed 0 233 241 437 0.867391 0.108991 bed&&lamp
bed 88 232 293 283 0.254374 0.654503 pillow
bed 159 204 384 438 0.182756 0.408173 clothes&&bed
bed 184 205 271 364 0.115455 0.797045 BG
chair 408 321 511 413 0.329113 0.449321 basket
chair 131 430 142 440 0.128933 0.179699 BG
chair 507 417 590 439 0.114043 0.400371 floor
sofa 0 254 178 440 0.169996 0.423166 bed
table 379 317 579 428 0.899585 0.053804 BG
door 2 3 27 239 0.203505 0.463698 BG
picture 473 75 475 79 0.110169 0.704159 BG
desk 302 323 580 429 0.195477 0.160461 BG
pillow 200 207 298 263 0.537632 0.410053 clothes
pillow 1 238 111 322 0.514766 0.407085 pillow
pillow 2 323 26 333 0.325362 0.674104 BG
pillow 49 289 120 317 0.251179 0.747942 BG
pillow 77 311 93 315 0.245819 0.753464 BG
pillow 221 223 238 232 0.222712 0.772551 BG
pillow 54 313 77 320 0.206959 0.792501 BG
pillow 13 300 160 416 0.205502 0.584801 BG
pillow 45 309 94 323 0.180773 0.818811 BG
pillow 5 303 105 333 0.16404 0.835833 BG
pillow 254 206 312 242 0.160792 0.672929 BG
pillow 212 205 273 233 0.153932 0.830118 BG
clothes 182 295 394 435 0.599428 0.252934 BG
clothes 383 152 571 348 0.544731 0.310679 BG
clothes 133 294 245 432 0.411521 0.471947 clothes
clothes 498 105 587 321 0.363107 0.471410 BG
clothes 252 242 360 387 0.335196 0.502420 BG
clothes 167 310 241 369 0.32315 0.604916 BG
clothes 318 358 396 412 0.282056 0.346355 BG
clothes 473 129 533 266 0.232435 0.605401 BG
clothes 509 133 522 245 0.222032 0.643826 BG
clothes 505 254 586 335 0.192633 0.515256 BG
clothes 177 320 195 371 0.175157 0.792630 BG
clothes 481 235 520 269 0.174676 0.641047 BG
clothes 191 365 236 415 0.168874 0.736691 BG
clothes 141 306 197 369 0.159478 0.809124 BG
clothes 196 281 281 396 0.15208 0.767737 BG
clothes 525 195 535 197 0.145554 0.751407 BG
clothes 426 116 497 279 0.141711 0.742960 BG
clothes 259 319 303 387 0.137725 0.604228 BG
clothes 290 403 344 440 0.132382 0.293747 BG
clothes 290 422 305 440 0.128402 0.513397 BG
clothes 458 219 500 266 0.122074 0.703488 BG
clothes 335 356 364 389 0.119802 0.710160 BG
clothes 525 198 566 277 0.115271 0.780840 BG
clothes 9 299 205 433 0.115027 0.220557 bed
clothes 506 270 551 311 0.106373 0.783149 BG
clothes 423 150 454 321 0.105697 0.844447 BG
clothes 220 329 243 349 0.103322 0.844593 BG
clothes 379 259 416 332 0.102852 0.747500 BG
clothes 515 119 544 251 0.102189 0.819681 BG
clothes 243 345 252 352 0.101421 0.849956 BG
clothes 170 314 190 338 0.10028 0.891462 BG
paper 562 418 566 418 0.240655 0.340564 BG
paper 350 354 364 364 0.19343 0.695736 BG
paper 585 126 590 159 0.193284 0.227149 BG
paper 588 342 590 343 0.178353 0.364758 BG
paper 585 351 590 358 0.167384 0.375310 BG
paper 381 363 383 366 0.150131 0.772881 BG
paper 332 364 398 387 0.13868 0.620079 clothes
paper 581 342 590 351 0.136929 0.490520 BG
paper 31 239 31 241 0.136878 0.382764 BG
paper 513 417 590 440 0.122141 0.440750 floor
paper 588 397 590 399 0.1137 0.340331 BG
paper 383 369 392 377 0.10585 0.817064 BG
towel 459 131 477 320 0.117594 0.703779 BG
towel 458 119 529 314 0.114423 0.664534 BG
towel 519 123 587 277 0.105374 0.487302 BG
towel 379 249 407 327 0.101556 0.801782 BG
towel 0 349 137 438 0.101135 0.592200 BG
box 587 341 590 342 0.211914 0.364758 BG
box 416 84 422 93 0.208733 0.774230 BG
box 450 268 515 327 0.190003 0.668088 BG
box 562 417 567 418 0.187064 0.340564 BG
box 198 304 201 308 0.182121 0.656288 BG
box 560 254 565 256 0.17875 0.555469 BG
box 441 71 481 95 0.176665 0.773363 BG
box 585 126 590 158 0.158319 0.227149 BG
box 504 311 510 313 0.154716 0.700788 BG
box 580 341 590 350 0.154283 0.490520 BG
box 585 250 590 268 0.153017 0.398020 BG
box 448 90 466 96 0.137617 0.823598 BG
box 472 75 475 79 0.134864 0.704159 BG
box 584 350 590 357 0.116271 0.375310 BG
box 577 281 590 298 0.114275 0.543332 BG
box 417 101 423 127 0.107217 0.885974 BG
box 467 271 474 286 0.10127 0.530025 BG
person 291 416 349 440 0.505943 0.158980 BG
person 291 428 303 440 0.288535 0.451351 BG
person 284 338 301 383 0.263126 0.530423 BG
person 267 319 310 406 0.183543 0.517468 BG
person 467 217 498 274 0.15747 0.668074 BG
person 565 293 590 337 0.15635 0.684903 BG
person 310 403 396 440 0.14245 0.673576 floor
person 280 434 290 440 0.140875 0.321744 BG
person 338 424 350 440 0.140308 0.411876 BG
person 485 232 508 275 0.107837 0.682401 BG
person 273 371 291 377 0.107456 0.792794 BG
person 577 295 590 320 0.103598 0.602458 BG
lamp 167 51 254 217 0.85252 0.130882 lamp
lamp 194 121 221 221 0.166243 0.770634 BG
bag 275 409 340 440 0.270562 0.329034 BG
bag 318 352 396 410 0.232635 0.289812 BG
bag 469 118 586 271 0.191496 0.491805 BG
bag 290 423 304 440 0.156498 0.513397 BG
bag 258 327 302 379 0.138639 0.604228 BG
bag 512 210 585 345 0.119056 0.502481 BG
bag 480 141 523 254 0.116453 0.680709 BG
bag 182 308 335 439 0.110539 0.368810 BG
bag 557 241 565 254 0.10142 0.632036 BG
bag 279 409 291 440 0.101055 0.782051 BG
garbage_bin 399 354 419 413 0.356285 0.566965 BG
garbage_bin 395 340 432 371 0.12271 0.689376 BG
garbage_bin 584 127 590 159 0.108095 0.227149 BG
garbage_bin 410 381 418 399 0.10614 0.731554 BG
