bed 494 207 590 329 0.223138 0.522317 sofa
chair 83 193 155 296 0.915128 0.073525 chair
chair 0 195 46 320 0.862457 0.110208 chair
chair 207 132 333 281 0.812982 0.138157 BG
chair 365 214 434 287 0.461141 0.389674 BG
chair 207 194 284 263 0.293853 0.668751 BG
chair 125 186 157 264 0.253151 0.742445 BG
chair 408 226 428 231 0.105443 0.889448 BG
sofa 407 215 577 361 0.763919 0.099314 BG
sofa 488 236 590 269 0.322423 0.572386 BG
sofa 358 217 400 249 0.10424 0.578101 BG
table 206 179 336 281 0.467358 0.234695 BG
table 50 212 150 300 0.212553 0.433931 chair
table 372 227 546 293 0.163314 0.294422 BG
door 348 4 383 253 0.271505 0.535625 BG
door 367 6 426 237 0.21091 0.550885 BG
door 347 66 359 240 0.148469 0.625656 BG
picture 0 65 39 136 0.909756 0.087025 BG
picture 373 128 416 216 0.387356 0.489847 BG
picture 0 114 19 135 0.265638 0.730559 BG
blinds 378 7 462 213 0.152214 0.617741 BG
pillow 542 211 586 256 0.837408 0.094675 BG
pillow 544 239 557 248 0.212434 0.778508 BG
pillow 526 242 544 256 0.161013 0.826904 BG
pillow 486 258 590 302 0.154313 0.517558 BG
pillow 496 261 586 271 0.144159 0.676086 BG
pillow 505 244 584 262 0.14393 0.742513 BG
pillow 552 249 563 257 0.140924 0.845888 BG
pillow 563 208 573 212 0.127902 0.743302 BG
pillow 550 285 589 310 0.10259 0.680630 BG
mirror 359 2 373 241 0.128774 0.545943 BG
mirror 363 3 426 252 0.109835 0.550885 BG
clothes 489 263 590 311 0.138391 0.508938 BG
paper 325 173 331 185 0.188194 0.606051 BG
paper 576 363 590 382 0.102311 0.384934 BG
box 373 228 497 292 0.203597 0.284067 sofa_chair
box 319 6 321 7 0.156678 0.536259 BG
lamp 476 158 519 212 0.956098 0.043586 BG
lamp 476 173 520 183 0.877784 0.122176 BG
lamp 466 135 496 237 0.670471 0.327088 BG
lamp 449 122 574 256 0.616979 0.374303 BG
lamp 465 136 478 205 0.459014 0.516152 BG
lamp 495 185 501 234 0.319694 0.679042 BG
lamp 479 145 493 156 0.290334 0.682229 BG
lamp 496 186 516 245 0.258192 0.740112 BG
lamp 478 186 504 241 0.243582 0.755414 lamp
lamp 464 160 466 195 0.168191 0.734456 BG
lamp 384 134 508 292 0.142032 0.827006 BG
lamp 368 221 398 232 0.122458 0.552746 BG
lamp 480 13 585 190 0.119406 0.723246 BG
garbage_bin 349 216 381 262 0.204397 0.675126 BG
garbage_bin 337 238 368 259 0.157894 0.798971 BG
garbage_bin 346 158 356 252 0.121803 0.752199 BG
garbage_bin 335 185 345 241 0.101735 0.772498 BG
