bed 8 217 170 432 0.218633 0.716203 ottoman
chair 7 186 74 230 0.749771 0.231479 BG
chair 106 189 182 294 0.742901 0.227547 BG
chair 99 244 185 275 0.486992 0.438025 BG
chair 3 185 24 230 0.480202 0.516477 BG
chair 123 182 178 222 0.437616 0.551321 BG
chair 25 195 42 227 0.379354 0.613638 BG
chair 45 188 100 246 0.372319 0.502695 BG
chair 1 190 5 229 0.268573 0.729708 BG
chair 92 206 183 237 0.267721 0.655411 BG
chair 26 198 36 207 0.263026 0.735963 BG
chair 175 216 179 221 0.261522 0.716458 BG
chair 180 191 191 221 0.229048 0.767813 BG
chair 97 183 139 222 0.226032 0.767514 BG
chair 6 204 15 216 0.217501 0.781354 BG
chair 163 216 172 221 0.207561 0.779740 BG
chair 142 206 171 219 0.206972 0.780407 BG
chair 174 206 181 213 0.206158 0.788548 BG
chair 32 209 76 223 0.199078 0.785104 BG
chair 189 197 198 217 0.198364 0.796676 BG
chair 184 190 216 221 0.192807 0.788772 BG
chair 164 212 173 217 0.166168 0.828931 BG
chair 163 181 189 221 0.163828 0.833170 BG
chair 79 204 108 238 0.157579 0.689588 BG
chair 372 201 585 435 0.151465 0.325181 floor
chair 214 191 220 215 0.150786 0.827530 BG
chair 99 239 146 258 0.135648 0.754178 BG
chair 176 194 186 208 0.135058 0.863793 BG
chair 132 216 182 232 0.119669 0.749792 BG
chair 109 228 184 245 0.115695 0.566834 BG
chair 562 426 569 431 0.113158 0.502052 BG
chair 168 266 181 285 0.109508 0.818516 BG
chair 73 202 90 233 0.105973 0.858784 BG
chair 92 190 94 196 0.10326 0.894829 BG
chair 372 264 437 324 0.101834 0.790251 BG
sofa 27 219 240 404 0.235473 0.707273 sofa
sofa 139 195 383 340 0.186187 0.787641 sofa_chair
sofa 372 219 516 311 0.133936 0.268805 BG
sofa 0 277 171 345 0.11879 0.803855 BG
sofa 96 218 188 246 0.111824 0.521648 BG
sofa 106 227 185 292 0.111513 0.357618 BG
table 173 241 393 440 0.975084 0.007050 endtable&&sofa_chair
table 301 208 581 440 0.595262 0.376135 floor
table 38 192 109 246 0.110433 0.502695 BG
picture 36 109 103 166 0.995365 0.004145 picture
picture 337 1 371 11 0.183201 0.261580 BG
desk 155 234 421 440 0.124758 0.268878 endtable&&sofa_chair
pillow 330 237 366 269 0.100133 0.758068 BG
paper 186 292 188 295 0.23857 0.669743 BG
paper 365 219 368 225 0.228966 0.390968 BG
paper 442 374 476 440 0.191653 0.341811 BG
paper 479 392 521 440 0.161822 0.422253 BG
paper 464 258 477 268 0.149791 0.177086 BG
paper 583 411 587 415 0.141592 0.280309 BG
paper 418 349 506 439 0.1391 0.679263 BG
paper 282 402 305 409 0.138185 0.675961 BG
paper 511 416 528 432 0.135937 0.423032 BG
paper 100 220 112 227 0.13568 0.367587 BG
paper 403 229 407 230 0.134979 0.236780 BG
paper 89 218 108 240 0.1326 0.377492 BG
paper 465 429 467 430 0.128231 0.350911 BG
paper 4 358 7 360 0.121782 0.261030 BG
paper 109 226 116 234 0.107497 0.502838 BG
paper 383 221 395 225 0.10531 0.424948 BG
box 331 224 349 241 0.262668 0.613172 BG
box 340 215 353 230 0.214283 0.691233 BG
box 441 369 476 439 0.163404 0.341811 BG
box 365 219 368 225 0.1603 0.390968 BG
box 371 240 380 246 0.146441 0.451675 BG
box 331 232 337 251 0.142306 0.714283 BG
box 351 215 383 242 0.137417 0.296116 BG
box 360 214 505 316 0.112982 0.139830 BG
box 99 220 110 227 0.107847 0.502275 BG
box 583 410 587 415 0.107409 0.280309 BG
box 256 212 259 214 0.103625 0.602618 BG
box 464 428 466 430 0.100434 0.350911 BG
lamp 268 132 353 253 0.967305 0.031980 lamp
lamp 337 186 339 198 0.593281 0.406633 BG
lamp 243 153 272 191 0.537127 0.444238 BG
lamp 258 173 271 201 0.515591 0.478745 BG
lamp 300 179 341 291 0.4464 0.543675 BG
lamp 258 177 260 197 0.423435 0.565313 BG
lamp 338 184 353 230 0.35087 0.642049 BG
lamp 256 176 262 212 0.298817 0.682116 BG
lamp 278 39 354 190 0.196679 0.774126 BG
lamp 203 152 315 253 0.137911 0.860577 BG
lamp 323 181 362 277 0.135744 0.861544 BG
lamp 219 172 263 215 0.132924 0.850351 BG
lamp 465 257 476 269 0.124135 0.177086 BG
lamp 351 213 381 243 0.117218 0.296116 BG
lamp 404 228 406 231 0.113689 0.236780 BG
lamp 340 179 496 304 0.107798 0.724365 BG
garbage_bin 129 323 138 327 0.327613 0.638088 BG
garbage_bin 131 313 169 327 0.173033 0.771367 BG
garbage_bin 144 321 168 349 0.170732 0.803159 BG
garbage_bin 368 254 368 258 0.152896 0.770304 BG
garbage_bin 142 343 159 349 0.149709 0.840298 BG
garbage_bin 350 217 402 244 0.124425 0.253902 BG
garbage_bin 144 348 157 366 0.121652 0.825620 BG
garbage_bin 582 410 587 415 0.117916 0.280309 BG
garbage_bin 367 243 369 244 0.116175 0.762159 BG
garbage_bin 288 399 304 402 0.103237 0.614436 BG
garbage_bin 370 240 381 247 0.102943 0.451675 BG
