bed 0 246 267 434 0.990268 0.007386 bed&&pants
chair 3 412 11 421 0.214281 0.722090 BG
chair 0 398 46 440 0.20597 0.305893 BG
chair 256 347 504 438 0.147763 0.354048 BG
chair 477 434 523 440 0.128475 0.762354 BG
sofa 0 395 46 439 0.132703 0.305893 BG
table 281 318 576 440 0.300815 0.496126 desk
table 237 416 513 440 0.105643 0.666450 BG
picture 518 114 574 170 0.528682 0.334641 BG
picture 386 280 486 326 0.359245 0.301173 BG
picture 536 235 577 283 0.348318 0.284392 BG
picture 521 224 587 361 0.205087 0.679080 BG
picture 536 131 566 155 0.204757 0.754419 BG
picture 315 163 493 226 0.197111 0.562249 BG
picture 406 285 438 329 0.192225 0.576601 BG
picture 571 304 590 321 0.180236 0.725149 BG
picture 586 288 590 319 0.142852 0.426314 BG
picture 543 301 590 346 0.120114 0.822347 BG
picture 437 287 460 328 0.114993 0.447493 BG
picture 387 285 406 327 0.109923 0.714854 BG
picture 192 42 211 61 0.103953 0.625399 BG
desk 275 336 566 439 0.834664 0.075778 desk&&chair
pillow 4 344 124 390 0.498355 0.436375 BG
pillow 30 247 109 292 0.359317 0.616219 BG
pillow 1 357 47 440 0.164558 0.568795 BG
mirror 353 279 461 335 0.158754 0.388407 BG
mirror 301 224 501 340 0.106802 0.839384 window_glass
clothes 6 374 226 437 0.161744 0.490787 BG
tv 383 282 471 351 0.610257 0.171398 laptop
tv 436 287 451 332 0.438858 0.400701 BG
tv 385 308 392 327 0.149303 0.779737 BG
tv 386 288 406 330 0.106884 0.714854 BG
paper 367 357 465 383 0.551521 0.382235 BG
paper 385 156 435 208 0.490352 0.463173 BG
paper 310 158 414 210 0.342425 0.543315 BG
paper 367 354 415 366 0.314783 0.668993 BG
paper 379 354 393 362 0.286466 0.705415 BG
paper 381 354 466 363 0.278617 0.657282 BG
paper 535 232 580 286 0.257934 0.284392 BG
paper 389 356 416 362 0.205435 0.769283 BG
paper 560 286 586 309 0.193114 0.456410 BG
paper 364 362 374 368 0.192713 0.783809 BG
paper 469 351 473 357 0.186603 0.577924 BG
paper 586 289 590 318 0.182472 0.426314 BG
paper 454 365 461 374 0.177489 0.667291 BG
paper 423 156 483 205 0.167303 0.711938 BG
paper 386 377 443 383 0.164208 0.760572 BG
paper 141 177 150 183 0.15876 0.633455 BG
paper 143 174 159 200 0.149353 0.617059 BG
paper 143 190 151 200 0.143685 0.684945 BG
paper 99 90 108 100 0.139097 0.619088 BG
paper 372 387 384 391 0.135511 0.778768 BG
paper 474 353 485 358 0.127648 0.787194 BG
paper 98 149 106 166 0.118444 0.453170 BG
paper 584 356 590 359 0.117558 0.446035 BG
paper 99 182 107 191 0.115991 0.485528 BG
paper 188 62 198 71 0.11521 0.471918 BG
paper 172 193 179 212 0.111905 0.722266 BG
paper 140 160 151 165 0.111781 0.654820 BG
paper 156 182 163 195 0.111475 0.692659 BG
paper 575 69 585 73 0.107811 0.337224 BG
paper 100 166 106 175 0.105303 0.513657 BG
paper 204 64 213 92 0.105104 0.509474 BG
towel 190 77 196 88 0.122928 0.547955 BG
towel 205 64 212 93 0.117238 0.509474 BG
towel 205 97 212 106 0.117216 0.521147 BG
towel 189 62 197 72 0.116536 0.471918 BG
towel 204 109 209 120 0.108764 0.542059 BG
towel 204 118 204 120 0.100401 0.599956 BG
box 307 325 311 331 0.264095 0.567391 BG
box 544 224 588 288 0.237529 0.219086 BG
box 467 342 473 355 0.190126 0.639064 BG
box 559 285 586 309 0.153965 0.456410 BG
box 272 211 279 226 0.124897 0.386360 BG
whiteboard 308 164 573 300 0.115277 0.758411 BG
night_stand 258 348 368 422 0.195086 0.612626 BG
lamp 537 218 590 230 0.110863 0.722974 BG
bag 0 383 91 440 0.101389 0.497475 BG
