cabinet 28 51 325 440 0.32591 0.529072 fume_hood
chair 89 296 411 436 0.975184 0.018545 chair
chair 587 219 590 229 0.24824 0.554340 BG
chair 223 421 235 431 0.163693 0.648236 BG
chair 142 430 150 440 0.111799 0.197322 BG
chair 151 437 156 440 0.104491 0.182350 BG
sofa 0 91 2 94 0.1642 0.508187 BG
sofa 0 94 5 106 0.136377 0.474508 BG
door 411 0 487 149 0.202654 0.344097 door
picture 286 0 355 134 0.442035 0.397272 BG
picture 180 2 343 100 0.142717 0.763482 BG
picture 288 56 312 130 0.121474 0.783897 BG
counter 13 128 398 433 0.193561 0.370628 BG
desk 9 147 423 424 0.246629 0.370628 BG
pillow 295 432 297 434 0.135086 0.828042 BG
mirror 199 0 387 163 0.330155 0.132520 BG
tv 303 0 319 9 0.281562 0.549015 BG
tv 215 10 368 164 0.178101 0.132520 BG
paper 1 400 31 440 0.246064 0.179002 BG
paper 360 177 417 193 0.231398 0.767792 BG
paper 60 404 79 440 0.195969 0.194528 BG
paper 91 312 152 439 0.18348 0.603618 BG
paper 3 105 33 175 0.180536 0.385653 BG
paper 340 147 344 154 0.170514 0.276578 BG
paper 6 118 54 227 0.169866 0.503437 BG
paper 33 371 63 400 0.169233 0.520663 BG
paper 357 138 358 140 0.162091 0.411230 BG
paper 108 352 138 408 0.159569 0.613136 BG
paper 20 147 92 316 0.154206 0.474160 BG
paper 17 147 25 158 0.144682 0.583133 BG
paper 337 136 346 145 0.140949 0.424531 BG
paper 346 125 366 139 0.128693 0.543245 BG
paper 351 132 359 140 0.121532 0.596743 BG
paper 345 148 353 170 0.12013 0.626290 BG
paper 173 130 175 132 0.12006 0.726123 BG
paper 345 291 351 301 0.116307 0.681889 BG
paper 1 109 152 440 0.111473 0.562208 BG
paper 24 158 33 175 0.11114 0.712866 BG
paper 5 116 21 149 0.110548 0.640288 BG
paper 346 132 350 137 0.110192 0.587429 BG
paper 104 345 110 349 0.10978 0.788923 BG
paper 30 175 53 224 0.109569 0.742657 BG
paper 59 118 62 123 0.10893 0.483143 BG
paper 73 273 93 312 0.104954 0.644464 BG
paper 22 144 23 147 0.103319 0.670875 BG
paper 23 148 28 158 0.10153 0.693453 BG
towel 52 222 94 316 0.153366 0.615815 BG
towel 0 94 21 149 0.134646 0.359160 BG
towel 7 101 179 439 0.131195 0.552364 BG
towel 20 143 93 314 0.120036 0.474160 BG
towel 73 272 94 312 0.119508 0.644464 BG
towel 8 121 19 144 0.109016 0.675419 BG
towel 2 103 8 116 0.10699 0.542611 BG
towel 7 105 33 175 0.104123 0.552239 BG
towel 55 232 78 274 0.103531 0.755887 BG
box 413 246 483 346 0.542545 0.412207 BG
box 339 147 344 154 0.424932 0.276578 BG
box 337 136 346 145 0.349539 0.424531 BG
box 357 138 358 139 0.276506 0.411230 BG
box 352 108 381 138 0.242282 0.569404 BG
box 413 321 431 340 0.222217 0.731649 BG
box 346 131 349 137 0.214052 0.587429 BG
box 132 407 144 425 0.21112 0.572904 BG
box 346 124 365 139 0.209998 0.543245 BG
box 335 78 380 156 0.182596 0.628793 BG
box 350 131 358 139 0.176507 0.596743 BG
box 359 124 366 132 0.156922 0.620568 BG
box 343 125 346 127 0.133374 0.749220 BG
box 329 131 349 155 0.124601 0.752451 BG
box 60 402 80 440 0.124106 0.194528 BG
box 137 197 313 290 0.118835 0.512203 BG
box 343 113 361 131 0.118746 0.710332 BG
box 345 147 353 169 0.118037 0.626290 BG
box 351 132 361 165 0.110079 0.747365 BG
box 318 144 345 157 0.105221 0.779416 BG
box 58 118 63 122 0.103982 0.483143 BG
box 332 88 361 119 0.101913 0.634034 BG
whiteboard 488 2 589 174 0.56649 0.264942 BG
whiteboard 422 0 490 178 0.329626 0.289461 door
person 332 79 345 88 0.137743 0.562365 BG
sink 279 175 500 367 0.152768 0.485101 drawer
sink 89 125 354 251 0.151712 0.745452 BG
sink 272 136 348 227 0.121166 0.736499 BG
lamp 370 91 428 167 0.145741 0.777806 jar
lamp 387 98 422 109 0.128596 0.749026 BG
garbage_bin 234 201 328 249 0.469822 0.410923 BG
garbage_bin 264 189 292 220 0.256113 0.657206 BG
garbage_bin 248 211 251 214 0.218406 0.739363 BG
garbage_bin 241 196 264 218 0.19686 0.746653 BG
garbage_bin 158 194 325 293 0.181258 0.512203 BG
garbage_bin 404 312 434 366 0.147564 0.743946 BG
garbage_bin 379 346 386 349 0.132401 0.815135 BG
garbage_bin 59 403 80 440 0.103464 0.194528 BG
