cabinet 1 40 154 305 0.204188 0.594952 curtain
bed 100 156 534 436 0.997374 0.001483 sofa
chair 57 184 170 273 0.647684 0.326984 BG
chair 39 203 187 440 0.241805 0.374567 BG
chair 1 251 65 440 0.21677 0.487954 saucer_chair
chair 503 168 590 319 0.138524 0.642063 BG
sofa 116 146 564 334 0.734037 0.250298 BG
sofa 33 185 190 439 0.238995 0.374567 BG
sofa 484 167 580 318 0.210214 0.628890 BG
sofa 0 331 60 432 0.121294 0.220381 saucer_chair
table 0 188 156 307 0.258657 0.426397 endtable
table 499 212 589 283 0.120466 0.427577 BG
door 560 153 560 158 0.108716 0.488219 BG
picture 3 169 59 205 0.846898 0.122913 picture
picture 73 172 101 201 0.362663 0.613682 BG
picture 74 116 107 211 0.324964 0.626381 BG
picture 42 180 52 202 0.310347 0.592354 BG
picture 73 174 97 181 0.268533 0.725190 BG
picture 517 1 523 4 0.226899 0.690874 BG
picture 2 168 47 179 0.165789 0.606282 BG
picture 5 11 62 216 0.129306 0.834772 BG
picture 46 173 54 190 0.127123 0.646134 BG
picture 500 1 523 8 0.121831 0.760951 BG
blinds 56 7 141 217 0.105004 0.862879 BG
desk 2 209 99 319 0.485896 0.383628 endtable
desk 498 212 584 286 0.141917 0.427577 BG
pillow 177 176 386 252 0.945927 0.053867 BG
pillow 383 159 500 254 0.869533 0.129919 pillow
pillow 280 172 334 253 0.851021 0.148626 BG
pillow 188 193 287 239 0.698713 0.296278 pillow
pillow 305 195 363 254 0.478017 0.513679 BG
pillow 438 205 486 242 0.434655 0.565222 BG
pillow 271 195 310 235 0.342738 0.639989 BG
pillow 190 228 226 243 0.240577 0.758394 BG
pillow 174 227 355 260 0.221397 0.778515 BG
pillow 309 230 334 256 0.207348 0.792065 BG
pillow 327 172 380 229 0.198955 0.781323 BG
pillow 206 193 229 196 0.182864 0.678026 BG
pillow 224 230 289 248 0.168346 0.831473 BG
pillow 191 236 235 253 0.163016 0.832415 BG
pillow 226 237 255 249 0.152446 0.844344 BG
pillow 136 198 289 289 0.150906 0.811520 BG
pillow 187 229 194 236 0.149354 0.849949 BG
pillow 208 189 241 197 0.149296 0.734278 BG
pillow 222 193 229 194 0.137249 0.666080 BG
pillow 177 229 197 256 0.102876 0.896701 BG
clothes 1 417 42 440 0.128066 0.415244 BG
clothes 3 271 59 440 0.106825 0.292059 saucer_chair
box 31 407 84 439 0.490209 0.330169 BG
box 43 413 47 420 0.396821 0.513012 BG
box 31 425 43 434 0.291384 0.631286 BG
box 568 202 578 212 0.22152 0.515872 BG
box 40 419 46 424 0.218787 0.731759 BG
box 57 256 58 262 0.196129 0.767408 BG
box 562 191 580 215 0.180525 0.562104 BG
box 553 222 588 271 0.133386 0.556416 BG
box 81 431 87 440 0.128294 0.255649 BG
box 1 184 56 219 0.118378 0.684572 picture
box 508 247 589 276 0.109592 0.532980 BG
box 558 182 563 196 0.101402 0.751965 BG
person 2 336 59 420 0.337183 0.436502 BG
person 0 412 41 440 0.215783 0.459506 BG
person 1 346 20 422 0.152774 0.685472 BG
person 26 428 34 440 0.127656 0.518542 BG
person 0 269 59 376 0.111915 0.631616 saucer_chair
person 34 340 61 367 0.101094 0.872955 BG
lamp 48 166 49 170 0.140522 0.740374 BG
lamp 20 167 50 176 0.119978 0.686048 BG
bathtub 208 110 257 119 0.112379 0.809075 BG
bag 0 419 39 440 0.16508 0.415244 BG
bag 0 342 59 440 0.13868 0.220381 BG
bag 207 430 219 437 0.100302 0.372436 BG
garbage_bin 253 195 255 196 0.129437 0.840110 BG
