sofa 238 143 590 440 0.64867 0.348652 sofa
table 2 263 302 440 0.975142 0.004740 table
desk 0 265 289 440 0.138662 0.064692 table
pillow 286 233 392 327 0.177699 0.814439 BG
pillow 564 181 569 194 0.176799 0.820466 BG
pillow 545 157 588 221 0.173242 0.782434 BG
pillow 532 175 559 187 0.150163 0.841092 BG
pillow 543 367 551 370 0.145363 0.704278 BG
pillow 534 361 546 369 0.144311 0.771052 BG
pillow 556 178 559 183 0.132647 0.860077 BG
pillow 566 182 573 189 0.131067 0.866225 BG
pillow 505 178 560 207 0.114621 0.882058 BG
pillow 531 360 533 363 0.10882 0.849481 BG
clothes 563 372 569 377 0.107803 0.339500 BG
paper 582 387 586 390 0.142772 0.362670 BG
paper 573 378 583 384 0.125128 0.314531 BG
paper 587 385 590 393 0.123108 0.357381 BG
paper 261 411 329 440 0.120583 0.382050 BG
paper 36 358 170 422 0.109936 0.674930 BG
paper 563 373 570 377 0.102887 0.339500 BG
paper 513 419 528 434 0.100001 0.508442 BG
box 17 307 36 322 0.109546 0.812641 BG
box 37 348 175 427 0.100228 0.674930 BG
sink 5 309 210 431 0.134507 0.669087 BG
lamp 509 9 515 18 0.237527 0.621143 BG
