cabinet 450 250 568 403 0.262215 0.558402 recycle_bin&&recycle_bin
chair 391 357 572 437 0.930909 0.066666 table&&chair
chair 446 355 482 440 0.521712 0.478055 BG
chair 412 333 460 439 0.265575 0.733665 BG
chair 482 364 540 437 0.141892 0.855728 BG
table 426 293 581 433 0.330656 0.498799 chair
table 499 408 590 440 0.275022 0.516923 BG
door 453 4 535 252 0.130956 0.709824 BG
picture 80 12 323 189 0.971491 0.024028 picture
picture 120 115 148 179 0.797554 0.198227 BG
picture 230 100 299 173 0.67167 0.315649 BG
picture 67 14 152 208 0.590791 0.398865 BG
picture 247 45 291 118 0.541612 0.395615 BG
picture 118 86 165 156 0.458328 0.479810 BG
picture 121 133 142 157 0.305013 0.686869 BG
picture 264 92 293 123 0.294281 0.606013 BG
picture 288 51 292 93 0.286957 0.536698 BG
picture 282 97 295 167 0.279119 0.696473 BG
picture 275 93 280 100 0.255274 0.687578 BG
picture 119 77 139 102 0.23282 0.624291 BG
picture 266 97 280 114 0.221258 0.726317 BG
picture 120 115 219 177 0.213993 0.769481 BG
picture 273 104 278 112 0.20621 0.740651 BG
picture 246 43 253 122 0.203026 0.697877 BG
picture 63 12 79 163 0.201695 0.596732 BG
picture 545 1 590 23 0.174859 0.470973 BG
picture 342 375 357 401 0.165243 0.322002 BG
picture 279 98 283 112 0.16068 0.652766 BG
picture 273 103 280 127 0.155744 0.812134 BG
picture 283 103 285 109 0.152621 0.631554 BG
picture 91 152 329 207 0.151613 0.790341 BG
picture 284 81 290 90 0.145245 0.697196 BG
picture 281 81 284 93 0.145142 0.738043 BG
picture 66 1 97 15 0.141073 0.744964 BG
picture 247 91 268 121 0.135595 0.844790 BG
picture 263 111 277 131 0.127332 0.855823 BG
picture 153 121 164 150 0.127146 0.765572 BG
picture 280 120 283 124 0.122561 0.827362 BG
picture 87 6 94 10 0.119959 0.818161 BG
picture 135 141 150 172 0.114458 0.884938 BG
picture 228 42 255 143 0.108546 0.859655 BG
picture 327 71 330 192 0.105251 0.720969 BG
picture 256 139 300 171 0.104852 0.892553 BG
picture 252 119 259 125 0.10315 0.882587 BG
counter 161 133 198 154 0.122008 0.738788 BG
mirror 62 13 85 222 0.113658 0.598336 BG
fridge 530 3 588 260 0.102315 0.402687 BG
paper 342 376 356 400 0.29584 0.322002 BG
paper 172 398 226 440 0.243859 0.137804 BG
paper 209 257 216 271 0.209567 0.127602 BG
paper 289 321 300 334 0.199995 0.079606 BG
paper 392 179 399 191 0.192152 0.056608 BG
paper 442 242 448 249 0.150362 0.808830 BG
paper 141 91 144 97 0.132626 0.584411 BG
paper 193 254 210 259 0.131333 0.468997 BG
paper 366 175 371 176 0.123191 0.088218 BG
paper 280 94 292 121 0.120806 0.610447 BG
paper 284 103 285 109 0.119789 0.631554 BG
paper 450 264 476 276 0.109505 0.590110 BG
paper 373 440 374 440 0.105646 0.509784 BG
paper 442 248 483 276 0.105484 0.626544 BG
paper 510 432 521 435 0.103843 0.695420 BG
paper 280 98 283 111 0.10326 0.652766 BG
box 444 313 449 317 0.369402 0.587642 BG
box 523 302 529 305 0.210152 0.743426 BG
box 439 293 527 360 0.168573 0.771575 BG
box 528 16 590 74 0.152893 0.398011 BG
box 445 305 454 315 0.141698 0.853282 BG
box 341 375 357 399 0.119457 0.322002 BG
box 544 2 590 23 0.110233 0.470973 BG
box 392 180 400 191 0.103604 0.056608 BG
box 526 79 586 304 0.103536 0.600515 BG
box 173 396 226 440 0.101554 0.137804 BG
person 138 116 146 132 0.228654 0.722645 BG
person 163 44 245 132 0.195663 0.704884 BG
person 139 132 147 145 0.155198 0.829468 BG
person 152 120 163 149 0.151464 0.759868 BG
person 147 126 154 139 0.134251 0.855336 BG
person 131 123 138 131 0.126034 0.832341 BG
person 121 88 160 148 0.116623 0.724115 BG
garbage_bin 365 175 372 177 0.205621 0.088218 BG
garbage_bin 451 262 474 277 0.168614 0.590110 BG
garbage_bin 581 318 590 371 0.166925 0.392035 BG
garbage_bin 513 281 589 358 0.157941 0.808231 BG
garbage_bin 551 304 570 326 0.1441 0.839119 BG
garbage_bin 170 397 226 440 0.101815 0.137804 BG
