cabinet 12 240 327 434 0.113459 0.429722 basket
bed 131 97 441 431 0.202714 0.672348 shelf
bed 168 274 312 440 0.100612 0.474170 towel
chair 252 338 291 362 0.140911 0.855352 BG
chair 326 431 352 440 0.129454 0.325246 BG
chair 177 430 180 440 0.115366 0.294979 BG
door 1 2 29 242 0.292489 0.329597 BG
picture 289 143 295 148 0.16821 0.712137 BG
pillow 308 96 420 201 0.485805 0.392948 BG
pillow 317 102 383 142 0.146484 0.820920 BG
pillow 316 90 344 187 0.138334 0.783721 BG
clothes 304 102 453 187 0.298513 0.261256 BG
paper 352 430 373 440 0.123898 0.259979 BG
paper 351 418 389 440 0.100286 0.282451 BG
towel 106 300 405 437 0.225055 0.608460 towel
towel 305 98 451 197 0.224655 0.261256 BG
towel 154 221 193 439 0.202072 0.768418 BG
towel 186 328 254 440 0.123401 0.792073 BG
towel 194 403 198 417 0.105371 0.821714 BG
towel 177 320 202 440 0.101393 0.881064 BG
box 358 348 400 420 0.2537 0.694286 BG
box 381 403 400 439 0.23981 0.410233 BG
box 386 189 433 251 0.229422 0.652447 BG
box 177 430 179 440 0.142638 0.294979 BG
box 349 417 391 440 0.137741 0.282451 BG
box 327 430 375 440 0.121056 0.254965 BG
box 265 37 314 180 0.120553 0.690649 bottle
box 374 428 396 440 0.119746 0.396244 BG
box 292 160 302 171 0.111006 0.795496 BG
box 393 425 400 440 0.100495 0.533428 BG
lamp 307 39 310 42 0.127483 0.731580 BG
bag 289 437 298 440 0.11057 0.343064 BG
garbage_bin 329 243 339 257 0.198165 0.757787 BG
garbage_bin 137 267 157 296 0.17414 0.812777 BG
garbage_bin 337 261 338 270 0.156998 0.829045 BG
garbage_bin 338 250 343 269 0.150566 0.814944 BG
garbage_bin 153 280 158 287 0.149799 0.808242 BG
garbage_bin 331 242 403 278 0.126035 0.833180 BG
garbage_bin 389 320 414 404 0.116366 0.836184 BG
garbage_bin 316 236 418 335 0.112582 0.869519 BG
garbage_bin 321 152 329 183 0.101624 0.844473 BG
garbage_bin 352 306 506 438 0.100486 0.866884 BG
