chair 315 234 587 440 0.929432 0.067373 floor
sofa 585 4 590 12 0.150693 0.660434 BG
table 18 149 496 438 0.845067 0.045021 bathtub
table 447 426 458 432 0.155806 0.517980 BG
table 439 427 460 440 0.116669 0.411101 BG
counter 359 342 364 347 0.109895 0.618453 BG
pillow 531 224 590 295 0.205851 0.620916 BG
clothes 464 222 479 256 0.227714 0.637559 BG
clothes 534 215 590 335 0.220341 0.464613 BG
clothes 459 0 467 12 0.138246 0.632190 BG
clothes 457 229 465 237 0.122756 0.823015 BG
clothes 434 1 466 85 0.119471 0.760858 BG
paper 109 161 128 175 0.420977 0.442998 BG
paper 0 248 31 292 0.330522 0.400846 BG
paper 0 287 5 290 0.327931 0.317745 BG
paper 110 0 145 22 0.325633 0.219983 BG
paper 0 0 82 86 0.316129 0.281172 BG
paper 0 0 148 211 0.299984 0.403995 BG
paper 41 171 50 175 0.276095 0.384118 BG
paper 109 115 121 124 0.265863 0.614541 BG
paper 94 1 169 86 0.260695 0.468178 BG
paper 0 287 6 301 0.251566 0.401500 BG
paper 173 82 176 92 0.23137 0.603125 BG
paper 6 286 17 296 0.230381 0.520990 BG
paper 34 227 38 229 0.229739 0.614152 BG
paper 147 0 154 4 0.228932 0.225326 BG
paper 14 218 68 273 0.224301 0.652616 BG
paper 128 415 130 418 0.215045 0.340276 BG
paper 505 414 544 440 0.206788 0.158982 BG
paper 192 127 202 130 0.205195 0.623905 BG
paper 47 181 110 245 0.192582 0.672558 BG
paper 125 142 169 188 0.187753 0.725622 BG
paper 336 426 342 431 0.186405 0.493352 BG
paper 103 26 111 29 0.186173 0.638922 BG
paper 441 111 448 119 0.172635 0.807418 BG
paper 291 386 345 440 0.16918 0.538272 BG
paper 150 105 233 164 0.168569 0.575314 BG
paper 330 415 351 440 0.165218 0.367550 BG
paper 167 36 173 41 0.164152 0.714779 BG
paper 334 430 337 434 0.149639 0.477270 BG
paper 95 26 110 45 0.149047 0.686666 BG
paper 451 105 466 120 0.147762 0.797343 BG
paper 337 433 340 436 0.138749 0.456325 BG
paper 442 66 446 70 0.133537 0.517229 BG
paper 462 109 496 128 0.132171 0.745261 BG
paper 198 63 205 66 0.131683 0.744557 BG
paper 103 29 110 35 0.130108 0.749455 BG
paper 487 125 498 130 0.121518 0.753627 BG
paper 192 144 198 149 0.120961 0.682779 BG
paper 438 71 443 80 0.117791 0.599770 BG
paper 109 208 114 214 0.113407 0.643723 BG
paper 192 127 212 135 0.106671 0.724367 BG
paper 434 69 443 91 0.106511 0.696754 BG
paper 331 438 332 440 0.106183 0.187771 BG
paper 58 251 63 255 0.102363 0.757943 BG
towel 435 11 462 90 0.131014 0.652786 BG
box 462 256 465 261 0.254888 0.641988 BG
box 456 255 462 262 0.249619 0.706728 BG
box 504 412 544 440 0.194114 0.158982 BG
box 1 287 6 291 0.151701 0.317745 BG
box 456 243 463 254 0.147962 0.789742 BG
box 0 0 86 86 0.145848 0.281172 BG
box 128 415 131 418 0.145836 0.340276 BG
box 109 0 147 22 0.130202 0.219983 BG
box 330 437 331 440 0.127303 0.187771 BG
box 1 287 7 302 0.11795 0.401500 BG
box 329 429 339 440 0.115321 0.185348 BG
box 146 0 154 4 0.111191 0.225326 BG
box 329 412 352 440 0.11109 0.367550 BG
box 1 2 152 211 0.107191 0.403995 BG
box 342 429 349 440 0.107039 0.166322 BG
person 583 273 590 310 0.195755 0.293860 BG
lamp 527 10 590 142 0.249668 0.489367 BG
bag 533 210 588 337 0.131252 0.464613 BG
bag 146 1 154 3 0.126089 0.225326 BG
bag 110 1 146 21 0.106901 0.219983 BG
garbage_bin 505 156 510 163 0.141767 0.813079 BG
