bed 383 158 590 415 0.20118 0.785272 curtain&&shower_curtain
chair 528 0 590 183 0.683563 0.279796 BG
chair 33 233 206 420 0.219147 0.484698 shelf
table 0 287 210 436 0.485987 0.385365 shelf
door 140 138 146 164 0.111921 0.597780 BG
picture 203 112 310 309 0.557276 0.290853 mirror
picture 452 145 501 200 0.525566 0.454923 BG
picture 451 123 469 194 0.331379 0.629364 BG
picture 231 195 269 220 0.299871 0.488627 BG
picture 250 195 267 205 0.246086 0.503888 BG
picture 454 145 463 171 0.222513 0.681756 BG
picture 479 161 489 176 0.208938 0.759963 BG
picture 420 121 446 204 0.19516 0.662146 BG
picture 471 150 485 178 0.18492 0.783809 BG
picture 219 196 275 303 0.177792 0.773626 BG
picture 260 202 269 220 0.177519 0.697883 BG
picture 403 44 505 233 0.151416 0.827312 BG
picture 139 363 156 378 0.151186 0.718858 BG
picture 289 214 299 293 0.143236 0.626890 BG
picture 208 135 267 229 0.120676 0.830601 BG
counter 263 433 298 440 0.123121 0.730517 BG
counter 10 294 317 433 0.120634 0.563287 BG
mirror 206 99 366 346 0.775428 0.193259 mirror
mirror 224 156 294 314 0.148721 0.351909 BG
clothes 465 332 590 434 0.312693 0.317802 BG
clothes 502 420 532 440 0.311569 0.278076 BG
clothes 477 412 516 440 0.255937 0.377959 BG
clothes 495 421 506 429 0.245027 0.377646 BG
clothes 243 232 273 267 0.171809 0.603854 BG
clothes 506 404 568 440 0.153121 0.474718 BG
clothes 479 1 575 113 0.139386 0.780044 BG
clothes 531 6 583 80 0.1021 0.760000 BG
paper 583 328 590 328 0.116176 0.203498 BG
paper 142 139 146 146 0.112719 0.510636 BG
paper 379 410 384 423 0.105555 0.645228 BG
paper 560 200 590 325 0.102964 0.458077 BG
paper 432 34 435 39 0.101366 0.779094 BG
towel 433 343 584 437 0.123971 0.360580 BG
box 133 431 168 440 0.346556 0.313626 BG
box 187 432 193 440 0.188609 0.560421 BG
box 227 196 268 212 0.14282 0.578259 BG
box 288 216 299 290 0.138519 0.626890 BG
box 168 431 176 440 0.108676 0.663674 BG
box 266 205 271 216 0.106505 0.708076 BG
box 560 198 590 326 0.104562 0.458077 BG
box 583 327 590 328 0.101133 0.203498 BG
sink 39 263 77 270 0.21643 0.760108 BG
sink 14 261 90 290 0.178752 0.771520 BG
lamp 343 29 399 100 0.677845 0.206925 BG
lamp 74 5 384 108 0.543891 0.412725 BG
lamp 362 2 457 67 0.259405 0.671262 BG
lamp 148 21 153 24 0.22364 0.775026 BG
lamp 124 216 155 229 0.183497 0.764098 BG
lamp 169 110 172 118 0.177778 0.803830 BG
lamp 133 190 156 219 0.175708 0.792516 BG
lamp 138 204 149 216 0.104856 0.865527 BG
lamp 325 98 352 105 0.100873 0.847048 BG
bag 479 412 532 440 0.315823 0.278012 BG
bag 478 384 589 440 0.309339 0.298312 BG
bag 496 421 505 429 0.306551 0.377646 BG
bag 436 373 513 440 0.20829 0.583362 BG
bag 509 372 535 440 0.138857 0.720320 BG
bag 244 234 272 268 0.129633 0.603854 BG
bag 556 401 590 440 0.122365 0.534332 BG
bag 559 397 589 408 0.102862 0.587197 BG
garbage_bin 562 137 590 152 0.126028 0.513003 BG
