bed 0 0 196 234 0.480826 0.443558 clothes
chair 189 187 378 431 0.836421 0.158834 BG
chair 1 177 193 440 0.78351 0.186879 child_chair
chair 498 130 577 264 0.730259 0.250449 BG
chair 443 74 586 222 0.397113 0.548404 BG
chair 120 135 226 241 0.350975 0.590520 BG
chair 565 22 590 73 0.331703 0.662475 BG
chair 139 307 312 426 0.267872 0.682430 BG
chair 144 158 259 341 0.203904 0.783233 BG
chair 477 17 588 143 0.182482 0.712629 BG
chair 502 208 588 301 0.149664 0.448493 BG
chair 572 23 584 46 0.136167 0.848636 BG
sofa 582 202 590 207 0.245618 0.269769 BG
sofa 493 155 590 406 0.2421 0.363519 box
sofa 0 19 217 364 0.196838 0.763549 BG
sofa 582 187 590 201 0.150441 0.344395 BG
sofa 582 213 590 249 0.122926 0.168423 BG
sofa 569 201 589 226 0.117357 0.457822 BG
table 0 260 377 429 0.178536 0.692544 child_chair
table 478 209 590 269 0.141484 0.446378 BG
picture 154 300 187 321 0.234679 0.716960 BG
picture 152 309 160 321 0.12256 0.804459 BG
pillow 1 1 37 14 0.116275 0.627722 BG
pillow 515 264 590 302 0.115509 0.279055 BG
pillow 0 23 72 111 0.100518 0.886331 BG
clothes 511 263 590 330 0.243433 0.281918 BG
clothes 500 213 587 422 0.238315 0.239219 box
tv 424 0 426 3 0.129447 0.814702 BG
paper 400 322 407 351 0.128057 0.399772 BG
paper 1 225 17 249 0.102327 0.350898 BG
towel 511 262 590 327 0.139325 0.281918 BG
towel 488 255 590 432 0.123649 0.442425 box
box 311 174 315 178 0.258435 0.605831 BG
box 560 193 566 196 0.174941 0.609973 BG
box 559 210 570 231 0.132108 0.553266 BG
box 328 153 332 172 0.120985 0.673896 BG
box 583 215 590 251 0.118366 0.168423 BG
box 140 420 205 440 0.11631 0.371325 BG
box 302 423 325 440 0.104874 0.347343 BG
person 389 63 425 127 0.56576 0.388121 BG
person 396 65 417 95 0.506222 0.471675 BG
person 397 63 413 73 0.201163 0.772573 BG
person 392 93 416 105 0.156643 0.804373 BG
person 411 78 420 99 0.152947 0.780217 BG
bag 513 262 589 300 0.115696 0.279055 BG
garbage_bin 399 321 407 351 0.149046 0.399772 BG
garbage_bin 129 241 144 256 0.147713 0.794346 BG
garbage_bin 357 218 382 248 0.123765 0.834321 BG
