cabinet 481 1 589 140 0.896223 0.067788 cabinet&&counter
bed 12 80 201 234 0.193982 0.467616 books
chair 391 59 510 287 0.763129 0.220911 chair
chair 0 192 91 440 0.623448 0.362825 BG
chair 6 15 258 200 0.595516 0.300811 books
chair 82 148 352 435 0.582233 0.272446 chair
chair 440 63 510 168 0.235923 0.763733 BG
chair 60 37 459 298 0.159013 0.436717 table
chair 242 88 380 338 0.121515 0.814617 BG
table 23 70 443 402 0.914595 0.057663 table&&floor
table 292 45 462 323 0.61307 0.238465 chair
picture 515 1 590 4 0.429275 0.236060 BG
picture 170 0 230 28 0.348815 0.434859 BG
picture 543 3 590 10 0.306091 0.300877 BG
picture 190 0 211 15 0.246369 0.692514 BG
picture 437 1 453 12 0.189977 0.533566 BG
picture 300 0 343 6 0.15836 0.556266 BG
picture 302 0 352 50 0.149542 0.515314 BG
picture 0 2 21 71 0.107474 0.366114 BG
desk 15 107 404 404 0.310368 0.042501 table&&chair&&floor
desk 289 36 475 323 0.166385 0.296333 chair
pillow 0 426 85 440 0.104517 0.426667 BG
clothes 58 0 105 59 0.756263 0.205127 BG
clothes 55 0 232 56 0.753238 0.137331 BG
clothes 17 4 162 216 0.305305 0.564302 BG
clothes 113 0 149 36 0.233285 0.698677 BG
clothes 88 0 126 56 0.206962 0.779438 BG
clothes 189 417 223 439 0.160897 0.311561 BG
clothes 20 140 180 198 0.157804 0.619972 BG
clothes 140 0 179 13 0.131563 0.798312 BG
clothes 191 418 200 432 0.112059 0.744361 BG
paper 113 90 159 107 0.714212 0.243242 BG
paper 250 103 282 122 0.536247 0.452201 BG
paper 138 100 158 106 0.428926 0.447904 BG
paper 244 93 263 100 0.388619 0.595363 BG
paper 157 103 164 111 0.281125 0.467145 BG
paper 466 126 504 160 0.277278 0.680822 BG
paper 254 113 291 131 0.270605 0.724660 BG
paper 117 78 248 123 0.231003 0.631347 BG
paper 170 92 323 182 0.230857 0.507254 laptop
paper 148 65 220 106 0.214722 0.509420 BG
paper 490 112 524 145 0.206754 0.733810 BG
paper 272 122 301 134 0.18991 0.807292 BG
paper 94 378 167 437 0.189696 0.200069 BG
paper 154 108 174 123 0.187396 0.514703 BG
paper 249 64 435 130 0.186019 0.796844 BG
paper 280 121 291 131 0.174564 0.823740 BG
paper 131 390 166 426 0.172841 0.431859 BG
paper 473 125 489 134 0.160426 0.802610 BG
paper 437 2 452 12 0.153305 0.514906 BG
paper 439 0 453 5 0.151291 0.563509 BG
paper 160 218 192 241 0.145123 0.813090 BG
paper 252 105 314 146 0.143502 0.849852 BG
paper 513 0 590 4 0.142584 0.236060 BG
paper 190 90 197 97 0.13874 0.717539 BG
paper 284 103 299 112 0.136412 0.848283 BG
paper 324 381 327 383 0.133139 0.393471 BG
paper 325 372 334 381 0.120628 0.471907 BG
paper 140 416 144 420 0.110454 0.583176 BG
paper 285 103 318 120 0.108181 0.881341 BG
paper 137 422 139 425 0.103659 0.578259 BG
paper 543 2 590 10 0.101874 0.300877 BG
box 231 38 284 97 0.897171 0.091227 BG
box 239 65 244 68 0.644598 0.271748 BG
box 56 287 175 440 0.375174 0.490887 cartoon
box 1 32 28 74 0.374877 0.397674 BG
box 151 63 266 185 0.349982 0.445380 BG
box 87 373 220 440 0.327561 0.186281 box
box 144 28 243 84 0.318834 0.429506 BG
box 130 388 167 429 0.25563 0.431859 BG
box 213 10 243 80 0.205127 0.636729 BG
box 275 24 303 97 0.195591 0.701323 BG
box 41 297 104 362 0.193093 0.692580 BG
box 147 60 227 106 0.189417 0.509420 BG
box 154 107 174 123 0.184481 0.514703 BG
box 189 417 223 440 0.175963 0.311561 BG
box 140 416 144 420 0.162114 0.583176 BG
box 19 45 314 207 0.137413 0.574159 books
box 240 7 243 28 0.133579 0.747450 BG
box 157 102 164 111 0.129809 0.467145 BG
box 137 405 142 410 0.126055 0.681791 BG
box 245 26 315 130 0.114528 0.840790 BG
box 137 422 139 425 0.113436 0.578259 BG
box 93 421 123 440 0.109202 0.280326 BG
person 2 0 21 37 0.724078 0.217725 BG
person 4 0 42 77 0.463832 0.344853 BG
person 11 0 98 88 0.274871 0.610151 BG
person 340 20 426 67 0.195069 0.717025 BG
person 18 1 314 82 0.151936 0.495113 BG
bag 77 377 165 440 0.174778 0.114294 BG
bag 78 414 124 440 0.113886 0.579202 BG
garbage_bin 324 381 327 384 0.200467 0.393471 BG
garbage_bin 330 178 335 185 0.165224 0.823752 BG
garbage_bin 324 372 335 381 0.112908 0.471907 BG
