chair 13 35 111 174 0.340104 0.471830 tissueholder
paper 387 83 395 91 0.425376 0.301539 BG
paper 407 43 413 45 0.276603 0.489288 BG
paper 455 420 456 421 0.255616 0.409747 BG
paper 464 415 471 424 0.245736 0.514671 BG
paper 464 411 481 426 0.227969 0.537286 BG
paper 159 421 166 427 0.22619 0.501569 BG
paper 112 200 117 204 0.222594 0.580143 BG
paper 483 414 487 417 0.219519 0.545335 BG
paper 316 124 320 129 0.193672 0.569200 BG
paper 481 405 494 424 0.193353 0.594721 BG
paper 152 417 160 423 0.187206 0.570168 BG
paper 489 415 491 419 0.184675 0.606198 BG
paper 480 379 528 440 0.170576 0.593519 BG
paper 584 418 586 419 0.167115 0.329568 BG
paper 550 184 559 186 0.160325 0.780560 BG
paper 513 327 515 333 0.154164 0.300748 BG
paper 483 377 490 383 0.144966 0.765354 BG
paper 452 349 482 372 0.136996 0.782606 BG
paper 387 164 406 181 0.135592 0.579470 BG
paper 445 411 512 440 0.134624 0.418715 BG
paper 527 401 590 440 0.129922 0.456239 BG
paper 213 420 222 428 0.128614 0.668163 BG
paper 399 318 433 347 0.1173 0.847250 BG
paper 351 257 352 260 0.116084 0.693229 BG
paper 405 140 406 141 0.115452 0.645220 BG
paper 568 411 575 415 0.11283 0.606375 BG
paper 431 341 452 363 0.112475 0.857749 BG
paper 85 416 130 440 0.109845 0.613765 BG
paper 451 419 461 433 0.108527 0.567403 BG
paper 460 422 471 430 0.105631 0.531270 BG
paper 174 425 193 440 0.105094 0.472320 BG
paper 420 421 433 432 0.102313 0.607780 BG
paper 160 393 241 440 0.101418 0.709107 BG
box 455 419 457 421 0.183161 0.409747 BG
box 548 395 590 440 0.167098 0.300565 BG
box 568 411 576 415 0.158284 0.606375 BG
box 584 417 587 419 0.157196 0.329568 BG
box 159 421 167 427 0.122918 0.501569 BG
box 464 415 472 424 0.121947 0.514671 BG
box 464 410 482 426 0.11812 0.537286 BG
box 483 414 488 417 0.116395 0.545335 BG
box 152 417 161 423 0.108521 0.570168 BG
box 350 258 352 260 0.106833 0.693229 BG
box 481 403 495 424 0.105602 0.594721 BG
box 488 415 492 419 0.103177 0.606198 BG
box 387 83 395 92 0.101216 0.301539 BG
toilet 152 139 309 342 0.902275 0.074001 toilet
sink 383 105 577 321 0.966817 0.027459 bathroomsink
sink 222 158 566 429 0.229201 0.685261 BG
bathtub 255 152 590 417 0.320787 0.483760 BG
garbage_bin 280 234 284 239 0.321118 0.676544 BG
garbage_bin 182 274 189 289 0.25992 0.710102 BG
garbage_bin 583 239 590 251 0.159722 0.466499 BG
garbage_bin 176 237 191 290 0.102892 0.892809 BG
