sofa 178 202 659 515 0.12187 0.721177 floor
table 14 205 216 512 0.243574 0.565164 BG
picture 416 4 430 16 0.162217 0.575646 BG
counter 0 195 156 455 0.237141 0.217809 garbage_bin
counter 1 219 123 252 0.162822 0.794008 BG
paper 326 505 331 510 0.27209 0.390583 BG
paper 617 60 622 65 0.260102 0.341572 BG
paper 485 500 494 508 0.245649 0.425119 BG
paper 480 496 503 513 0.243724 0.419218 BG
paper 304 501 314 508 0.242944 0.415518 BG
paper 235 495 273 515 0.242418 0.443127 BG
paper 355 496 366 510 0.241684 0.390511 BG
paper 559 499 564 506 0.233547 0.430057 BG
paper 516 495 527 514 0.232775 0.424989 BG
paper 201 492 223 510 0.227324 0.451901 BG
paper 364 495 382 504 0.225791 0.451582 BG
paper 399 348 435 400 0.218795 0.399271 BG
paper 93 494 116 508 0.218377 0.457439 BG
paper 352 437 385 468 0.218039 0.363864 BG
paper 405 488 415 511 0.217444 0.492723 BG
paper 391 374 415 398 0.215185 0.492349 BG
paper 303 450 443 530 0.214498 0.283463 BG
paper 367 419 381 436 0.208219 0.470724 BG
paper 237 454 323 530 0.207307 0.260367 BG
paper 304 495 316 501 0.203841 0.421047 BG
paper 387 484 452 530 0.203523 0.333560 BG
paper 463 476 503 511 0.201863 0.495532 BG
paper 195 446 276 530 0.19984 0.277774 BG
paper 356 384 398 440 0.199365 0.437925 BG
paper 368 361 406 386 0.19763 0.564569 BG
paper 50 495 60 501 0.197587 0.436808 BG
paper 382 229 399 239 0.196037 0.517142 BG
paper 225 477 237 511 0.194318 0.461019 BG
paper 499 478 523 512 0.192725 0.498411 BG
paper 442 487 464 514 0.191437 0.537615 BG
paper 169 490 175 492 0.191172 0.446177 BG
paper 503 494 507 497 0.188141 0.483768 BG
paper 349 477 383 506 0.186596 0.462405 BG
paper 1 460 50 505 0.185981 0.494379 BG
paper 352 455 369 463 0.185598 0.399681 BG
paper 555 462 647 530 0.183751 0.288658 BG
paper 446 492 492 530 0.183435 0.305110 BG
paper 407 374 415 386 0.182506 0.525216 BG
paper 161 474 237 530 0.180617 0.282830 BG
paper 331 413 373 467 0.179887 0.428884 BG
paper 539 0 625 66 0.178918 0.366111 BG
paper 288 437 332 464 0.177964 0.390446 BG
paper 320 499 368 530 0.176801 0.245900 BG
paper 245 393 394 473 0.176281 0.427714 BG
paper 381 417 384 422 0.176079 0.470843 BG
paper 352 491 383 530 0.175932 0.265603 BG
paper 333 499 355 517 0.175499 0.343760 BG
paper 302 463 351 511 0.175451 0.483516 BG
paper 440 514 445 521 0.174062 0.411254 BG
paper 576 491 585 494 0.170919 0.456838 BG
paper 545 451 553 467 0.170035 0.417074 BG
paper 390 341 434 365 0.169621 0.607712 BG
paper 574 58 579 68 0.169532 0.241055 BG
paper 477 464 565 530 0.167322 0.338510 BG
paper 434 335 445 342 0.166009 0.445802 BG
paper 606 493 680 530 0.16597 0.249149 BG
paper 370 465 382 473 0.165638 0.358889 BG
paper 414 367 461 400 0.164564 0.329099 BG
paper 426 31 433 33 0.163531 0.196049 BG
paper 372 229 381 235 0.162898 0.560932 BG
paper 100 500 162 530 0.162235 0.280420 BG
paper 383 475 415 511 0.161044 0.588724 BG
paper 541 37 543 42 0.159009 0.589756 BG
paper 416 323 455 369 0.158869 0.505476 BG
paper 545 468 555 474 0.158279 0.384166 BG
paper 663 177 667 189 0.156813 0.209392 BG
paper 336 324 458 401 0.155861 0.401858 BG
paper 533 464 543 471 0.155767 0.382273 BG
