chair 144 167 572 530 0.594908 0.082341 table&&chair
table 19 85 402 529 0.971416 0.017785 table
table 384 115 671 423 0.338859 0.425570 BG
table 0 118 114 403 0.199781 0.712278 BG
picture 0 1 57 21 0.760496 0.116893 BG
picture 8 8 26 16 0.206655 0.588715 BG
desk 12 70 637 492 0.703578 0.023078 table
desk 387 115 651 425 0.460465 0.447480 BG
clothes 415 1 477 22 0.127259 0.607373 lamp
tv 106 316 139 403 0.286416 0.681297 BG
tv 103 257 170 442 0.183105 0.649440 BG
tv 2 177 70 331 0.161703 0.732823 BG
paper 638 145 650 155 0.452234 0.494205 BG
paper 255 86 315 100 0.29281 0.662796 BG
paper 15 78 387 157 0.254923 0.704921 BG
paper 315 86 320 89 0.24453 0.445136 BG
paper 640 148 643 150 0.22437 0.759101 BG
paper 202 511 209 517 0.214182 0.555235 BG
paper 613 146 653 166 0.203632 0.778192 BG
paper 4 131 72 162 0.183162 0.470313 BG
paper 238 78 290 96 0.177108 0.791674 BG
paper 629 124 635 136 0.154467 0.838124 BG
paper 204 14 218 30 0.132505 0.484304 BG
paper 52 35 61 46 0.131074 0.514851 BG
paper 408 118 419 126 0.127567 0.745730 BG
paper 151 50 216 90 0.127293 0.840114 BG
paper 152 190 157 193 0.117361 0.736140 BG
paper 136 446 174 483 0.107652 0.758184 BG
paper 534 117 552 120 0.105144 0.831307 BG
paper 175 4 217 56 0.100943 0.677225 BG
paper 214 526 217 530 0.100087 0.182148 BG
box 474 76 510 101 0.319975 0.564236 BG
box 491 90 503 102 0.210365 0.634367 BG
box 52 35 61 46 0.186595 0.514851 BG
box 417 2 493 95 0.184285 0.416843 BG
box 503 86 513 102 0.177214 0.657162 BG
box 450 139 473 142 0.135063 0.801069 BG
box 23 30 43 48 0.133202 0.705835 BG
box 204 14 218 30 0.127887 0.484304 BG
box 446 149 457 159 0.113069 0.826028 BG
box 213 525 216 530 0.106951 0.182148 BG
box 501 93 504 94 0.103114 0.760434 BG
lamp 106 0 148 23 0.378063 0.418680 BG
lamp 420 0 521 116 0.223708 0.358905 BG
lamp 139 6 146 16 0.128907 0.646068 BG
lamp 146 10 148 16 0.107246 0.708069 BG
garbage_bin 679 266 680 286 0.111159 0.438062 BG
