bed 11 153 218 305 0.23361 0.710379 box
chair 439 187 654 511 0.933211 0.053164 chair
chair 192 52 264 111 0.370059 0.609328 BG
chair 64 44 230 113 0.352172 0.593818 BG
chair 12 52 72 107 0.285589 0.634078 BG
chair 171 54 193 84 0.26525 0.698582 BG
chair 136 43 189 93 0.22683 0.646420 BG
chair 187 53 194 72 0.226456 0.718557 BG
chair 391 247 459 348 0.211348 0.741734 BG
chair 186 42 197 83 0.18769 0.765065 BG
chair 299 55 479 152 0.185437 0.604073 BG
chair 246 38 281 119 0.153135 0.632712 BG
chair 206 62 211 86 0.149218 0.836454 BG
chair 190 73 195 80 0.139932 0.833981 BG
chair 473 72 487 115 0.127149 0.818233 BG
chair 120 79 239 196 0.123611 0.708915 BG
chair 574 148 670 303 0.120933 0.801254 BG
chair 36 63 51 104 0.120636 0.865321 BG
chair 152 38 158 58 0.114851 0.863443 BG
chair 131 27 164 68 0.113816 0.841675 BG
chair 527 58 597 137 0.106792 0.807568 monitor
table 211 94 640 387 0.764956 0.151359 table
table 82 79 193 172 0.681864 0.268758 BG
table 296 55 507 147 0.29068 0.515745 BG
table 244 44 284 126 0.200764 0.650273 BG
table 498 154 659 331 0.194973 0.731957 BG
table 264 172 320 321 0.151831 0.806526 BG
table 279 172 438 380 0.133483 0.854976 BG
table 0 36 57 129 0.124417 0.753294 BG
table 33 86 277 313 0.118093 0.853163 BG
table 41 68 193 111 0.101362 0.859400 BG
picture 7 21 36 58 0.455061 0.504592 BG
picture 8 4 119 45 0.400201 0.531177 BG
picture 130 2 138 19 0.149492 0.733626 BG
picture 345 2 368 48 0.105813 0.500286 BG
desk 191 134 666 356 0.590805 0.073398 table
paper 407 146 540 198 0.200747 0.787580 BG
paper 661 246 668 252 0.188461 0.329359 BG
paper 648 160 653 163 0.157095 0.810241 BG
paper 423 0 441 58 0.155548 0.432163 BG
paper 387 0 433 59 0.151738 0.482129 BG
paper 648 158 677 167 0.149402 0.723039 BG
paper 513 166 535 176 0.148455 0.744165 BG
paper 395 173 403 178 0.132279 0.859764 BG
paper 408 187 419 195 0.132255 0.864985 BG
paper 676 164 680 171 0.122665 0.484257 BG
paper 36 137 42 139 0.117358 0.490747 BG
paper 149 22 153 30 0.112611 0.514309 BG
paper 416 155 543 170 0.111563 0.878577 BG
paper 138 79 173 89 0.109587 0.719083 BG
paper 197 230 209 242 0.104149 0.875837 BG
paper 406 149 455 177 0.101886 0.733315 BG
box 149 22 153 30 0.187273 0.514309 BG
box 423 1 442 54 0.164182 0.432163 BG
box 419 54 424 56 0.137771 0.612566 BG
box 387 1 435 57 0.11903 0.482129 BG
box 314 4 365 51 0.104393 0.562229 BG
sink 122 57 139 66 0.107798 0.822383 BG
lamp 253 2 283 46 0.19339 0.722487 BG
lamp 131 16 132 20 0.115061 0.817197 BG
bag 407 142 428 168 0.243111 0.598840 BG
bag 393 137 432 149 0.113193 0.784725 BG
