bed 318 80 663 529 0.852076 0.144880 bench
picture 41 2 79 68 0.438969 0.497035 BG
picture 0 1 49 36 0.42015 0.458092 BG
picture 47 59 80 84 0.233549 0.642039 BG
picture 32 15 47 34 0.195289 0.398115 BG
picture 46 64 54 69 0.164839 0.765804 BG
picture 1 30 51 65 0.137063 0.465436 BG
picture 4 6 112 111 0.132246 0.649560 floor
counter 0 109 52 122 0.100941 0.617673 BG
clothes 83 1 99 17 0.478744 0.421324 BG
clothes 92 1 102 9 0.475932 0.426332 BG
paper 33 16 47 34 0.195272 0.398115 BG
paper 597 463 680 530 0.136772 0.343653 BG
paper 668 469 671 475 0.124219 0.509977 BG
paper 256 512 272 519 0.118223 0.390086 BG
paper 2 29 49 64 0.116769 0.465436 BG
paper 448 500 507 530 0.113874 0.381773 BG
box 103 72 109 85 0.32999 0.507726 BG
box 0 29 52 64 0.144683 0.465436 BG
box 32 15 47 33 0.125222 0.398115 BG
box 594 456 680 530 0.122986 0.343653 BG
box 446 497 505 530 0.118412 0.381773 BG
box 255 511 272 519 0.111088 0.390086 BG
box 541 523 553 530 0.110241 0.460972 BG
box 669 470 672 475 0.104044 0.509977 BG
