bed 77 216 539 515 0.984677 0.014115 crib
door 559 63 569 100 0.152882 0.517006 BG
door 547 97 555 105 0.105083 0.539130 BG
pillow 126 1 294 20 0.144669 0.815527 BG
pillow 252 13 260 19 0.102002 0.859694 BG
clothes 518 345 570 408 0.127007 0.620103 BG
clothes 506 183 590 395 0.119249 0.616386 bag
fridge 1 174 93 507 0.106014 0.561961 sofa_chair
paper 0 196 12 206 0.228433 0.198034 BG
paper 295 503 301 504 0.208823 0.569916 BG
paper 107 102 119 106 0.18526 0.246638 BG
paper 0 116 50 206 0.170822 0.190778 BG
paper 33 104 48 121 0.170723 0.173281 BG
paper 423 0 443 38 0.162665 0.490629 BG
paper 100 99 104 111 0.158668 0.294949 BG
paper 39 104 44 112 0.156525 0.282233 BG
paper 423 525 427 529 0.149471 0.435299 BG
paper 251 500 255 502 0.147717 0.479301 BG
paper 100 100 129 123 0.14348 0.320178 BG
paper 31 19 40 25 0.14321 0.327079 BG
paper 228 498 427 529 0.135268 0.528660 BG
paper 551 90 557 97 0.130347 0.533927 BG
paper 312 0 458 74 0.127746 0.435786 BG
paper 424 3 432 14 0.127064 0.489158 BG
paper 234 500 281 511 0.126238 0.567550 BG
paper 547 98 555 104 0.118905 0.539130 BG
paper 78 84 83 90 0.11414 0.380301 BG
paper 4 481 94 529 0.111873 0.517966 floor
paper 78 84 84 118 0.108966 0.421125 BG
paper 0 0 79 63 0.107071 0.251291 BG
paper 436 28 442 36 0.105142 0.720460 BG
paper 1 39 7 47 0.103077 0.313397 BG
paper 226 499 239 504 0.102599 0.683980 BG
towel 2 1 76 65 0.338289 0.251291 BG
towel 32 19 40 25 0.326446 0.327079 BG
towel 1 0 21 58 0.278675 0.413595 BG
towel 1 39 8 47 0.254374 0.313397 BG
towel 17 11 31 22 0.251179 0.587546 BG
towel 79 83 130 168 0.247523 0.460721 BG
towel 15 15 90 246 0.242263 0.483727 BG
towel 101 100 130 124 0.239106 0.320178 BG
towel 104 121 121 143 0.220652 0.531357 BG
towel 40 104 45 112 0.214475 0.282233 BG
towel 46 81 57 95 0.201866 0.510686 BG
towel 519 352 570 411 0.185599 0.610254 BG
towel 86 118 155 217 0.185099 0.670545 BG
towel 108 142 118 154 0.181755 0.624739 BG
towel 46 161 63 176 0.176813 0.561026 BG
towel 101 99 105 111 0.167931 0.294949 BG
towel 79 83 84 90 0.163866 0.380301 BG
towel 108 101 120 106 0.162704 0.246638 BG
towel 79 83 85 118 0.159783 0.421125 BG
towel 34 104 49 121 0.159616 0.173281 BG
towel 3 116 50 246 0.147911 0.282757 BG
towel 46 120 86 177 0.139114 0.707735 BG
towel 51 11 275 234 0.126486 0.521297 BG
towel 48 172 64 180 0.123845 0.704579 BG
towel 518 184 589 408 0.122203 0.616386 bag
towel 110 169 121 178 0.115161 0.777953 BG
towel 147 145 152 149 0.112043 0.736254 BG
towel 49 26 56 35 0.111067 0.547385 BG
towel 2 190 33 246 0.108315 0.261290 BG
towel 147 144 153 164 0.107459 0.720255 BG
towel 147 145 159 193 0.101259 0.686832 BG
box 119 285 131 319 0.149785 0.645323 BG
box 232 499 281 510 0.13191 0.567550 BG
box 418 513 451 529 0.131171 0.418363 BG
box 449 56 455 61 0.126653 0.661475 BG
box 295 502 301 504 0.117159 0.569916 BG
box 103 270 105 273 0.114698 0.827179 BG
box 127 298 131 312 0.108835 0.640310 BG
box 227 501 447 529 0.102133 0.415722 BG
whiteboard 71 118 493 298 0.249517 0.614192 BG
whiteboard 0 103 53 213 0.112271 0.179258 BG
whiteboard 0 195 12 207 0.102168 0.198034 BG
person 130 476 141 486 0.141043 0.589382 BG
toilet 488 78 728 492 0.12462 0.515683 BG
lamp 458 34 518 125 0.688016 0.213831 BG
lamp 452 63 457 73 0.38872 0.560912 BG
lamp 441 7 582 98 0.209965 0.707139 BG
lamp 52 0 52 3 0.125349 0.785921 BG
lamp 1 193 33 247 0.102069 0.261290 BG
bag 131 477 141 485 0.140805 0.589382 BG
garbage_bin 11 247 89 478 0.387533 0.386878 sofa_chair
garbage_bin 110 290 112 295 0.224147 0.641891 BG
