cabinet 200 44 366 219 0.160399 0.800549 armoire
bed 43 177 603 525 0.999336 0.000562 bed
bed 43 195 206 514 0.173471 0.530094 BG
bed 48 164 223 283 0.112642 0.791607 BG
chair 63 166 66 176 0.125332 0.767499 BG
table 2 452 46 516 0.166153 0.592075 BG
table 10 361 95 509 0.125061 0.773114 BG
picture 404 3 439 76 0.356178 0.536062 BG
picture 64 92 112 142 0.238896 0.267520 BG
picture 98 99 111 128 0.165885 0.376915 BG
picture 383 111 418 195 0.157676 0.471297 BG
picture 2 3 26 45 0.157626 0.290606 BG
picture 89 103 99 125 0.155321 0.446580 BG
picture 290 1 358 19 0.153602 0.581523 BG
picture 399 19 446 192 0.141576 0.596809 BG
picture 398 81 425 114 0.139595 0.766278 BG
picture 422 86 427 106 0.137432 0.676836 BG
picture 227 2 351 32 0.134175 0.765098 BG
picture 411 33 431 62 0.129119 0.677123 BG
picture 84 97 102 108 0.121929 0.519103 BG
picture 11 177 63 204 0.121765 0.282209 BG
picture 58 4 243 56 0.108987 0.799155 BG
picture 79 163 142 215 0.108188 0.623739 BG
picture 7 86 76 147 0.103779 0.539577 box
counter 0 216 69 369 0.132667 0.508676 BG
blinds 2 253 59 363 0.280789 0.530277 BG
blinds 2 330 54 348 0.1884 0.596823 BG
blinds 1 345 2 349 0.173267 0.627486 BG
blinds 0 299 62 327 0.154701 0.710981 BG
blinds 0 277 40 280 0.125792 0.797781 BG
blinds 0 311 39 316 0.116618 0.777188 BG
blinds 1 298 64 304 0.107781 0.765797 BG
blinds 0 325 54 331 0.103347 0.729830 BG
dresser 75 164 167 224 0.182742 0.370447 dresser
pillow 358 212 416 270 0.806867 0.193002 BG
pillow 378 218 575 360 0.683752 0.310052 pillow
pillow 360 244 391 268 0.602718 0.397219 BG
pillow 332 220 378 263 0.417643 0.576436 BG
pillow 237 195 406 270 0.252722 0.727100 pillow
pillow 71 216 153 298 0.17673 0.709759 books
pillow 347 253 361 263 0.167846 0.831638 BG
pillow 519 267 535 283 0.149442 0.848746 BG
pillow 96 210 148 245 0.117495 0.831037 BG
pillow 96 223 118 245 0.106567 0.782199 BG
clothes 306 249 602 404 0.111012 0.718230 BG
paper 104 503 107 504 0.231776 0.352201 BG
paper 84 97 101 108 0.215848 0.519103 BG
paper 89 103 99 124 0.199485 0.446580 BG
paper 90 98 110 132 0.194728 0.373857 BG
paper 3 231 51 264 0.188331 0.723745 BG
paper 248 171 252 173 0.171459 0.185040 BG
paper 65 91 101 140 0.165191 0.349364 BG
paper 2 256 47 269 0.121449 0.776393 BG
paper 11 205 18 222 0.118987 0.668741 BG
paper 2 0 25 45 0.111695 0.290606 BG
paper 668 505 671 515 0.110174 0.610155 BG
paper 433 183 447 192 0.108094 0.482311 BG
towel 248 170 252 173 0.100709 0.185040 BG
box 39 184 49 188 0.613132 0.285128 BG
box 10 189 66 232 0.462767 0.419490 box
box 9 178 64 203 0.459137 0.282209 BG
box 1 5 26 45 0.325661 0.290606 BG
box 3 89 80 144 0.295869 0.539577 box
box 54 187 66 189 0.287033 0.474950 BG
box 433 182 447 192 0.217307 0.482311 BG
box 64 92 84 139 0.183387 0.456987 BG
box 445 189 475 201 0.163301 0.513332 BG
box 11 186 27 221 0.158666 0.688617 BG
box 4 130 76 145 0.14922 0.825545 BG
box 90 123 96 132 0.143189 0.614194 BG
box 431 174 447 183 0.139202 0.618658 BG
box 104 502 108 504 0.134659 0.352201 BG
box 424 182 437 190 0.132664 0.544623 BG
box 448 177 473 196 0.129243 0.532349 BG
box 417 160 432 190 0.128443 0.533365 BG
box 89 99 111 132 0.126601 0.373857 BG
box 14 167 185 230 0.120052 0.659157 BG
box 69 67 144 147 0.114212 0.635031 BG
box 193 165 219 201 0.111155 0.603597 BG
box 89 103 99 124 0.109143 0.446580 BG
box 13 93 198 165 0.103455 0.829428 BG
box 427 20 436 54 0.102085 0.728989 BG
whiteboard 3 346 57 466 0.129529 0.292847 floor
person 473 19 474 26 0.198202 0.784743 BG
person 702 514 729 529 0.19247 0.375364 BG
person 440 0 474 38 0.131548 0.777811 BG
person 441 0 499 77 0.117579 0.784186 BG
lamp 5 362 89 470 0.173587 0.327641 BG
bag 702 515 729 529 0.244863 0.356212 BG
garbage_bin 103 502 108 504 0.112366 0.352201 BG
