bed 434 432 729 526 0.164992 0.494640 floor
chair 31 228 257 505 0.990681 0.009125 chair
chair 419 242 645 518 0.990662 0.008445 chair
chair 12 201 103 430 0.673107 0.325120 BG
chair 509 144 577 212 0.616535 0.332184 chair
chair 62 146 155 245 0.585398 0.403254 chair
chair 2 221 49 373 0.581494 0.392383 BG
chair 290 154 402 186 0.513045 0.453407 BG
chair 433 237 583 364 0.460264 0.535123 BG
chair 33 165 180 358 0.435844 0.561181 BG
chair 204 181 428 424 0.41558 0.574201 sofa_chair
chair 287 164 351 180 0.397296 0.538671 BG
chair 385 144 446 183 0.38325 0.570314 chair
chair 338 159 346 170 0.381686 0.613522 BG
chair 266 165 288 212 0.328775 0.622537 BG
chair 242 166 407 233 0.313492 0.672258 BG
chair 263 190 274 196 0.305358 0.672714 BG
chair 181 163 287 278 0.261828 0.725940 BG
chair 154 211 179 278 0.240944 0.715619 BG
chair 159 180 216 251 0.230011 0.677888 BG
chair 447 221 555 255 0.225843 0.750041 BG
chair 353 175 407 185 0.223228 0.702598 BG
chair 176 235 198 270 0.220921 0.768792 BG
chair 174 243 180 251 0.195529 0.799024 BG
chair 555 205 573 233 0.187148 0.796756 BG
chair 345 157 384 177 0.17631 0.817700 BG
chair 331 214 548 428 0.165089 0.818971 BG
chair 170 224 187 278 0.163722 0.826956 BG
chair 173 217 255 252 0.161982 0.781371 BG
chair 170 228 181 251 0.160211 0.822482 BG
chair 385 146 387 159 0.1552 0.820210 BG
chair 166 241 180 268 0.148369 0.849115 BG
chair 271 151 334 211 0.147988 0.666304 chair&&chair
chair 282 147 333 169 0.145788 0.640642 BG
chair 334 149 387 159 0.145304 0.852426 BG
chair 54 214 177 252 0.132375 0.850290 BG
chair 57 111 100 165 0.126491 0.793358 BG
chair 253 186 281 228 0.12013 0.867531 BG
chair 63 143 72 160 0.114715 0.808012 BG
chair 532 178 568 196 0.110722 0.882264 BG
chair 326 152 583 198 0.110256 0.829021 BG
chair 68 144 78 154 0.109842 0.684472 BG
chair 358 181 395 193 0.108629 0.858762 BG
sofa 550 153 705 274 0.346707 0.482598 BG
table 105 127 377 197 0.481428 0.407221 BG
table 225 145 328 190 0.260242 0.660750 BG
table 380 137 534 188 0.112152 0.743974 BG
table 276 146 333 169 0.104527 0.640642 BG
desk 74 135 602 197 0.141285 0.678929 desk
paper 167 491 172 510 0.178017 0.626492 BG
paper 63 493 96 516 0.177943 0.446079 BG
paper 81 505 96 516 0.177717 0.319106 BG
paper 95 512 98 517 0.176436 0.355876 BG
paper 711 274 712 276 0.165849 0.208513 BG
paper 96 513 110 522 0.145665 0.423127 BG
paper 705 277 729 309 0.141015 0.290785 BG
paper 171 490 179 494 0.136647 0.754172 BG
paper 678 208 729 234 0.127126 0.544830 BG
paper 1 129 2 131 0.120992 0.276247 BG
paper 122 524 130 529 0.120446 0.212290 BG
box 627 145 631 159 0.187581 0.641869 BG
box 102 137 121 144 0.151812 0.677137 BG
box 710 273 711 276 0.126551 0.208513 BG
box 95 512 99 517 0.104079 0.355876 BG
box 584 146 629 160 0.102752 0.814644 BG
whiteboard 145 0 540 106 0.944716 0.028271 BG
whiteboard 411 6 621 135 0.248575 0.730515 BG
person 182 196 199 221 0.279659 0.697862 BG
person 159 175 215 234 0.199277 0.767770 BG
garbage_bin 681 107 729 139 0.42905 0.542915 BG
garbage_bin 692 115 717 131 0.393587 0.595831 BG
garbage_bin 676 107 689 139 0.355358 0.635263 BG
garbage_bin 709 117 716 123 0.261851 0.709189 BG
garbage_bin 406 184 431 239 0.203695 0.655211 BG
garbage_bin 708 120 718 134 0.179147 0.781730 BG
