cabinet 2 4 206 238 0.128669 0.765701 computer
bed 472 350 727 520 0.543597 0.315643 chair
chair 484 262 721 508 0.832559 0.128243 chair
chair 584 465 729 524 0.451473 0.385150 BG
chair 184 203 397 526 0.248562 0.703857 BG
chair 10 386 191 529 0.173853 0.719364 BG
chair 598 499 693 523 0.139557 0.681972 BG
table 6 136 342 521 0.973566 0.012730 table&&chair
table 301 31 550 237 0.173389 0.692999 BG
bookshelf 73 1 552 96 0.107651 0.870531 shelf
picture 19 1 180 19 0.103499 0.787811 BG
desk 194 40 572 172 0.361276 0.484603 BG
desk 0 145 407 523 0.1046 0.293297 table
pillow 485 369 718 527 0.11622 0.494992 BG
tv 706 528 711 529 0.129905 0.457155 BG
tv 693 523 729 529 0.128312 0.403855 BG
tv 667 517 716 529 0.121289 0.463424 BG
paper 1 277 67 324 0.498231 0.405499 BG
paper 408 43 558 63 0.35522 0.504652 BG
paper 496 45 561 54 0.346844 0.623354 BG
paper 280 8 420 52 0.320861 0.535074 paper
paper 0 277 45 297 0.318976 0.598473 BG
paper 37 320 80 352 0.30047 0.560664 BG
paper 470 46 503 61 0.294017 0.578678 BG
paper 548 53 551 54 0.217303 0.781102 BG
paper 7 275 23 284 0.198718 0.715046 BG
paper 159 323 162 328 0.194226 0.637221 BG
paper 464 61 477 63 0.187286 0.514085 BG
paper 506 54 560 70 0.181174 0.797261 BG
paper 497 45 501 48 0.180005 0.761296 BG
paper 724 523 729 525 0.173073 0.277892 BG
paper 448 56 456 58 0.169441 0.629072 BG
paper 174 306 182 320 0.167132 0.791441 BG
paper 115 240 123 245 0.164461 0.745379 BG
paper 476 40 527 46 0.160675 0.792290 BG
paper 14 308 80 330 0.15862 0.730380 BG
paper 358 44 363 50 0.158318 0.772587 BG
paper 358 43 380 50 0.15626 0.747798 BG
paper 311 31 323 44 0.150906 0.717809 BG
paper 601 522 606 526 0.146355 0.635432 BG
paper 284 12 550 83 0.144609 0.724468 shelf
paper 354 17 355 21 0.142963 0.684516 BG
paper 485 41 500 46 0.142023 0.780988 BG
paper 179 305 198 320 0.134614 0.823870 BG
paper 1 276 6 281 0.132032 0.852394 BG
paper 233 18 331 59 0.128839 0.825437 BG
paper 7 278 8 280 0.123635 0.835294 BG
paper 411 47 422 55 0.121849 0.713302 BG
paper 189 176 238 207 0.120636 0.838204 BG
paper 357 17 376 31 0.114703 0.701825 BG
paper 366 79 445 250 0.114484 0.502305 BG
paper 426 42 470 57 0.111518 0.665288 BG
paper 95 240 123 259 0.111424 0.780502 BG
paper 424 47 441 57 0.108219 0.674931 BG
paper 105 245 117 256 0.103378 0.736989 BG
paper 398 41 422 55 0.10232 0.764466 BG
paper 1 277 15 296 0.100269 0.857371 BG
paper 199 166 239 181 0.100212 0.731452 BG
box 180 10 192 19 0.158164 0.488097 BG
box 361 68 447 251 0.122356 0.551227 BG
box 171 522 175 529 0.11262 0.250902 BG
person 341 6 346 8 0.127672 0.679754 BG
garbage_bin 376 219 388 229 0.112411 0.768931 BG
