cabinet 467 15 574 308 0.81116 0.158704 door
table 1 353 169 528 0.401273 0.255771 BG
bookshelf 444 157 469 271 0.144485 0.809122 BG
bookshelf 437 30 475 285 0.128732 0.832786 BG
bookshelf 331 0 433 465 0.119344 0.827991 shelf
picture 356 2 391 26 0.257512 0.448096 BG
picture 201 196 217 204 0.216962 0.595427 BG
picture 611 2 629 30 0.210049 0.641660 BG
picture 350 3 435 40 0.209242 0.472508 BG
picture 611 1 619 11 0.14666 0.716689 BG
picture 536 31 560 35 0.139283 0.510968 BG
picture 717 457 729 529 0.128457 0.170744 BG
picture 5 2 69 138 0.103553 0.252234 BG
blinds 2 2 65 134 0.354598 0.252234 BG
tv 516 36 564 47 0.265641 0.549719 BG
tv 225 526 228 529 0.105418 0.521833 BG
paper 8 161 37 210 0.825853 0.095957 BG
paper 185 160 203 202 0.707976 0.264375 BG
paper 201 164 220 191 0.421203 0.460667 BG
paper 219 162 263 415 0.152148 0.457476 BG
paper 315 388 333 399 0.144078 0.272107 BG
paper 219 151 249 196 0.124059 0.791771 BG
paper 668 305 697 468 0.114512 0.574392 BG
paper 202 196 217 204 0.107475 0.595427 BG
paper 247 205 261 387 0.105939 0.616186 BG
paper 35 161 48 167 0.10234 0.831609 BG
paper 644 56 648 59 0.101264 0.673195 BG
towel 662 466 675 513 0.167813 0.398674 BG
towel 592 162 611 241 0.116297 0.331136 BG
towel 618 1 628 26 0.109302 0.595399 BG
box 418 289 423 294 0.22078 0.703240 BG
box 562 279 564 285 0.201982 0.718493 BG
box 476 110 478 115 0.142117 0.555863 BG
box 407 276 440 324 0.136038 0.779149 BG
box 603 474 613 527 0.132495 0.356826 BG
box 404 306 409 312 0.11973 0.802169 BG
box 429 265 445 326 0.114153 0.820179 BG
box 432 41 435 44 0.111658 0.608456 BG
box 419 274 435 293 0.110968 0.821660 BG
box 610 40 640 95 0.105225 0.733109 BG
lamp 378 0 438 47 0.126695 0.388159 BG
lamp 567 23 573 41 0.102018 0.681651 BG
garbage_bin 659 310 729 525 0.145889 0.590399 BG
garbage_bin 293 99 296 99 0.124476 0.246000 BG
garbage_bin 475 110 479 116 0.117493 0.555863 BG
garbage_bin 688 65 729 396 0.110767 0.402343 BG
garbage_bin 101 364 139 398 0.104027 0.844181 BG
